,Teams,Creativity av,Matches,Creativity GW29,Creativity GW28,Creativity GW27,Creativity GW26,Creativity GW25,Creativity GW24*,Creativity GW24,Creativity GW23,Creativity GW22,Creativity GW21,Creativity GW20,Creativity GW19,Creativity GW18,Creativity GW17,Creativity GW16,Creativity GW15,Creativity GW14,Creativity GW13,Creativity GW12,Creativity GW11,Creativity GW10,Creativity GW9,Creativity GW8,Creativity GW7,Creativity GW6,Creativity GW5,Creativity GW4,Creativity GW3,Creativity GW2,Creativity GW1,Creativity GW29 6 - average,Creativity GW28 6 - average,Creativity GW27 6 - average,Creativity GW26 6 - average,Creativity GW25 6 - average,Creativity GW24* 6 - average,Creativity GW24 6 - average,Creativity GW23 6 - average,Creativity GW22 6 - average,Creativity GW21 6 - average,Creativity GW20 6 - average,Creativity GW19 6 - average,Creativity GW18 6 - average,Creativity GW17 6 - average,Creativity GW16 6 - average,Creativity GW15 6 - average,Creativity GW14 6 - average,Creativity GW13 6 - average,Creativity GW12 6 - average,Creativity GW11 6 - average,Creativity GW10 6 - average,Creativity GW9 6 - average,Creativity GW8 6 - average,Creativity GW7 6 - average,Creativity GW6 6 - average
11,Spurs,136.90689655172415,29,111.89999999999999,139.70000000000002,94.69999999999999,223.0,50.00000000000001,,169.3,185.3,156.8,113.60000000000001,185.1,123.50000000000001,70.7,121.8,165.8,95.5,180.9,161.3,206.2,75.89999999999999,86.0,171.4,99.3,105.80000000000001,145.20000000000002,137.9,105.7,191.6,45.199999999999996,251.2,131.4333333333333,143.66666666666666,146.51666666666665,149.66666666666669,143.35000000000002,155.6,155.6,139.16666666666669,128.58333333333334,130.08333333333334,127.06666666666668,126.36666666666666,132.66666666666666,155.25,147.6,134.29999999999998,146.95000000000002,133.35,124.09999999999998,113.93333333333334,124.26666666666667,127.55000000000001,130.91666666666669,121.90000000000002,146.13333333333333
12,West Ham,131.9896551724138,29,131.1,157.70000000000002,92.69999999999999,51.199999999999996,128.8,96.2,60.89999999999999,169.6,95.3,155.10000000000002,179.8,152.3,,156.5,111.1,106.3,101.5,147.5,101.5,218.5,177.4,102.39999999999999,127.80000000000001,188.5,86.4,173.70000000000002,206.29999999999998,196.3,100.69999999999999,54.6,109.61666666666667,97.91666666666667,99.89999999999999,100.33333333333331,117.64999999999999,126.15000000000002,135.5,151.4333333333333,141.68333333333334,143.51666666666668,134.58333333333334,129.2,120.73333333333335,120.73333333333335,131.06666666666666,142.11666666666665,141.46666666666667,145.85,152.6833333333333,150.16666666666666,142.70000000000002,147.51666666666668,163.16666666666666,158.65,136.33333333333334
13,Norwich,130.79310344827587,29,116.19999999999999,119.7,94.99999999999999,78.9,182.60000000000002,,156.10000000000002,179.7,80.4,156.1,71.7,176.3,140.2,124.80000000000001,193.89999999999998,134.8,146.5,127.70000000000002,147.0,105.9,86.2,141.09999999999997,174.39999999999998,134.7,123.3,81.9,93.89999999999999,82.3,215.8,125.9,124.75,135.33333333333334,128.78333333333333,138.96666666666667,137.76666666666668,136.7166666666667,136.7166666666667,134.0666666666667,124.91666666666667,143.83333333333331,140.28333333333333,152.75,144.65,145.78333333333333,142.63333333333333,124.68333333333334,125.73333333333335,130.38333333333333,131.54999999999998,127.59999999999998,123.59999999999997,124.88333333333331,115.08333333333331,121.9833333333333,120.51666666666667
14,Sheffield Utd,128.39285714285714,28,108.6,,202.7,167.7,110.69999999999999,,71.1,116.1,153.2,53.6,113.2,187.8,84.6,114.9,107.10000000000001,192.1,131.2,131.10000000000002,143.1,162.10000000000002,127.89999999999998,113.69999999999999,123.2,143.9,40.8,209.2,103.0,129.10000000000002,148.9,104.4,129.48333333333332,136.91666666666666,136.91666666666666,112.06666666666666,102.98333333333333,115.83333333333333,115.83333333333333,118.08333333333333,117.88333333333333,110.2,133.28333333333333,136.28333333333333,126.83333333333336,136.58333333333334,144.45000000000002,147.91666666666666,134.85,133.51666666666668,135.65,118.59999999999998,126.44999999999997,122.3,124.86666666666667,129.15,122.56666666666666
15,Southampton,126.8103448275862,29,89.19999999999999,129.8,236.10000000000002,129.9,167.2,,208.8,98.1,160.2,140.1,135.5,48.7,122.1,114.60000000000001,121.09999999999998,143.19999999999996,97.4,180.00000000000003,37.6,42.49999999999999,61.3,133.29999999999998,90.0,169.3,198.6,128.1,101.1,141.10000000000002,118.60000000000001,91.5,160.16666666666666,161.65,166.71666666666667,150.71666666666667,151.65,131.9,131.9,117.45,120.19999999999999,113.68333333333334,114.19999999999999,107.84999999999998,129.73333333333332,115.64999999999999,103.63333333333333,93.66666666666667,92.01666666666667,90.78333333333335,89.0,115.83333333333333,130.1,136.73333333333335,138.03333333333333,142.8,129.83333333333334
16,Watford,124.07241379310344,29,114.4,132.4,92.3,60.599999999999994,85.4,,101.9,162.8,202.3,110.1,181.0,53.300000000000004,98.89999999999999,88.6,158.40000000000003,80.4,77.2,165.7,118.19999999999999,158.3,57.1,58.3,107.7,166.70000000000002,49.20000000000001,300.00000000000006,126.79999999999998,281.99999999999994,113.89999999999999,94.19999999999999,97.83333333333333,105.89999999999998,117.55,120.51666666666667,140.58333333333334,135.23333333333332,135.23333333333332,134.73333333333332,122.36666666666666,115.05,110.10000000000001,92.80000000000001,111.53333333333335,114.75,126.36666666666667,109.48333333333333,105.8,110.88333333333334,111.05000000000001,99.55000000000001,123.16666666666669,134.78333333333333,172.0666666666667,173.10000000000002,161.01666666666665
17,Newcastle,115.91034482758621,29,139.6,176.3,100.39999999999999,124.4,152.5,,59.7,99.3,82.4,56.099999999999994,193.5,93.99999999999999,98.6,95.1,105.3,70.5,51.5,126.7,127.10000000000001,105.0,156.09999999999997,80.30000000000001,134.5,43.599999999999994,151.59999999999997,86.0,152.9,117.3,137.9,93.5,125.48333333333333,118.76666666666667,103.11666666666666,95.73333333333333,107.25,97.5,97.5,103.98333333333333,103.28333333333335,107.09999999999998,109.5,85.83333333333333,91.28333333333335,96.03333333333332,97.68333333333334,106.14999999999999,107.78333333333335,121.61666666666667,107.76666666666667,111.84999999999998,108.68333333333332,108.14999999999999,114.31666666666665,114.88333333333331,123.2
18,Burnley,114.33103448275861,29,146.10000000000002,102.80000000000001,145.2,93.7,222.99999999999997,,65.7,71.4,40.3,248.39999999999998,102.1,81.0,30.500000000000004,93.9,88.5,43.8,145.20000000000002,77.59999999999998,161.00000000000003,66.1,146.3,124.6,116.89999999999999,121.80000000000001,184.9,82.89999999999999,92.39999999999999,131.7,182.60000000000005,105.19999999999999,129.41666666666666,116.96666666666665,106.55,123.75,125.14999999999999,101.48333333333333,101.48333333333333,95.61666666666666,99.36666666666666,107.39999999999999,73.3,80.48333333333333,79.91666666666666,101.66666666666667,97.03333333333335,106.66666666666667,120.13333333333334,115.41666666666667,122.78333333333335,126.76666666666667,129.56666666666666,120.58333333333333,121.76666666666665,132.71666666666667,129.95000000000002
19,Bournemouth,111.2103448275862,29,95.30000000000001,130.8,151.1,124.30000000000001,116.80000000000001,,112.9,85.4,108.2,74.10000000000001,98.20000000000002,108.6,59.6,105.8,43.2,112.5,186.79999999999998,89.39999999999999,132.79999999999998,114.10000000000001,148.89999999999998,111.7,113.99999999999999,174.5,57.89999999999999,118.10000000000001,119.5,79.3,137.70000000000002,113.6,121.86666666666667,120.21666666666665,116.45,103.61666666666667,99.26666666666667,97.90000000000002,97.90000000000002,89.0166666666667,92.41666666666667,81.58333333333333,87.98333333333335,102.75,99.55,111.74999999999999,113.13333333333333,130.74999999999997,130.61666666666667,118.48333333333333,132.66666666666666,120.18333333333334,120.84999999999998,115.94999999999999,110.55,114.5,104.35000000000001
20,Crystal Palace,110.9448275862069,29,149.4,130.5,185.3,92.89999999999999,156.0,,68.3,62.300000000000004,58.1,143.89999999999998,60.49999999999999,140.9,180.4,124.5,38.2,73.39999999999999,83.5,171.8,56.8,75.5,124.4,74.80000000000001,96.1,182.5,110.10000000000001,120.19999999999997,229.50000000000003,30.000000000000007,79.1,69.7,130.4,115.88333333333333,103.81666666666666,96.91666666666667,91.51666666666667,89.0,89.0,107.68333333333332,118.05,114.73333333333333,102.98333333333333,106.81666666666666,111.96666666666665,91.36666666666666,83.2,97.56666666666666,97.8,99.89999999999999,101.68333333333334,110.56666666666668,118.01666666666665,135.53333333333333,128.0666666666667,125.23333333333335,106.43333333333334
