,Name,Team,Team games,Played,Threat per fixture,Threat per game,Threat GW29,Threat GW28,Threat GW27,Threat GW26,Threat GW25,Threat GW24*,Threat GW24,Threat GW23,Threat GW22,Threat GW21,Threat GW20,Threat GW19,Threat GW18,Threat GW17,Threat GW16,Threat GW15,Threat GW14,Threat GW13,Threat GW12,Threat GW11,Threat GW10,Threat GW9,Threat GW8,Threat GW7,Threat GW6,Threat GW5,Threat GW4,Threat GW3,Threat GW2,Threat GW1,Threat GW29 6 - average,Threat GW28 6 - average,Threat GW27 6 - average,Threat GW26 6 - average,Threat GW25 6 - average,Threat GW24* 6 - average,Threat GW24 6 - average,Threat GW23 6 - average,Threat GW22 6 - average,Threat GW21 6 - average,Threat GW20 6 - average,Threat GW19 6 - average,Threat GW18 6 - average,Threat GW17 6 - average,Threat GW16 6 - average,Threat GW15 6 - average,Threat GW14 6 - average,Threat GW13 6 - average,Threat GW12 6 - average,Threat GW11 6 - average,Threat GW10 6 - average,Threat GW9 6 - average,Threat GW8 6 - average,Threat GW7 6 - average,Threat GW6 6 - average
21,Heung-Min Son,Spurs,29,21,30.79310344827586,42.523809523809526,0.0,0.0,0.0,140.0,36.0,,62.0,48.0,30.0,0.0,0.0,0.0,8.0,19.0,60.0,30.0,27.0,34.0,74.0,12.0,57.0,14.0,8.0,37.0,20.0,64.0,38.0,75.0,0.0,0.0,39.666666666666664,47.666666666666664,52.666666666666664,52.666666666666664,29.333333333333332,23.333333333333332,23.333333333333332,14.333333333333334,9.5,14.5,19.5,24.0,29.666666666666668,40.666666666666664,39.5,39.0,36.333333333333336,33.166666666666664,33.666666666666664,24.666666666666668,33.333333333333336,30.166666666666668,40.333333333333336,39.0,32.833333333333336
22,Chris Wood,Burnley,29,26,30.724137931034484,34.26923076923077,99.0,5.0,0.0,0.0,20.0,,21.0,55.0,36.0,54.0,4.0,15.0,2.0,57.0,34.0,4.0,57.0,35.0,77.0,0.0,0.0,56.0,8.0,37.0,111.0,6.0,17.0,65.0,8.0,8.0,24.166666666666668,16.833333333333332,22.0,31.0,31.666666666666668,30.833333333333332,30.833333333333332,27.666666666666668,28.0,27.666666666666668,19.333333333333332,28.166666666666668,31.5,44.0,34.5,28.833333333333332,37.5,29.333333333333332,29.666666666666668,35.333333333333336,36.333333333333336,39.166666666666664,40.666666666666664,40.666666666666664,35.833333333333336
23,Mason Mount,Chelsea,29,29,29.551724137931036,29.551724137931036,36.0,35.0,29.0,19.0,32.0,,2.0,18.0,30.0,32.0,19.0,14.0,20.0,41.0,48.0,67.0,39.0,1.0,44.0,44.0,36.0,19.0,26.0,8.0,10.0,29.0,9.0,53.0,77.0,20.0,25.5,22.5,21.666666666666668,22.166666666666668,22.166666666666668,19.166666666666668,19.166666666666668,22.166666666666668,26.0,29.0,34.833333333333336,38.166666666666664,36.0,40.0,40.5,38.5,30.5,28.333333333333332,29.5,23.833333333333332,21.333333333333332,16.833333333333332,22.5,31.0,33.0
24,Wilfried Zaha,Crystal Palace,29,29,28.620689655172413,28.620689655172413,43.0,37.0,13.0,20.0,36.0,,12.0,25.0,4.0,31.0,12.0,34.0,31.0,25.0,8.0,32.0,25.0,67.0,6.0,25.0,43.0,21.0,12.0,57.0,34.0,22.0,52.0,43.0,28.0,32.0,26.833333333333332,23.833333333333332,18.333333333333332,21.333333333333332,20.0,19.666666666666668,19.666666666666668,22.833333333333332,22.833333333333332,23.5,23.666666666666668,25.833333333333332,31.333333333333332,27.166666666666668,27.166666666666668,33.0,31.166666666666668,29.0,27.333333333333332,32.0,31.5,33.0,36.666666666666664,39.333333333333336,35.166666666666664
25,Riyad Mahrez,Man City,28,23,27.785714285714285,33.82608695652174,6.0,,38.0,0.0,30.0,,54.0,8.0,58.0,49.0,66.0,4.0,114.0,17.0,32.0,9.0,8.0,61.0,0.0,0.0,0.0,0.0,22.0,61.0,50.0,0.0,44.0,2.0,6.0,39.0,22.666666666666668,31.333333333333332,31.333333333333332,33.166666666666664,44.166666666666664,39.833333333333336,39.833333333333336,49.833333333333336,51.333333333333336,47.0,40.333333333333336,30.666666666666668,40.166666666666664,21.166666666666668,18.333333333333332,13.0,11.5,13.833333333333334,13.833333333333334,22.166666666666668,22.166666666666668,29.5,29.833333333333332,27.166666666666668,23.5
26,Bernardo Mota Veiga de Carvalho e Silva,Man City,28,24,26.75,31.208333333333332,0.0,,31.0,50.0,22.0,,0.0,68.0,0.0,0.0,4.0,12.0,6.0,0.0,50.0,41.0,4.0,0.0,25.0,35.0,43.0,38.0,26.0,0.0,102.0,30.0,19.0,52.0,91.0,0.0,28.5,28.5,28.5,23.333333333333332,15.666666666666666,14.0,14.0,15.0,3.6666666666666665,12.0,18.833333333333332,18.833333333333332,16.833333333333332,20.0,25.833333333333332,24.666666666666668,24.166666666666668,27.833333333333332,27.833333333333332,40.666666666666664,39.833333333333336,35.833333333333336,38.166666666666664,49.0,49.0
27,Kevin De Bruyne,Man City,28,26,26.607142857142858,28.653846153846153,0.0,,23.0,30.0,43.0,,13.0,29.0,6.0,10.0,44.0,8.0,56.0,50.0,49.0,17.0,56.0,20.0,38.0,54.0,12.0,19.0,0.0,18.0,40.0,2.0,27.0,16.0,38.0,27.0,23.0,24.0,24.0,21.833333333333332,24.166666666666668,18.333333333333332,18.333333333333332,25.5,29.0,36.166666666666664,37.333333333333336,39.333333333333336,41.333333333333336,38.333333333333336,39.0,32.833333333333336,33.166666666666664,23.833333333333332,23.5,23.833333333333332,15.166666666666666,17.666666666666668,17.166666666666668,23.5,25.0
28,Harvey Barnes,Leicester,29,27,25.689655172413794,27.59259259259259,66.0,46.0,2.0,18.0,39.0,,59.0,57.0,7.0,0.0,26.0,2.0,4.0,27.0,47.0,60.0,8.0,27.0,33.0,7.0,45.0,42.0,4.0,9.0,49.0,4.0,25.0,21.0,0.0,11.0,38.333333333333336,36.833333333333336,30.333333333333332,30.0,31.333333333333332,25.166666666666668,25.166666666666668,16.0,11.0,17.666666666666668,27.666666666666668,24.666666666666668,28.833333333333332,33.666666666666664,30.333333333333332,30.0,27.0,26.333333333333332,23.333333333333332,26.0,25.5,22.166666666666668,18.666666666666668,18.0,18.333333333333332
29,Christian Pulisic,Chelsea,29,16,24.79310344827586,44.9375,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,54.0,0.0,19.0,0.0,72.0,30.0,94.0,45.0,6.0,100.0,71.0,110.0,25.0,2.0,0.0,0.0,0.0,41.0,38.0,4.0,8.0,0.0,0.0,0.0,9.0,9.0,12.166666666666666,12.166666666666666,12.166666666666666,24.166666666666668,29.166666666666668,35.833333333333336,43.333333333333336,41.166666666666664,57.833333333333336,57.666666666666664,71.0,59.5,52.333333333333336,51.333333333333336,34.666666666666664,22.833333333333332,11.333333333333334,13.5,13.833333333333334,15.166666666666666
30,Jordan Ayew,Crystal Palace,29,28,24.75862068965517,25.642857142857142,30.0,19.0,103.0,4.0,6.0,,22.0,2.0,25.0,43.0,1.0,55.0,22.0,1.0,6.0,28.0,6.0,12.0,0.0,23.0,58.0,11.0,59.0,49.0,19.0,40.0,38.0,17.0,0.0,19.0,30.666666666666668,26.0,27.0,17.0,16.5,24.666666666666668,24.666666666666668,24.666666666666668,24.5,21.333333333333332,18.833333333333332,19.666666666666668,12.5,8.833333333333334,12.5,21.166666666666668,18.333333333333332,27.166666666666668,33.333333333333336,36.5,39.333333333333336,36.0,37.0,27.166666666666668,22.166666666666668
