,Name,Team,Team games,Played,Threat per fixture adj,Threat per game adj,Threat GW29adj,Threat GW28adj,Threat GW27adj,Threat GW26adj,Threat GW25adj,Threat GW24adj*,Threat GW24adj,Threat GW23adj,Threat GW22adj,Threat GW21adj,Threat GW20adj,Threat GW19adj,Threat GW18adj,Threat GW17adj,Threat GW16adj,Threat GW15adj,Threat GW14adj,Threat GW13adj,Threat GW12adj,Threat GW11adj,Threat GW10adj,Threat GW9adj,Threat GW8adj,Threat GW7adj,Threat GW6adj,Threat GW5adj,Threat GW4adj,Threat GW3adj,Threat GW2adj,Threat GW1adj,Threat GW29adj 6 - average,Threat GW28adj 6 - average,Threat GW27adj 6 - average,Threat GW26adj 6 - average,Threat GW25adj 6 - average,Threat GW24adj* 6 - average,Threat GW24adj 6 - average,Threat GW23adj 6 - average,Threat GW22adj 6 - average,Threat GW21adj 6 - average,Threat GW20adj 6 - average,Threat GW19adj 6 - average,Threat GW18adj 6 - average,Threat GW17adj 6 - average,Threat GW16adj 6 - average,Threat GW15adj 6 - average,Threat GW14adj 6 - average,Threat GW13adj 6 - average,Threat GW12adj 6 - average,Threat GW11adj 6 - average,Threat GW10adj 6 - average,Threat GW9adj 6 - average,Threat GW8adj 6 - average,Threat GW7adj 6 - average,Threat GW6adj 6 - average
253,Alireza Jahanbakhsh,Brighton,29,8,3.5758122997468007,12.962319586582153,0.0,19.222487448865746,0.0,1.9308835065699153,0.0,,8.913689300411521,0.0,4.602886863020101,31.031898280802285,35.654757201646085,0.0,0.0,0.0,2.341954091341579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.011176709307864,5.011176709307864,2.574576611666923,7.746559658467304,13.36720527431333,13.36720527431333,13.36720527431333,11.881590390911413,11.881590390911413,11.504768262298326,6.332785215497943,0.3903256818902632,0.3903256818902632,0.3903256818902632,0.3903256818902632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
254,Scott Dann,Crystal Palace,29,9,3.563559776997705,11.48258150365927,1.9308835065699153,4.0104175152749475,15.64096362876254,2.3014434315100507,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.361170495229285,77.0983549555867,3.9806180136862426,3.6588040959245896,2.990401176712098,0.3835739052516751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3935284158715475,13.243254241802665
255,James Milner,Liverpool,29,18,3.5562012647595966,5.729435371001572,15.396372427983536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.361170495229285,0.0,20.60250800098473,,2.8963252598548728,9.724024691358023,9.205773726040203,0.0,0.0,0.0,0.0,0.0,0.0,26.66206917774495,0.0,0.0,0.0,0.0,0.0,16.28159289883268,0.0,2.5660620713305895,0.0,0.0,0.0,0.3935284158715475,0.3935284158715475,3.8272797493690027,4.310000626011481,5.930671407904485,7.464967028911185,7.071438613039639,7.071438613039639,3.6376872795421833,3.6376872795421833,3.154966402899704,1.5342956210067005,0.0,4.443678196290825,4.443678196290825,4.443678196290825,4.443678196290825,4.443678196290825,4.443678196290825,2.7135988164721137,2.7135988164721137
256,Etienne Capoue,Watford,29,24,3.456330430232408,4.176399269864159,7.322852361472665,3.1186490338929356,0.0,2.0052087576374737,5.753608578775127,,0.0,11.429940614395424,6.482683127572015,1.1709770456707895,9.578596069749779,0.0,0.0,9.355947101678806,0.9153565451840832,0.0,0.0,19.569817133770616,0.7740231918238991,0.0,0.0,0.0,0.0,9.367816365366316,0.0,0.0,0.0,0.8782850133809097,11.507217157550254,1.0026043788187369,3.0333864552963674,3.7179011641168267,4.27857351306334,4.473736354008472,5.7359675726938555,4.777032809564667,4.777032809564667,4.777032809564667,4.431367224111899,3.5034794603805763,3.3083166194354447,1.711883941143815,4.973520130105585,5.102523995409568,3.5431994784631,3.3906400542657527,3.3906400542657527,3.3906400542657527,1.6903065928650358,1.5613027275610527,1.5613027275610527,1.5613027275610527,1.7076835631245377,3.6255530893829135,2.2313510916249837
257,Shane Duffy,Brighton,29,15,3.44938850745512,6.668817781079898,0.0,0.0,42.50106891412713,3.8617670131398305,0.0,,0.0,0.0,0.0,0.0,1.6206707818930037,1.7584524022146808,0.0,0.0,0.0,0.0,0.0,13.331034588872475,8.435621175030597,16.25448702830188,0.0,0.0,0.0,0.0,0.0,1.9569817133770617,0.0,5.746444552529182,2.634855040142729,1.9308835065699153,7.727139321211161,7.727139321211161,7.727139321211161,0.643627835523305,0.2701117969821673,0.5631871973512808,0.5631871973512808,0.5631871973512808,0.5631871973512808,0.5631871973512808,0.5631871973512808,0.29307540036911345,2.2218390981454124,3.627775960650512,6.336857132034159,6.336857132034159,6.336857132034159,6.336857132034159,4.115018033888746,2.7090811713836467,0.32616361889617695,0.32616361889617695,1.2839043776510406,1.7230468843414954,2.044860802103148
258,Maya Yoshida,Southampton,29,8,3.4309475410513035,12.437184836310974,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.423824470704086,2.341954091341579,12.694867478510027,21.98065502768351,0.0,2.361170495229285,0.0,0.0,57.69500712701931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4039707451173477,0.7942964270076108,2.9101076734259483,6.573550178039866,6.573550178039866,6.967078593911414,6.5631078487940675,6.172782166903804,13.67280544165535,10.009362937041432
259,Shkodran Mustafi,Arsenal,28,8,3.4044039537070465,11.915413837974663,0.0,,4.602886863020101,19.757006688963205,3.9139634267541235,,2.821081661891117,22.43111970467821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.79725235849055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.921009724217791,8.921009724217791,8.921009724217791,8.153861913714442,4.861027465553908,4.208700227761555,4.208700227761555,3.738519950779702,0.0,0.0,0.0,6.9662087264150925,6.9662087264150925,6.9662087264150925,6.9662087264150925,6.9662087264150925,6.9662087264150925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
260,Odion Ighalo,Man Utd,29,4,3.4013723231316804,24.65994934270468,0.0,37.97381661991584,36.68678662482839,23.979194126074493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,Christian Kabasele,Watford,29,19,3.3862042655488644,5.168417036890372,18.307130903681664,0.0,40.973017135862904,0.0,8.055052010285177,,0.0,0.0,0.0,0.0,11.631152370410444,0.0,2.4101774785801706,0.0,7.322852361472665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.361170495229285,0.0,0.0,7.139370945394743,0.0,0.0,0.0,0.0,11.222533341638291,8.171344857691347,8.171344857691347,1.342508668380863,3.2810340634492703,1.9385253950684074,1.9385253950684074,2.340221641498436,2.340221641498436,3.5606970350772134,3.5606970350772134,1.622171640008806,1.622171640008806,1.2204753935787775,1.2204753935787775,0.0,0.0,0.3935284158715475,0.3935284158715475,0.3935284158715475,1.583423573437338,1.583423573437338,1.583423573437338,1.1898951575657906,1.1898951575657906
262,Naby Keita,Liverpool,29,9,3.3804094781274348,10.892430540632846,0.0,0.0,1.7565700267618194,36.37909001572326,1.915481517509727,6.147995093666368,0.0,0.0,0.0,0.0,0.0,9.695297882816345,,0.0,42.137440329218094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6998561089435285,7.6998561089435285,7.6998561089435285,7.407094437816558,1.343912768529349,1.0246658489443947,1.6158829804693908,1.6158829804693908,8.63878970200574,8.63878970200574,8.63878970200574,8.63878970200574,7.022906721536349,7.022906721536349,7.022906721536349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
