,Name,Team,Team games,Played,Creativity per fixture,Creativity per game,Creativity GW29,Creativity GW28,Creativity GW27,Creativity GW26,Creativity GW25,Creativity GW24*,Creativity GW24,Creativity GW23,Creativity GW22,Creativity GW21,Creativity GW20,Creativity GW19,Creativity GW18,Creativity GW17,Creativity GW16,Creativity GW15,Creativity GW14,Creativity GW13,Creativity GW12,Creativity GW11,Creativity GW10,Creativity GW9,Creativity GW8,Creativity GW7,Creativity GW6,Creativity GW5,Creativity GW4,Creativity GW3,Creativity GW2,Creativity GW1,Creativity GW29 6 - average,Creativity GW28 6 - average,Creativity GW27 6 - average,Creativity GW26 6 - average,Creativity GW25 6 - average,Creativity GW24* 6 - average,Creativity GW24 6 - average,Creativity GW23 6 - average,Creativity GW22 6 - average,Creativity GW21 6 - average,Creativity GW20 6 - average,Creativity GW19 6 - average,Creativity GW18 6 - average,Creativity GW17 6 - average,Creativity GW16 6 - average,Creativity GW15 6 - average,Creativity GW14 6 - average,Creativity GW13 6 - average,Creativity GW12 6 - average,Creativity GW11 6 - average,Creativity GW10 6 - average,Creativity GW9 6 - average,Creativity GW8 6 - average,Creativity GW7 6 - average,Creativity GW6 6 - average
11,Dwight McNeil,Burnley,29,29,24.60689655172413,24.60689655172413,37.1,19.3,40.0,26.1,68.8,,1.8,20.0,15.7,30.9,11.6,43.3,4.8,32.8,35.0,0.3,33.9,25.8,66.0,1.3,26.3,17.2,2.3,30.2,35.0,6.3,19.3,30.4,26.8,5.3,32.18333333333334,29.333333333333332,28.73333333333333,27.21666666666667,24.799999999999997,20.55,20.55,21.049999999999997,23.183333333333334,26.399999999999995,21.3,25.016666666666666,22.099999999999998,32.300000000000004,27.05,25.599999999999998,28.416666666666668,23.150000000000002,23.88333333333333,18.716666666666665,19.55,18.383333333333333,20.583333333333332,24.666666666666668,20.516666666666666
12,Andrew Robertson,Liverpool,29,28,24.427586206896557,25.300000000000004,0.0,18.9,80.7,55.3,4.8,6.4,20.5,18.6,10.9,66.3,16.5,38.2,,11.3,3.6,26.3,5.7,23.3,29.7,24.1,32.0,33.2,16.9,17.0,16.7,33.7,5.0,49.8,18.3,24.7,27.683333333333334,31.099999999999998,31.05,19.416666666666668,21.25,23.2,28.5,26.96666666666667,24.46666666666667,27.033333333333335,16.933333333333334,18.066666666666666,16.650000000000002,16.650000000000002,18.783333333333335,23.516666666666666,24.666666666666668,26.533333333333335,25.483333333333334,23.316666666666666,24.916666666666668,20.416666666666668,23.183333333333334,23.416666666666668,24.7
13,Riyad Mahrez,Man City,28,23,23.853571428571424,29.039130434782603,26.7,,69.4,0.0,27.0,,40.9,1.9,40.8,45.6,33.2,1.7,50.7,3.7,21.1,11.8,9.2,16.9,0.0,0.0,0.0,0.0,4.9,59.7,51.8,18.8,66.3,13.6,1.0,51.2,27.650000000000002,30.0,30.0,26.033333333333335,31.566666666666674,27.349999999999994,27.349999999999994,28.983333333333334,29.28333333333333,26.0,20.366666666666667,16.36666666666667,18.900000000000002,10.45,9.833333333333334,6.316666666666666,4.35,3.633333333333333,10.766666666666667,19.400000000000002,22.533333333333335,33.583333333333336,35.85,35.2,33.78333333333333
14,Oliver Norwood,Sheffield Utd,28,28,23.42499999999999,23.42499999999999,17.4,,64.3,3.1,27.3,,5.5,24.4,40.8,11.3,37.4,43.3,15.2,25.0,1.3,8.2,16.6,23.0,18.2,2.8,4.9,15.7,43.0,19.4,0.8,54.8,17.3,31.8,61.8,21.3,23.66666666666666,27.566666666666663,27.566666666666663,18.73333333333333,24.45,27.116666666666664,27.116666666666664,28.73333333333333,28.833333333333332,22.25,21.73333333333333,18.266666666666666,14.883333333333335,15.383333333333333,11.683333333333332,12.283333333333333,13.533333333333333,17.933333333333334,17.333333333333332,14.433333333333335,23.099999999999998,25.166666666666668,27.850000000000005,30.98333333333333,31.3
15,Gylfi Sigurdsson,Everton,29,26,23.33793103448276,26.030769230769234,0.9,18.6,33.0,13.3,30.5,,0.0,0.0,16.7,40.6,33.9,69.3,1.7,0.0,15.8,16.2,16.6,21.8,42.8,1.2,1.4,0.8,28.2,67.3,58.0,14.7,71.6,23.0,25.8,13.1,16.05,15.9,15.583333333333334,16.849999999999998,20.283333333333335,26.75,26.75,27.03333333333333,27.03333333333333,26.883333333333336,22.816666666666663,19.933333333333334,12.016666666666667,18.866666666666667,19.066666666666666,16.666666666666668,14.100000000000001,16.033333333333335,23.616666666666664,26.149999999999995,28.399999999999995,40.1,43.79999999999999,43.4,34.36666666666667
16,Mason Mount,Chelsea,29,29,23.055172413793102,23.055172413793102,13.3,20.6,5.0,17.5,35.7,,5.1,50.7,46.3,17.1,17.5,22.6,16.8,9.9,21.8,8.2,32.9,0.6,33.8,14.4,23.7,19.4,23.4,27.6,16.8,44.8,18.0,30.2,23.1,51.8,16.2,22.433333333333337,26.71666666666667,28.733333333333334,28.733333333333334,26.549999999999997,26.549999999999997,28.5,21.7,17.616666666666667,16.133333333333336,18.700000000000003,15.033333333333331,17.866666666666667,18.616666666666667,18.933333333333334,20.8,19.21666666666667,23.716666666666665,20.883333333333333,25.95,25.0,26.799999999999997,26.75,30.78333333333333
17,Mohamed Salah,Liverpool,29,26,21.99655172413793,24.534615384615385,44.8,3.3,15.3,24.7,32.5,28.8,18.5,32.7,40.2,40.2,38.5,15.9,,3.9,51.5,0.0,12.7,0.0,3.3,1.2,15.3,0.0,37.7,13.3,15.3,41.8,38.4,16.6,11.8,39.7,24.900000000000002,20.516666666666666,25.416666666666668,29.566666666666663,32.15,33.15,31.000000000000004,28.566666666666674,31.700000000000003,25.0,20.416666666666668,14.0,11.899999999999999,11.899999999999999,11.450000000000001,5.416666666666667,5.416666666666667,9.583333333333334,11.799999999999999,13.799999999999999,20.566666666666666,24.416666666666668,27.183333333333334,22.86666666666667,27.266666666666666
18,Ryan Fraser,Bournemouth,29,28,21.62413793103449,22.39642857142858,29.7,30.4,1.5,50.2,30.7,,27.8,30.3,54.8,16.9,10.8,16.8,19.0,13.3,26.8,13.6,17.3,16.8,31.3,24.3,37.1,7.6,16.0,0.0,0.1,3.3,42.6,2.0,31.4,24.7,28.383333333333336,28.483333333333334,32.550000000000004,35.11666666666667,28.55,26.233333333333338,26.233333333333338,24.766666666666666,21.933333333333334,17.266666666666666,16.716666666666665,17.799999999999997,17.799999999999997,19.849999999999998,21.683333333333334,23.400000000000002,22.400000000000002,22.183333333333334,19.383333333333333,14.183333333333332,10.683333333333335,11.600000000000001,10.666666666666666,13.233333333333334,17.35
19,Adama Traore,Wolves,29,28,21.093103448275855,21.846428571428564,11.0,19.4,0.7,24.9,30.4,,40.3,26.5,26.4,32.5,1.3,46.1,49.9,18.8,3.4,27.3,16.7,34.3,18.8,27.3,33.6,3.7,14.3,20.5,49.8,15.8,1.3,0.8,15.9,0.0,21.116666666666667,23.7,24.866666666666664,30.166666666666668,26.233333333333334,28.849999999999998,28.849999999999998,30.450000000000003,29.166666666666668,25.33333333333334,24.46666666666667,27.03333333333333,25.066666666666666,19.883333333333333,21.299999999999997,26.333333333333332,22.399999999999995,22.0,19.7,24.866666666666664,22.950000000000003,17.566666666666666,17.083333333333332,17.349999999999998,13.933333333333332
20,Mesut Ozil,Arsenal,28,18,20.817857142857143,32.38333333333333,18.1,,18.1,47.6,27.8,,3.1,53.3,5.0,17.8,36.7,50.8,0.0,13.8,31.3,35.2,71.3,60.7,18.7,54.8,0.0,0.0,0.0,0.0,0.0,18.8,0.0,0.0,0.0,0.0,28.0,25.816666666666663,25.816666666666663,25.76666666666667,23.95,27.78333333333333,27.78333333333333,27.266666666666666,20.683333333333334,25.066666666666666,27.96666666666667,33.73333333333333,35.38333333333333,38.5,45.333333333333336,40.11666666666667,34.25,22.366666666666664,12.25,9.133333333333333,3.1333333333333333,3.1333333333333333,3.1333333333333333,3.1333333333333333,3.1333333333333333
