,Name,Team,Team games,Played,Threat per fixture,Threat per game,Threat GW29,Threat GW28,Threat GW27,Threat GW26,Threat GW25,Threat GW24*,Threat GW24,Threat GW23,Threat GW22,Threat GW21,Threat GW20,Threat GW19,Threat GW18,Threat GW17,Threat GW16,Threat GW15,Threat GW14,Threat GW13,Threat GW12,Threat GW11,Threat GW10,Threat GW9,Threat GW8,Threat GW7,Threat GW6,Threat GW5,Threat GW4,Threat GW3,Threat GW2,Threat GW1,Threat GW29 6 - average,Threat GW28 6 - average,Threat GW27 6 - average,Threat GW26 6 - average,Threat GW25 6 - average,Threat GW24* 6 - average,Threat GW24 6 - average,Threat GW23 6 - average,Threat GW22 6 - average,Threat GW21 6 - average,Threat GW20 6 - average,Threat GW19 6 - average,Threat GW18 6 - average,Threat GW17 6 - average,Threat GW16 6 - average,Threat GW15 6 - average,Threat GW14 6 - average,Threat GW13 6 - average,Threat GW12 6 - average,Threat GW11 6 - average,Threat GW10 6 - average,Threat GW9 6 - average,Threat GW8 6 - average,Threat GW7 6 - average,Threat GW6 6 - average
12,Pierre-Emerick Aubameyang,Arsenal,28,26,42.86387657879719,46.16109785408928,2.554785273969173,,44.133374094963074,53.993821144104004,71.64330482482909,,,,43.40868890285492,10.465378314256668,44.361701607704155,62.084031105041504,79.65709567070006,9.853454679250717,65.39374589920044,22.325101494789124,117.94075965881348,47.261792421340935,13.279984891414642,51.86641216278076,15.547294914722444,8.939742296934126,77.70490050315856,41.28657877445221,63.60412836074829,75.02292394638063,56.93942308425903,28.195923566818237,21.51902168989181,71.20517492294313,37.69989209249616,44.66771148145199,44.66771148145199,47.65948764979839,51.93670007089773,41.63839171330134,41.63839171330134,41.63839171330134,41.63839171330134,45.302567879358925,47.27918840944767,59.542364751299225,57.07199163734913,46.00913984080156,53.0112994213899,44.70355759064356,42.47266439100107,35.76668786505858,34.77081892391046,43.1581761687994,47.017594799399376,53.91628282765547,57.12564637263616,47.7613332370917,52.74776592850685
13,Sadio Mane,Liverpool,29,26,42.84653005928829,47.79036045074463,60.45237183570862,0.0,85.04857420921327,9.292931854724882,,,0.0,63.12798857688904,14.277824759483336,145.7651257514954,65.72182774543761,116.0409927368164,,13.769558072090149,,59.83119606971741,50.20265579223633,35.14509499073029,53.19979786872864,90.88231325149536,19.301767647266384,0.0,76.71206593513489,97.1391499042511,9.864649176597595,82.5958251953125,37.13329434394837,27.56902575492859,29.47534024715424,0.0,36.32031107942263,28.624553233385086,52.918740858634315,49.69761644800504,67.48895992835362,67.48895992835362,67.48895992835362,69.78388627370198,69.23442085584004,75.22189269463222,56.785220901171364,54.69821592171987,50.50510267416636,50.50510267416636,51.427137603362404,51.427137603362404,41.455271591742836,45.87350661555926,56.205849101146065,48.98332431912422,47.60224297642708,50.57416409254074,55.169001718362175,47.29621410369873,31.106355786323547
14,Neal Maupay,Brighton,29,28,38.379725030270116,39.75042949563691,0.0,56.99573755264282,65.62230587005615,0.0,,,131.10792636871338,23.99263828992844,6.231467425823213,38.98874521255493,23.137187957763672,0.0,3.176711499691009,127.37299203872679,30.583178997039795,39.31678235530853,0.0,10.860154777765274,4.519184306263924,98.50479364395142,81.87599778175355,34.534001350402825,110.35057306289671,0.0,62.776923179626465,17.293517291545868,9.739510715007784,44.58219408988953,51.98385715484619,39.46564495563507,46.286434680223465,47.325012584527336,44.32384719451269,37.24299420913061,37.24299420913061,37.24299420913061,37.24299420913061,15.921125064293543,33.151184022426605,37.20980261762937,37.26447547475497,33.40827748179435,35.21830327808856,35.44204874585072,30.63068234672149,39.179485477507114,38.38235531002283,56.77411748717228,54.96409169087807,64.67371483643849,51.138502111037575,39.11575426657994,40.79045305649439,31.062667071819305,37.64027456442515
15,Danny Ings,Southampton,29,29,38.108840449873746,38.108840449873746,2.2151153534650803,6.1480678617954245,46.37278318405152,4.2493533343076715,28.63186001777649,,0.0,13.15211057662964,165.32385349273682,52.16745138168335,64.32440876960753,0.0,80.27819395065308,5.913807079195976,18.381336331367493,82.11449384689331,87.86735534667969,42.15376973152161,66.4255678653717,2.171275578439236,1.862705498933792,89.41832780838013,97.15026617050172,51.91029906272888,14.054904878139494,0.0,4.518900811672211,1.8681135028600693,76.48205161094666,0.0,14.602863291899363,16.425695829093456,42.954993434250355,43.92077146718899,53.93328070640564,49.16130403677622,49.16130403677622,62.541003028551735,61.334619112312794,36.844199585417904,41.835373329619564,45.75919775913159,52.784826047718525,50.47605503350496,49.85229978337884,47.09919464463989,48.31650030488769,49.86365210885803,51.48974033072591,42.76129649952054,42.399417236447334,42.84211645523707,28.250414070983727,24.80571164439122,16.153995133936405
16,Teemu Pukki,Norwich,29,28,37.484023090580415,38.822738200958284,63.1092369556427,15.488040447235107,22.14157283306122,10.447901487350462,63.61696720123291,,93.05475950241087,117.43532419204712,,13.157929480075836,0.0,14.012287557125092,85.55673956871033,81.00802898406981,21.141913533210754,37.27749288082123,14.916293323040009,9.34699773788452,18.33915412425995,14.942395687103273,53.36107611656189,6.27870112657547,15.94347208738327,6.23742900788784,41.66241884231568,89.11361694335938,5.0371967256069174,14.619958400726318,113.34203481674194,46.44773006439209,44.64307973782221,53.69742761055628,53.309075782696404,49.61881364385287,50.21287798881531,53.86950671672821,53.86950671672821,51.8617182970047,35.812816520531975,35.812816520531975,39.83274375398954,42.31879264116287,41.54124433795611,30.338313430547714,19.327374547719955,24.697234978278477,19.530769685904186,19.701966146628063,19.183704691628616,23.070915477971237,35.432785687347256,27.37880578885476,28.769015334546566,45.002109122773014,51.70382596552372
17,Diogo Jota,Wolves,29,25,35.66911036855188,41.37616802752018,6.016166880726813,133.84368419647214,164.2433285713196,6.920874863862991,26.77431404590607,,69.94870901107788,,,4.5938726514577874,4.3455637991428375,56.259751319885254,12.253380566835403,19.96975690126419,155.47375679016113,12.890461087226868,14.91675078868866,15.323540568351744,77.43205428123473,68.63502860069275,53.81792187690735,0.0,,,64.86644148826599,4.021104797720908,0.0,20.245023071765896,0.0,41.612714529037476,67.95784626156092,67.72079722334941,46.13777715712786,28.1405142818888,29.029265232384205,27.895172374943893,27.895172374943893,42.1493470047911,42.1493470047911,42.1493470047911,43.532111744085945,45.29397624234358,38.47127445042133,49.334386736154556,57.44526535272598,40.50262620051702,38.35421601931254,46.679164469242096,44.79542517413696,31.890082793931168,23.82508187244336,14.855428226292133,21.790880647798378,21.790880647798378,21.790880647798378
18,Anthony Martial,Man Utd,29,23,33.46013331721569,42.1888637477937,118.19430589675905,9.778816998004912,49.73656535148621,14.16511982679367,0.0,,35.93881726264953,35.81174910068511,58.116894960403435,0.0,94.0667450428009,53.47661375999451,19.909736514091488,3.5048339515924454,21.311941742897037,,80.68127632141112,4.6874336898326865,18.061026930809017,1.9140597432851791,233.512282371521,0.0,,,,,,29.274961352348328,11.314776539802553,76.8859088420868,37.9689375559489,24.23851142326991,32.29485775033633,24.00543019175529,37.32236772775649,46.235136687755585,46.235136687755585,43.563623229662575,38.179137371480465,32.04497850189606,45.49185788879792,30.59530599663655,24.692708191772297,21.693428729971245,60.02800346662601,56.47601317614317,56.47601317614317,47.9082940146327,49.012851156294346,58.816998141507305,,,,,
19,Callum Wilson,Bournemouth,29,28,29.829729091504525,30.895076559058257,75.64328908920287,25.23966729640961,68.8308835029602,51.28033757209778,32.60413706302643,,89.86471891403198,7.218827307224274,14.80766385793686,0.0,4.266849532723427,9.790001064538957,0.0,,0.0,0.0,6.326688826084138,11.875176429748535,5.789313092827798,10.53721234202385,0.0,6.903930753469468,4.999661445617676,152.43308544158938,49.54261183738709,84.34548377990724,30.925390124320984,37.37692832946777,4.670009762048722,79.7902762889862,57.24383890628815,45.839761942625046,44.101094702879585,32.62928078571955,24.79369944582383,20.991343446075916,20.991343446075916,6.013890293737252,4.810752409199874,2.342808432877064,3.397256570557754,4.665311053395272,3.998529724776745,5.75473178178072,5.75473178178072,5.75473178178072,6.905386907358964,6.6842156772812205,30.110533845921363,37.40275030334791,49.704128876328475,54.85836056371531,59.93719349304836,59.882251545786865,47.77511668701967
20,Richarlison de Andrade,Everton,29,27,29.696666494268797,31.896419567918336,8.925414085388184,97.00269103050232,97.9278028011322,27.30574309825897,12.307918071746824,,,,46.91197276115418,63.14021348953247,14.595523476600649,4.6144984662532815,10.899397730827332,0.0,66.74461364746094,36.81974411010742,78.43323349952699,7.50560536980629,43.54378879070282,23.7863227725029,19.242015480995175,20.58095484972,10.161163657903673,9.964396059513092,44.99136507511139,19.645684957504272,44.858133792877204,1.839718036353588,34.207352995872505,15.24806022644043,48.39692364136378,57.4327235420545,43.69819561640421,28.14597822725773,25.411587332685787,23.360267654061317,23.360267654061317,23.360267654061317,23.360267654061317,26.66570780177911,22.27896290520827,32.918581242362656,33.400432392954826,38.84116423626741,42.80555136501789,34.88845167060693,32.181986793875694,20.803308486938477,21.213106935222942,21.45436964929104,20.764263346791267,25.033616398771603,21.910076929877203,25.917775152872007,26.798385847359896
21,Sebastien Haller,West Ham,29,27,27.48198502151103,29.51768761569703,8.212823420763018,75.78762769699097,8.444042503833769,,0.0,0.0,0.0,87.19151020050049,36.32746338844299,17.432817816734314,25.292503833770752,2.3393472656607632,,34.34906303882599,0.0,0.0,0.0,35.64777374267578,2.378370612859726,32.76925981044769,0.0,6.9825030863285065,82.9520285129547,14.490924775600432,5.8496300131082535,17.510515451431274,113.11509609222412,182.19897747039798,,7.705286890268326,15.40741560359796,28.57053006688754,21.993836015462875,23.491965234279633,23.491965234279633,27.707382539908092,28.097273750851553,33.822117590655886,19.2901992239058,13.235621992498636,10.330152356376251,12.056030674527088,12.062534565726915,12.062534565726915,11.799234027663866,11.799234027663866,12.96298454205195,26.788322627544403,23.26218113303184,23.840724366406594,21.297600306570526,40.15011632194122,69.35286205261946,56.81173844883839,
