,Name,Team,Team games,Played,Threat per fixture adj,Threat per game adj,Threat GW29adj,Threat GW28adj,Threat GW27adj,Threat GW26adj,Threat GW25adj,Threat GW24adj*,Threat GW24adj,Threat GW23adj,Threat GW22adj,Threat GW21adj,Threat GW20adj,Threat GW19adj,Threat GW18adj,Threat GW17adj,Threat GW16adj,Threat GW15adj,Threat GW14adj,Threat GW13adj,Threat GW12adj,Threat GW11adj,Threat GW10adj,Threat GW9adj,Threat GW8adj,Threat GW7adj,Threat GW6adj,Threat GW5adj,Threat GW4adj,Threat GW3adj,Threat GW2adj,Threat GW1adj,Threat GW29adj 6 - average,Threat GW28adj 6 - average,Threat GW27adj 6 - average,Threat GW26adj 6 - average,Threat GW25adj 6 - average,Threat GW24adj* 6 - average,Threat GW24adj 6 - average,Threat GW23adj 6 - average,Threat GW22adj 6 - average,Threat GW21adj 6 - average,Threat GW20adj 6 - average,Threat GW19adj 6 - average,Threat GW18adj 6 - average,Threat GW17adj 6 - average,Threat GW16adj 6 - average,Threat GW15adj 6 - average,Threat GW14adj 6 - average,Threat GW13adj 6 - average,Threat GW12adj 6 - average,Threat GW11adj 6 - average,Threat GW10adj 6 - average,Threat GW9adj 6 - average,Threat GW8adj 6 - average,Threat GW7adj 6 - average,Threat GW6adj 6 - average
203,Fabian Schar,Newcastle,29,18,3.77478028070764,6.081590452251198,,,1.8277586623623678,0.0,,,6.245125347655726,,,1.9706198914938557,19.57694540638342,1.271569194024453,0.0,0.0,0.0,,,,,,,0.0,10.607768403808484,1.1439274264446986,4.983403008870536,2.933593591833763,54.88206810932057,2.136634245737542,0.7189616038505657,1.170253248735575,5.1486697503199705,5.1486697503199705,5.1486697503199705,4.8440433065929085,4.8440433065929085,4.8440433065929085,4.8440433065929085,3.8031890819836214,3.8031890819836214,3.8031890819836214,3.4747524334013122,1.9798895996388228,1.9586159717088636,2.7891831398539533,3.27811540515958,12.425126756713007,12.425126756713007,12.425126756713007,12.425126756713007,12.425126756713007,12.425126756713007,12.425126756713007,12.78123246433593,11.133097997676279,11.13748563472476
204,Steven Bergwijn,Spurs,29,5,3.7635108323466633,21.828362827610647,3.341119450985467,75.73627975061918,0.0,21.628155908910983,8.436259027537607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,Robbie Brady,Burnley,29,14,3.663084198438548,7.587817268194135,,,0.0,,,,,,,0.0,17.740240581212586,7.634698476221378,0.0,,13.691954119254335,46.93857514725695,0.0,,0.0,13.061163460991935,0.0,7.1628099697806915,,0.0,0.0,,,,,,6.511148862781383,6.511148862781383,6.511148862781383,14.334244720657543,14.334244720657543,14.334244720657543,14.334244720657543,14.334244720657543,14.334244720657543,14.334244720657543,14.334244720657543,11.37753795712211,12.281948787917202,12.281948787917202,12.281948787917202,11.193758096338263,3.3706622384621046,3.3706622384621046,3.3706622384621046,,,,,,
206,Bukayo Saka,Arsenal,28,18,3.6485458281927126,5.67551573274422,0.0,,0.0,3.542691419778414,0.0,,0.0,0.0,,15.144207178282516,0.0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,5.757465823198115,75.70797195422249,2.0069468139144178,,,,,,0.5904485699630689,3.1144830996768214,3.1144830996768214,3.1144830996768214,2.5240345297137528,2.5240345297137528,2.5240345297137528,2.5240345297137528,2.5240345297137528,2.5240345297137528,0.0,0.0,0.0,0.9595776371996858,13.577572962903433,13.577572962903433,13.577572962903433,13.912064098555836,13.912064098555836,13.912064098555836,,,,,
207,Kenny McLean,Norwich,29,28,3.620310604858307,3.749607412174675,0.0,0.0,2.5794647691767176,0.0,7.514913700670732,,0.0,0.993885478556505,0.0,13.601520424776247,0.0,2.3927776766825386,26.22660633562987,0.0,0.0,2.060669294297487,11.38678028130005,4.357916098160225,6.14359189423377,0.0,0.0,17.56862525671227,0.5330425046454857,0.0,0.0,9.629213826048991,0.0,0.0,,0.0,1.6823964116412415,1.848043991400659,1.848043991400659,3.6850532673339145,3.6850532673339145,2.831363930002549,2.831363930002549,7.2024649859408605,7.036817406181442,7.036817406181442,5.113342217768316,7.0111389313183246,7.338662001564605,3.991492927998589,3.991492927998589,3.991492927998589,6.5761522550677185,4.7671959589586255,4.040876609265254,3.0169446268929594,4.621813597901125,4.621813597901125,1.6937093884490795,1.6048689710081652,
208,Dennis Praet,Leicester,29,21,3.59316764167143,4.961993409927213,0.0,10.995440861278073,0.0,2.0420272826082875,0.0,,,10.718834032687772,48.406137402144346,,,2.7676134358758673,0.0,0.0,0.0,14.81144908356052,,0.0,2.0480298214951485,0.0,,0.0,4.539638656778078,6.039404170233458,0.0,,,1.8332868618099203,0.0,,3.9593836960956885,12.027073263119746,10.655768692219379,10.655768692219379,10.315430811784664,10.315430811784664,10.315430811784664,10.315430811784664,10.997533320263456,2.929843753239398,2.929843753239398,2.929843753239398,2.809913150842611,2.809913150842611,2.809913150842611,3.5665195936389575,2.1045121080844473,2.1045121080844473,2.1045121080844473,2.068721614803576,2.068721614803576,2.068721614803576,,,
209,Aaron Cresswell,West Ham,29,23,3.5922039199013542,4.529300594658229,4.205318576799655,0.0,13.142659825358606,0.0,0.0,0.0,2.390518354752825,0.0,0.0,3.674547739985268,,0.0,,0.0,0.0,2.6493825284633084,8.656804375125166,3.887467355435391,7.370679167359905,0.0,33.82257182215476,,0.0,9.965051067816411,14.408912863887986,,,,,0.0,2.8913297336930435,2.588863030018572,2.588863030018572,0.3984197257921375,1.0108443491230155,1.0108443491230155,1.0108443491230155,0.612424623330878,1.0539883780747628,2.4967891072622903,2.5322757098373105,2.5322757098373105,3.760722237730628,3.760722237730628,3.760722237730628,9.397817541423088,8.956253786679204,9.174294902127743,10.927869153536511,9.699422625643193,,,,,
210,Marco Stiepermann,Norwich,29,19,3.5294082024799844,5.386991466943134,,0.0,0.0,,,,0.0,,,0.0,7.778107321664799,4.4717919811418305,,6.774600223813608,,2.741127905384197,,,0.0,4.312452087668967,0.0,,29.987033942058197,7.865570572443333,0.0,0.0,7.397391978134813,0.0,5.757888953084645,25.26687290652517,2.041649883801105,2.041649883801105,3.1707499211033725,3.6276045720007386,3.6276045720007386,3.6276045720007386,3.6276045720007386,3.6276045720007386,3.6276045720007386,3.6276045720007386,4.346346586612233,3.0499953663347665,7.302535693154162,7.302535693154162,7.484364084592449,7.484364084592449,7.027509433695083,7.027509433695083,7.027509433695083,7.027509433695083,7.541666082106057,7.541666082106057,7.541666082106057,3.503475250610465,6.403692306290772
211,Tyrone Mings,Aston Villa,28,23,3.508317179121201,4.270994826756245,0.0,,0.0,,5.250457491422133,,9.412000692676317,0.0,0.0,0.0,,,,,0.0,2.9389995316206394,56.39626149401723,0.0,9.200811948329896,0.0,0.0,0.0,0.0,0.0,15.034349857327415,0.0,0.0,0.0,0.0,0.0,2.443743030683075,2.443743030683075,2.443743030683075,2.443743030683075,2.443743030683075,2.058500037382826,2.058500037382826,9.889210170939645,9.889210170939645,11.422678828994627,11.422678828994627,11.422678828994627,11.422678828994627,11.422678828994627,11.422678828994627,11.422678828994627,10.93284557372452,1.5334686580549828,1.5334686580549828,2.5057249762212357,2.5057249762212357,2.5057249762212357,2.5057249762212357,2.5057249762212357,2.5057249762212357
212,Adam Lallana,Liverpool,29,15,3.3918723402661617,6.557619857847913,0.0,4.719886337620887,,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,10.599732449919628,,83.04467908017817,0.0,,0.0,,,0.0,,,0.7866477229368144,0.7866477229368144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7666220749866046,15.607401921682966,15.607401921682966,15.607401921682966,15.607401921682966,15.607401921682966,15.607401921682966,15.607401921682966,,,,,,,,
