,Name,Team,Team games,Played,Creativity per fixture,Creativity per game,Creativity GW29,Creativity GW28,Creativity GW27,Creativity GW26,Creativity GW25,Creativity GW24*,Creativity GW24,Creativity GW23,Creativity GW22,Creativity GW21,Creativity GW20,Creativity GW19,Creativity GW18,Creativity GW17,Creativity GW16,Creativity GW15,Creativity GW14,Creativity GW13,Creativity GW12,Creativity GW11,Creativity GW10,Creativity GW9,Creativity GW8,Creativity GW7,Creativity GW6,Creativity GW5,Creativity GW4,Creativity GW3,Creativity GW2,Creativity GW1,Creativity GW29 6 - average,Creativity GW28 6 - average,Creativity GW27 6 - average,Creativity GW26 6 - average,Creativity GW25 6 - average,Creativity GW24* 6 - average,Creativity GW24 6 - average,Creativity GW23 6 - average,Creativity GW22 6 - average,Creativity GW21 6 - average,Creativity GW20 6 - average,Creativity GW19 6 - average,Creativity GW18 6 - average,Creativity GW17 6 - average,Creativity GW16 6 - average,Creativity GW15 6 - average,Creativity GW14 6 - average,Creativity GW13 6 - average,Creativity GW12 6 - average,Creativity GW11 6 - average,Creativity GW10 6 - average,Creativity GW9 6 - average,Creativity GW8 6 - average,Creativity GW7 6 - average,Creativity GW6 6 - average
60,Sergio Aguero,Man City,28,22,10.42931725138,13.273676501756364,0.0,,32.88073241710663,5.405043438076973,0.0,,14.768962562084198,0.0,20.92699706554413,,0.0,0.0,0.0,,,,,16.929307579994198,0.0,0.0,0.0,,7.110649347305298,0.0,121.04688882827759,7.273620367050171,33.91080796718597,26.460668444633484,5.307205021381378,0.0,8.842456402877966,12.33028924713532,12.33028924713532,6.85016717761755,5.949326604604721,5.949326604604721,5.949326604604721,6.309384107589722,6.309384107589722,2.8215512633323665,2.8215512633323665,2.8215512633323665,4.006659487883249,4.006659487883249,4.006659487883249,4.006659487883249,4.006659487883249,4.006659487883249,21.35958969593048,22.57185975710551,28.223661084969837,32.63377249240875,32.63377249240875,32.3331984380881,32.3331984380881
61,Callum Wilson,Bournemouth,29,28,10.06479630054071,10.424253311274308,0.0,0.0,0.0,12.248621135950089,66.83903932571411,,12.676610052585602,0.0,0.0,13.319447636604307,0.0,31.071385741233826,0.0,,0.0,2.576790191233158,1.7703905701637268,3.7862583994865417,0.0,12.475757300853731,0.0,33.097752928733826,37.47566044330597,6.154003366827965,0.0,0.0,10.939224809408188,20.846731960773468,26.60141885280609,0.0,15.2940450857083,15.2940450857083,15.2940450857083,17.513953025142353,15.472516169150671,9.51124057173729,9.51124057173729,7.398472229639689,7.398472229639689,7.827937261511882,5.903094417105119,6.534137483686209,1.355573193480571,3.4348660769561925,3.4348660769561925,3.4348660769561925,8.52169319987297,14.472571512063345,14.867195673286915,14.867195673286915,12.787902789811293,14.611106924712658,12.569270096719265,10.756896498302618,9.731229270497957
62,Ilkay Gundogan,Man City,28,25,10.004830187452692,11.205409809947014,4.148276150226593,,4.823160171508789,0.0,55.74160218238831,,,5.989200994372367,0.0,8.643784373998644,0.0,0.0,7.461997866630554,9.002240002155306,7.41371363401413,,2.4566767737269397,6.009507551789284,12.232653796672821,55.87400794029236,16.186247766017914,62.80636191368103,4.931455105543137,0.0,,1.5684129670262337,0.0,6.197328492999077,8.648617565631866,0.0,11.783706583082676,12.532957953711351,12.532957953711351,11.729097925126554,11.729097925126554,3.682497205833594,3.682497205833594,3.682497205833594,4.184670373797417,5.420289312799771,4.389104712754488,5.390689304719369,7.429464937498172,15.498133283108473,16.69546791041891,25.927575957030058,25.927575957030058,26.340039012332756,25.338454420367878,23.56108094876011,14.24874629204472,12.583926413208246,3.5576356885333857,2.735726504276196,
63,Joelinton Cassio Apolinario de Lira,Newcastle,29,29,9.99930953157359,9.99930953157359,0.0,0.0,0.9371569380164146,1.8188307061791418,0.0,,0.0,0.0,0.0,0.0,65.45544862747192,90.32747149467468,0.0,58.17031860351562,0.0,0.0,2.5315985083580017,4.834233596920966,0.0,13.063707947731018,1.8554922193288803,0.0,1.9690930843353271,0.0,15.546785295009613,7.722818106412888,8.367183804512024,15.776407718658447,1.603429764509201,0.0,0.4593312740325928,0.4593312740325928,0.4593312740325928,0.303138451029857,10.909241437911987,25.96382002035777,25.96382002035777,25.96382002035777,35.6588731209437,35.6588731209437,35.6588731209437,25.171564767758053,10.922691784799097,10.922691784799097,3.404923342168331,3.714172045389811,3.714172045389811,3.620421141386032,2.8147155418992043,5.405846424400806,4.515698117514451,5.600980048378308,8.230381334821383,8.169437448183695,8.169437448183695
64,Jorge Luiz Frello Filho,Chelsea,29,26,9.981293928135058,11.132981689073718,,2.5247722864151,14.068268239498137,2.3380545899271965,0.0,,46.433404088020325,1.9095707684755323,0.0,0.0,0.0,6.325661391019821,2.3201165720820427,29.83238697052002,,0.0,0.0,0.0,,32.769152522087104,0.0,8.952951431274414,0.0,45.80734074115753,1.3467677868902683,79.45573925971983,9.485822916030882,5.887514352798463,0.0,0.0,11.212344995389381,11.212344995389381,10.791549614320198,8.446838241070509,8.057162476082643,9.111439374585947,9.111439374585947,1.7592247885962327,6.41302748893698,6.41302748893698,6.41302748893698,6.41302748893698,10.820276010781527,10.43358991543452,6.95368399222692,6.95368399222692,6.95368399222692,14.58824078241984,14.812702080234885,14.812702080234885,22.593799869840343,24.174770355845492,23.663864176099494,23.663864176099494,16.029307385906574
65,Aaron Wan-Bissaka,Man Utd,29,26,9.936573195817141,11.083100872257582,13.411204516887665,2.1306609734892845,0.0,5.421342700719833,41.134533286094666,,41.999486088752754,91.62248969078064,0.0,0.0,,38.65126967430115,0.0,0.0,5.721421167254447,0.0,2.5441419333219533,0.0,5.1340311765670785,0.0,0.0,4.523604735732079,,,0.0,9.739953279495241,9.879204630851746,4.7441426664590844,0.0,11.503136157989502,17.349537927657366,30.384752123306196,30.02964196105798,30.02964196105798,35.56796312332153,28.712207575639088,28.712207575639088,21.71229322751363,7.395448473592599,7.395448473592599,7.819472129146258,7.819472129146258,1.3775938500960667,2.2332657128572464,2.2332657128572464,1.2796955183148386,2.033629640936852,1.609605985383193,3.232931531965733,4.023793774346511,4.814484218756358,4.814484218756358,5.977739455799262,5.977739455799262,5.977739455799262
66,Alexandre Lacazette,Arsenal,28,20,9.904085232743196,13.865719325840473,6.645325571298598,,,60.42286157608032,10.654379427433014,,0.0,2.5732547044754033,49.501457810401924,14.659605920314787,0.0,16.339872777462006,0.0,,,17.336086928844455,9.208522737026216,4.847196117043495,0.0,55.817782878875725,10.256581008434297,2.239483967423439,,,,,14.246419072151186,0.0,2.565556019544601,,21.632879848281544,22.96859323978424,22.96859323978424,22.96859323978424,12.898116310437521,13.845698535442352,13.845698535442352,13.845698535442352,16.306170572837193,9.590681393941244,7.9552797600626945,7.9552797600626945,14.534931443631649,16.244361611704033,16.244361611704033,16.244361611704033,13.728261118133863,14.567910507321358,13.760044487814108,14.187637157738209,,,,,
67,Allan Saint-Maximin,Newcastle,29,18,9.8976233010662,15.946170873939991,51.91623568534851,0.0,4.346223548054694,88.49502205848694,2.887745387852192,,,41.66789650917053,,,,,,,2.038346417248249,3.5329479724168777,0.0,0.0,9.51489955186844,48.74020218849182,1.8308371305465696,13.77032995223999,7.313477247953415,,10.976912081241608,,,0.0,,0.0,31.552187198152144,23.23920565346877,23.828030315538246,23.103659724195797,8.354489381114641,9.45901507511735,9.45901507511735,9.45901507511735,10.637732688337564,10.637732688337564,10.637732688337564,10.637732688337564,10.637732688337564,10.637732688337564,10.637732688337564,10.603147807220617,12.309378137191137,13.528291011850039,15.35777635872364,13.771959766745567,5.648592735330264,,,,
68,Benjamin Chilwell,Leicester,29,23,9.836830841056232,12.402960625679597,,12.229762971401215,0.0,6.531452387571335,9.721537679433824,,0.0,,2.732631005346775,0.0,,0.0,0.0,10.987839102745056,17.787754535675052,,13.429220020771027,57.4830710887909,11.817798018455505,2.586679905653,94.97379064559937,0.0,0.0,5.686100199818611,2.4529071524739265,0.0,25.70779323577881,,,11.139756441116333,5.2025640072921915,5.2025640072921915,3.1642701787253222,3.1642701787253222,2.0756947807967667,2.286745018015305,2.286745018015305,5.251370773961147,5.251370773961147,7.034135609865189,16.614647457997005,16.614647457997005,18.58428046107292,19.015393778681755,33.01305236915747,30.04842661321163,30.04842661321163,27.810223276416462,19.17739479492108,17.61657965059082,17.185466332981985,5.641133431345224,7.4977595048646135,,
69,Tammy Abraham,Chelsea,29,25,9.83519475778629,11.408825919032097,,,0.0,,5.686303228139878,,5.331947281956673,0.0,7.8513383865356445,10.054342448711397,0.0,0.0,0.0,3.0316507443785667,0.0,14.549946784973145,,14.121399819850922,0.0,71.3659346103668,10.648735612630844,0.0,44.77747678756714,10.689775645732881,0.0,0.0,74.88021850585938,9.88159030675888,2.34998781234026,0.0,4.820655224223931,4.820655224223931,4.820655224223931,4.820655224223931,4.820655224223931,3.8729380195339522,3.8729380195339522,2.98428013920784,3.4895552632709346,2.180998865514994,2.930266254891952,5.2838328915337724,5.2838328915337724,17.178155326594908,18.44766947130362,18.44766947130362,23.485591138402622,23.485591138402622,22.913653776049614,22.913653776049614,11.019331340988478,21.724578489859898,23.371510207653046,16.300262045115232,14.51863277082642
