,Teams,Threat av adj,Matches,Threat GW29 adj,Threat GW28 adj,Threat GW27 adj,Threat GW26 adj,Threat GW25 adj,Threat GW24 adj*,Threat GW24 adj,Threat GW23 adj,Threat GW22 adj,Threat GW21 adj,Threat GW20 adj,Threat GW19 adj,Threat GW18 adj,Threat GW17 adj,Threat GW16 adj,Threat GW15 adj,Threat GW14 adj,Threat GW13 adj,Threat GW12 adj,Threat GW11 adj,Threat GW10 adj,Threat GW9 adj,Threat GW8 adj,Threat GW7 adj,Threat GW6 adj,Threat GW5 adj,Threat GW4 adj,Threat GW3 adj,Threat GW2 adj,Threat GW1 adj,Threat GW29 adj 6 - average,Threat GW28 adj 6 - average,Threat GW27 adj 6 - average,Threat GW26 adj 6 - average,Threat GW25 adj 6 - average,Threat GW24 adj* 6 - average,Threat GW24 adj 6 - average,Threat GW23 adj 6 - average,Threat GW22 adj 6 - average,Threat GW21 adj 6 - average,Threat GW20 adj 6 - average,Threat GW19 adj 6 - average,Threat GW18 adj 6 - average,Threat GW17 adj 6 - average,Threat GW16 adj 6 - average,Threat GW15 adj 6 - average,Threat GW14 adj 6 - average,Threat GW13 adj 6 - average,Threat GW12 adj 6 - average,Threat GW11 adj 6 - average,Threat GW10 adj 6 - average,Threat GW9 adj 6 - average,Threat GW8 adj 6 - average,Threat GW7 adj 6 - average,Threat GW6 adj 6 - average
11,Sheffield Utd,135.45103104457397,28,93.65884804616528,,158.46267228335574,179.36298560796564,83.80569495957921,,114.62420218141378,114.723537487243,150.9599661382588,94.35253135625487,182.4450291394064,195.57202915296816,158.42802755677184,125.36580846087834,55.73974730217893,88.65038219534455,196.49991255492125,246.62005098704904,88.57686306087302,272.7706110439796,93.27952676224032,86.1012420427985,33.759267194889105,177.4710352436664,58.29493192506772,177.16298192937512,143.36328120178183,74.67764405268554,178.31815483107232,169.58190454988565,124.10632342762045,133.6565097763027,133.6565097763027,122.97148628845254,123.48516021035935,142.11288257592417,142.11288257592417,149.41352013848385,151.1872319674231,135.31719549474312,134.36683730125802,136.7093178705105,145.21732150952397,133.57546076020753,158.14292785739107,164.39955776740132,163.97470107531026,136.8512601819716,125.32642422474116,120.27943570210697,104.34483084967286,112.69212325626309,110.78819025791095,134.88133819727483,133.5664830816447
12,Spurs,134.79273248432943,29,119.9940204168693,259.00454808212646,36.42377932730166,288.3956380616409,62.16682968668016,,182.14449821623137,168.63914590248586,164.41496274935227,101.96704422135764,142.4486533725635,98.50734152845911,37.901753203031284,131.96440759831535,253.02198079318055,75.11074906083056,250.46561223735532,164.59555030601229,163.33586016372604,27.92962284390067,204.2862492825555,85.0956591943333,45.68602934710964,112.12793256897938,152.63191133727943,100.99640608833906,194.8457824656087,102.41259435094007,11.025736217384871,171.44894342160387,158.02155229847497,166.12907321274437,150.3641423239487,161.28801980629137,136.96352235811182,143.02027433174166,143.02027433174166,118.9798168295416,112.8673604455132,127.63519678615124,123.15914759273005,141.16197407019538,152.1766755331209,173.08236002657,155.74322923416756,147.62060731573004,149.28475900464716,115.15482852293958,106.41022556676741,104.626234095693,116.80403130309939,115.23062016694159,118.11677602637603,112.34006050475524,122.22689564685932
13,Brighton,133.960689046863,29,41.205136615656485,171.98894518512927,114.66711957869343,72.72600848897599,151.1626977705306,,175.99837019600918,86.34078046431611,175.9415247592156,223.00121983127474,89.61831995591204,104.05138270956111,46.32449476209512,245.33685003482475,129.2404226199172,148.18979039329474,128.99364857351725,89.55884311609815,158.61001523265745,207.58470067428965,132.28437972471903,87.90070369727393,258.4411329084933,84.42438483690363,100.47114172620141,178.11589951427266,127.35834616138914,94.69578298841914,178.9777356545792,81.65020418480623,121.29137963916583,128.81398694727577,129.4727502096235,147.5284335850537,150.34381882954304,142.49193298604814,142.49193298604814,120.87962041372913,147.37896534214724,139.59544831893083,127.12687674593417,133.68943151553503,131.27400824995786,149.98826166171827,143.69623676829576,144.20356295242937,134.1553818364259,155.7299625589219,154.8742195123895,145.18440726131348,140.27294040131065,139.45193480742233,140.5844480226132,127.3405484802942,126.87818503827793
14,Watford,132.2203875801491,29,43.226367745221935,423.4750502383736,40.851408850206894,26.73805479454183,105.4849323027105,,122.02913121689001,228.30160648417964,198.27124552301535,142.81409821222613,217.21255060774246,64.51811820598076,220.61814531164845,150.4127262949416,151.22098090007384,22.79562074757492,47.486572338281945,95.26002389148105,106.34854126008871,201.98350961939903,56.90761328535799,80.83541838260547,156.06668252024704,145.58951738157333,50.988340287645286,273.138487200724,90.49360919605031,170.63191266364092,136.5749285002607,64.11604586163986,126.96749085799081,157.81336398115042,120.27939652859068,137.27317808892724,169.01892739112736,162.1911250416724,162.1911250416724,178.6226273907988,165.64114735925912,157.79943658876888,137.79635701132702,109.50869396641691,114.63234491400031,95.58741090540701,104.18254145948326,88.46364685703061,98.13694646286903,116.23363149319654,124.62188040821191,115.39518024613801,127.25434317635886,132.85200916147426,147.81809154164685,144.5694658716491,130.9905539516602
15,Aston Villa,127.74939037740528,28,76.74682711343986,,44.504131473799134,163.52504819927958,122.47027003087624,,105.00586999093964,97.4297357935901,166.498271863083,184.55225746870482,58.31337189432298,51.14971214082848,86.78027683931484,105.17574504961944,141.68242401313486,117.93264995731694,185.46012256981237,219.11843985371033,63.130323635150525,110.2622485310999,159.00014013128387,297.83162755668104,326.7997448189854,96.51431508015989,164.89822340089222,104.5321035121985,29.212081663244092,98.2186768587742,139.18599689527343,61.05229423183142,101.61364710032076,116.57222122526127,116.57222122526127,139.91357555774556,122.37829617358612,110.49153652524483,110.49153652524483,107.45393766664073,108.74493920931225,104.60896456765424,93.50569664908959,114.69682176167116,142.69160971381814,138.7499508464574,139.59770142670416,142.48398744639564,172.46715037962304,196.0237540878185,175.58973329222678,192.55104991985036,191.59602575003348,169.96468267202687,136.69585755570907,105.42689956842372,99.51656276036897
16,West Ham,124.77640344627001,29,156.92111786013373,262.5697371007101,94.89195758578036,13.25140841866099,124.85884270304517,130.5905164129554,132.6813104478853,193.28213120190395,97.84272943720792,196.31713705716396,89.26191710973805,76.63799979398748,,85.10193140342173,50.162504921009784,66.96595491705747,153.4793645855315,63.13801877770819,50.06738341446614,130.45964076936247,273.48106487656094,52.68375731720936,118.92832968018647,109.82425719259444,71.1557898971465,35.543285865587514,173.41744543084468,341.1652640774858,96.29448784504517,177.54041384144017,130.51393001354762,126.47396211150622,114.92602779503852,115.41782310360979,145.92877787669363,139.99595694447578,131.00387084131447,123.07397433390385,99.22070328708816,94.0745742003964,86.93494545512432,82.580962399786,78.15252633653246,78.15252633653246,85.71214456418924,122.9319045567811,120.55153829013976,114.79303247258228,122.57407220839666,126.0888066221767,110.26941413821423,93.59214423059484,141.67239535730758,137.90008838478403,149.186114492925
17,Bournemouth,124.34511510924705,29,192.60482123518761,217.8707227708046,185.4967837683953,122.43968308317123,183.2521322915169,,183.61608024675672,43.6518618472601,30.583395643556823,53.61991395249886,47.80768838020253,149.43854208920544,14.62407337649459,166.09108080427453,22.986966342731726,32.99026365633664,98.26914112028362,117.3739131047439,156.08062397353643,264.82971283282313,85.88179559071857,52.81983482024429,65.74630971064909,172.57301708728966,122.26987125146664,162.421508296005,63.311118166490424,280.0663561091937,108.08654433070947,209.2045822856175,180.88003723263873,156.05454400131745,124.83998948010952,102.86051117746013,90.42184539363198,84.78624702658009,84.78624702658009,56.62091254820306,77.02744904103879,75.76137749090127,72.32310244154091,80.73334456488776,75.38923973414417,98.9653315003178,115.42177017174258,125.90424171307372,129.20917024039164,123.78869833878589,132.98854900254352,127.35342354886522,110.28538945939552,106.52360988869084,144.39803010351577,151.45473587352583,157.55999673991377
18,Norwich,115.06195566972137,29,294.8597678145327,67.53282363318787,48.11175382373615,57.01748325745883,196.62458364781176,,135.99494792580774,148.4892719882341,38.295034970500446,166.0456906737293,25.58666653939959,96.37677460987078,168.80407710339225,132.857478704162,63.34949501066454,84.91810957816895,78.25340497560482,207.98136265138962,59.280211947315244,43.44980169047527,123.8676779946229,33.9701552053139,123.9912097157051,68.53388835729417,84.60256500058962,257.5609587195855,86.85346244716716,148.1017943813253,170.17254798030731,125.3137140745673,133.3568933504225,108.96181071270608,104.08884593559151,123.74450207725702,118.50603262424715,101.798064451257,101.798064451257,107.26625264752107,104.6609537668424,108.83669710686974,95.31543359094302,104.09322333031054,122.69398800389702,104.44001047788419,89.53873097560307,99.6250948062628,91.13376907745362,98.756736534137,75.51549081845444,79.73588299400016,115.4210758321852,109.25203990760924,128.27397977027783,135.97086948104484,145.43417376725702
19,Crystal Palace,93.01684313602911,29,81.70655611581152,207.33672907888152,142.54837982887824,99.5734996514631,104.90360090149169,,63.558786155875865,86.78290204812905,30.5545130449279,101.56232131356398,12.98679949912058,159.3584254413022,80.01193828891421,46.29275932855919,20.113554385871723,32.358743031643186,98.88592965940722,152.46712071927215,65.68705914809783,50.54951150999592,170.99827776903803,93.68216702500331,153.87170283752175,141.12580644798172,131.50076871220168,55.107862961243896,94.0223267179719,93.76368830223416,26.160574934986204,100.01614608545532,116.60459195540032,117.45064961078657,87.98694693846097,81.15593718590858,66.72482049385151,75.80062458381992,75.80062458381992,78.542816605993,71.79445948606468,70.05429970955532,58.52036999590186,72.83689168928296,71.68834090227794,69.30086104547522,70.01031974238133,95.15777363957572,105.37834430513574,114.5426398348215,112.65242078960642,123.62137238362374,124.3810976254984,111.5517724503207,111.56535932985918,90.28017134610326,83.42856128568219
20,Newcastle,91.14491441875799,29,305.565295311702,118.28104960922137,15.830641204033629,112.14140025597396,77.30113072989248,,68.2223878037796,122.33400152503188,24.612515343419705,89.0352535168093,187.28652263411223,145.44959323030795,68.74932125761788,114.77624862838356,105.45815911566459,57.72300269172293,30.80311759433572,46.33762244412598,200.11299459515234,143.73236565763185,80.68766181384366,26.999097524389725,90.06606677318028,6.178343134729704,104.84013617734195,43.2762540364456,99.61621523085164,49.09011831626516,72.11558209848937,36.580419889525295,116.22365081910051,85.68510185465549,70.07367947702188,82.27444819581781,94.79863525884086,106.15671234224345,106.15671234224345,106.24453458454984,104.9849091017751,118.45918306381593,113.2404745929682,87.15990708633876,70.64124528864177,92.53519084489751,97.36121034977224,93.23279413280208,88.11214327157988,97.98930146805397,91.29608824982127,75.41727851351952,58.67459324332182,61.82935214615648,65.51118894480238,62.519441499020566,67.5864542914865
