,Teams,Threat allowed av,Matches,Threat allowed GW29,Threat allowed GW28,Threat allowed GW27,Threat allowed GW26,Threat allowed GW25,Threat allowed GW24*,Threat allowed GW24,Threat allowed GW23,Threat allowed GW22,Threat allowed GW21,Threat allowed GW20,Threat allowed GW19,Threat allowed GW18,Threat allowed GW17,Threat allowed GW16,Threat allowed GW15,Threat allowed GW14,Threat allowed GW13,Threat allowed GW12,Threat allowed GW11,Threat allowed GW10,Threat allowed GW9,Threat allowed GW8,Threat allowed GW7,Threat allowed GW6,Threat allowed GW5,Threat allowed GW4,Threat allowed GW3,Threat allowed GW2,Threat allowed GW1,Threat allowed GW29 6 - average,Threat allowed GW28 6 - average,Threat allowed GW27 6 - average,Threat allowed GW26 6 - average,Threat allowed GW25 6 - average,Threat allowed GW24* 6 - average,Threat allowed GW24 6 - average,Threat allowed GW23 6 - average,Threat allowed GW22 6 - average,Threat allowed GW21 6 - average,Threat allowed GW20 6 - average,Threat allowed GW19 6 - average,Threat allowed GW18 6 - average,Threat allowed GW17 6 - average,Threat allowed GW16 6 - average,Threat allowed GW15 6 - average,Threat allowed GW14 6 - average,Threat allowed GW13 6 - average,Threat allowed GW12 6 - average,Threat allowed GW11 6 - average,Threat allowed GW10 6 - average,Threat allowed GW9 6 - average,Threat allowed GW8 6 - average,Threat allowed GW7 6 - average,Threat allowed GW6 6 - average
11,Crystal Palace,153.84452889255923,29,44.91610750555992,178.71207678690553,16.449468676000834,283.38330537080765,87.08170037716627,,113.06013036519289,247.9722943156958,168.97787414491177,172.5364975631237,148.43387668952346,79.6338165178895,71.4367656968534,254.92718694731593,157.132282666862,34.27986912429333,195.21156139671803,171.06094323098662,335.78728325664997,98.11672419309616,157.15987961739302,402.2366635501385,123.57729598879813,71.21291141957045,175.57239551097155,104.94440477341413,30.35399615764618,227.9232014901936,185.2886983193457,124.11212623119354,120.60046484693885,154.44316264862815,152.8207955416292,178.83530035614967,156.34372890926898,155.10241493272284,155.10241493272284,148.1651874879996,149.3243362599363,147.35007101359466,124.30729960712294,132.10358039165536,147.34143484383821,191.39985443713763,165.26477731143436,165.26937680318952,226.59550920749703,214.65646497284374,198.0151263376077,171.3126450466613,172.45059181004763,151.31627790008983,122.26403422343235,132.54926794519028,141.36580374712744
12,Burnley,140.25213131681085,29,113.66856750100851,112.04589549452066,175.7183700799942,69.40251998603344,148.02504405379295,,141.65994841605425,238.3139556273818,289.66064332053065,174.82363423332572,213.38779740035534,147.52142801880836,13.85316923260689,108.72584916651249,239.68399427831173,256.21443428099155,93.67318414151669,90.23841703310609,47.4280945956707,258.3915807306766,98.83210025727749,83.42063743621111,133.667553961277,91.42658859491348,80.14276325702667,168.72656717896461,120.05730429664254,133.127551805228,116.72230176627636,108.75191204249859,126.75339092190067,147.52762227629623,177.13008024729788,176.98095760618648,200.9785038419068,200.89456783607602,200.89456783607602,179.59343797216812,157.9954202286899,149.66597872165343,163.23111206293106,143.27867651979128,133.73150802217424,139.32732891601822,164.27161751004556,140.7963018398732,111.99733569907646,118.66306400236984,118.86109259600441,124.31353737289707,109.36936844761173,112.90690245417257,121.19138818234205,118.36717948317528,121.25473339110613
13,Sheffield Utd,136.91098867982095,28,272.66232799738646,,106.03482462465763,113.22225909680128,97.00631676241755,,287.30023484677076,122.88198815658687,90.47699719667435,346.94423601031303,108.62805414944887,59.6611075103283,42.83712450414896,97.25797353312373,58.58045984059572,53.37753742933273,128.70385637506843,133.064841106534,151.03971697390077,71.6612957417965,252.8930425643921,94.97353145852685,144.31777279824018,197.07900192588568,126.53036247938871,157.65888020396233,230.57949636131525,70.48789169639349,24.191171675920486,193.4553800150752,166.51799191410342,136.15377011398473,136.15377011398473,176.30533867826065,175.53963785370192,169.31543631168702,169.31543631168702,128.57158458791673,124.30091548400621,118.98482592465977,70.05704282782972,73.40300986543298,85.6369654648006,103.6707308764259,99.4046179112047,131.79004836517075,138.7227140367031,141.32503344056508,151.99406024379036,147.90916782803833,162.24209857173264,158.52317420455316,154.4422342441976,134.42113405714431,133.81719707200924
14,Leicester,129.72596923274727,29,67.24479384720325,59.17157717049122,242.74900779128075,114.49131136760116,80.69949224591255,,116.25402253121136,155.4627343080938,245.02307334914804,78.01178880035879,78.21038914844394,376.9733399152756,359.13870483636856,116.40837937593459,124.14070721715687,19.973292388021946,124.9861938878894,78.47055271267891,103.52114010602236,44.29097082465887,45.73337621986866,181.89908601343635,374.8671719804406,5.4134017787873745,133.73453728854656,110.3555291891098,55.47256153076887,65.43179657310247,122.62931521981955,81.2948601320386,113.43503415895005,128.13802423576513,159.1132735988746,131.65707043372095,125.61025006386141,174.98922467542192,174.98922467542192,215.47000505961478,208.9609459042549,188.8138848822564,179.14080214686692,186.93676960344115,137.18630506967506,94.58337761461735,82.56380952273805,69.49592102319002,96.48355329409242,138.13038297618428,125.95419115386903,130.9897573509564,142.00051707836488,143.62371463018158,124.21249972345929,82.17285693002243,94.81976665556431
15,Everton,129.02412803458242,29,202.88302600383759,120.03068309277296,133.56732837855816,86.77328051999211,91.92479578778148,,59.45236850529909,168.43562442809343,153.32416091114285,179.75698839873078,163.21075409650803,56.52521690353751,89.02281476184724,148.56472313404083,126.16577446460724,241.58452786505222,228.47755383700132,181.24526292085648,74.22811659052968,24.339256994426247,115.27916193008424,45.911236107349396,55.89120164513588,310.820309817791,50.80109164118767,141.54214877635243,200.17250142991546,85.59262081980705,119.01815868914127,87.15902455151081,115.7719137147069,110.03068011874954,115.57959308847785,123.27786975850661,136.01744868792593,130.11751887388527,130.11751887388527,135.04592658330998,131.73410970096788,127.20771195987861,137.5123018709322,148.39010182768106,169.17677616390088,166.71099313534796,146.00674877874553,144.19231335632503,111.58009806337456,82.81570603139699,104.41154718088607,100.5070430226624,120.0408583196501,134.18974823628864,140.80331235503158,151.3244718623658,114.04759098465244
16,Wolves,110.98348628729582,29,30.887377355247736,194.14985291659832,36.06457877904177,52.76366835460067,119.16300430893898,,160.71826294064522,78.69741693139076,18.44954565167427,107.05347210168839,149.1243228316307,198.16532284021375,126.535564661026,98.92054218798876,96.87864258885384,50.19769109785557,147.29636758565903,87.98350505530833,47.3225012421608,103.14385052770376,60.48348490148783,137.6953087747097,161.88429202884436,109.13392677903175,98.57299840077758,306.79915146902204,148.84179653599858,122.88703471422195,114.33172300457954,54.37589576467872,98.95779077584545,106.92613070520262,77.6427461610486,89.47422838148971,105.53433746099472,118.70139054954052,118.70139054954052,113.00427416960399,116.37479504570365,129.44631120190024,119.97034770126145,119.66568849359949,101.30205219611526,88.09987495963772,88.80375968292356,82.73790006836255,97.32083634783824,99.75215708836913,103.27722737565637,111.8189769020925,145.76152705897888,160.48791233139733,158.01986665464938,150.09443848393857,140.9680999815464
17,Chelsea,108.07545115079346,29,44.59215998649597,159.03665907680988,26.58785954117775,68.18140558898449,165.95584768801928,,56.807662546634674,89.29878529161215,81.0896884649992,162.78171073645353,78.52138355374336,98.13211336731909,27.666719630360603,121.23965192586184,204.1091039776802,86.08597982674837,112.03361824154854,124.24111478030682,47.948849201202385,147.4396474659443,223.88011068105698,19.708229787647724,127.0442013628781,61.626325640827424,103.0030645430088,152.0583586767316,104.649293795228,108.10821335762739,94.91786099970341,237.44246363639832,86.86026573802035,94.3113699555397,81.3202081869046,104.01918338611722,105.74251304691036,94.43855732679367,94.43855732679367,89.58173350741465,94.90521127978961,115.40844719856977,102.62582538028558,108.2111978282531,112.56269806375106,115.9430529922247,120.30971891557176,123.6048866994679,112.54192835961778,115.04369221317272,104.60789402325948,113.78359658022721,114.5533817820251,94.68157896772027,109.41490956271689,104.06051950218777,133.36320916811624
18,Man Utd,106.90017754918543,29,60.37690564990044,244.69114625826478,29.495568946003914,94.02043353766203,154.21067979186773,,71.7284046113491,200.65498910844326,27.64981370419264,194.76689100265503,38.6661603115499,105.01763895154,159.29090082645416,27.908816561102867,207.92120695114136,54.231526888906956,133.9060753583908,178.06481886655092,114.51973803341389,191.21257439255714,89.43504616618156,103.21159679442644,65.02957809716463,171.6124501079321,51.375963911414146,45.91405764222145,76.96160096675158,67.69933793693781,30.7355972006917,109.79563035070896,109.08718979917467,132.46687037559846,96.29331494991978,123.83853529269497,114.61282308834295,106.41398294828832,106.41398294828832,121.0077323174725,92.21670355958243,122.26193576740722,98.83937508178253,114.71269425625603,126.88722424209118,119.42536377658446,146.64265674849352,126.89496328433354,135.05830826858679,123.57889205838244,122.5034972652793,111.97953491161267,87.76311545322339,85.68420791998506,79.76549811040361,74.04983462765813,63.74703133478761
19,Man City,100.09729006061596,28,173.89012668281794,,72.32685163617134,8.958920277655126,42.02931895852088,,77.49433545395732,58.671582397073514,112.5649966299534,86.45865079015493,123.34616966545582,239.40498735755682,101.38821918517351,28.160971589386463,163.38520869612694,48.65477830171585,20.825158059597015,82.04742856323719,133.18952806293964,92.01774951070547,107.49571174383163,63.335989601910114,119.27186213433744,236.27034574747086,34.471843391656876,174.13002625107765,86.10354717820881,189.34531919658184,7.454203255474567,120.03029137849808,72.22852256769936,62.00766755888859,62.00766755888859,64.36296741788586,83.42750898251931,116.32345371569197,116.32345371569197,120.30576767089467,115.22066586961348,123.69070121397574,117.3900557992359,100.30322053159277,74.07696073253949,79.37717887883385,90.01997519905369,80.7050590403378,83.15192759037018,99.55971160282691,125.26353113353252,108.81058368831873,122.49596314504743,118.93060238411029,139.9321573165556,121.2958808367451,101.9225384419163
20,Liverpool,99.58186511207244,29,129.54442352056503,284.8258465528488,63.82355261594057,38.349491730332375,71.62981610745192,87.83411057665944,185.44207215309143,142.0550087466836,110.58415584266186,63.46073895692825,36.37643065303564,12.09943424910307,,101.16636641323566,15.460845082998278,176.45343150943518,86.760070361197,102.54813525825739,148.37708109989762,74.1614842787385,137.40125624462962,79.18619886040688,9.821069054305553,119.36556315049529,123.32131387665868,29.10725362598896,61.738956719636924,98.55416603386402,214.1408383846283,84.28497659042478,112.6678735172997,121.98414828938742,98.18900865502656,105.98244252614677,110.16765039724608,104.29208615484337,91.66964010025065,77.62368914360802,56.52466186632713,67.50287447745602,71.38609637816747,82.41471381237109,105.12765495417018,105.12765495417018,100.62684126508732,120.95024312535922,104.7390376838545,91.9158707993726,94.71877544807892,90.54281424420576,83.03377580208083,70.42339254791538,73.6513870768249,107.70468196521203,101.85791753853361
