,Name,Team,Threat per fixture,Threat per game,Threat GW13,Threat GW12,Threat GW11,Threat GW10,Threat GW9,Threat GW8,Threat GW7,Threat GW6,Threat GW5,Threat GW4,Threat GW3,Threat GW2,Threat GW1
124,Robert Snodgrass,West Ham,9.23076923076923,15.0,3.0,8.0,35.0,32.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,21.0,0.0
125,Solomon March,Brighton,9.23076923076923,15.0,4.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,23.0,22.0,25.0,21.0,0.0
126,Jack Cork,Burnley,9.153846153846153,10.818181818181818,4.0,9.0,0.0,0.0,0.0,0.0,51.0,21.0,4.0,0.0,2.0,28.0,0.0
127,Patrick van Aanholt,Crystal Palace,9.076923076923077,9.076923076923077,1.0,0.0,2.0,19.0,18.0,17.0,4.0,12.0,6.0,16.0,21.0,0.0,2.0
128,Patrick Cutrone,Wolves,8.846153846153847,12.777777777777779,0.0,0.0,0.0,0.0,4.0,11.0,0.0,0.0,62.0,38.0,0.0,0.0,0.0
129,Jack O'Connell,Sheffield Utd,8.76923076923077,8.76923076923077,4.0,4.0,2.0,4.0,6.0,2.0,18.0,2.0,6.0,0.0,11.0,55.0,0.0
130,Pedro Rodríguez Ledesma,Chelsea,8.76923076923077,38.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,6.0,23.0
131,Pablo Fornals,West Ham,8.76923076923077,9.5,2.0,0.0,0.0,2.0,22.0,0.0,52.0,2.0,14.0,0.0,17.0,3.0,0.0
132,Ben Mee,Burnley,8.692307692307692,8.692307692307692,2.0,38.0,2.0,2.0,19.0,6.0,7.0,0.0,0.0,0.0,4.0,31.0,2.0
133,Aaron Cresswell,West Ham,8.615384615384615,14.0,8.0,22.0,4.0,21.0,0.0,4.0,43.0,10.0,0.0,0.0,0.0,0.0,0.0
134,Rúben Diogo da Silva Neves,Wolves,8.538461538461538,8.538461538461538,19.0,15.0,17.0,3.0,0.0,0.0,0.0,1.0,9.0,8.0,32.0,7.0,0.0
135,George Baldock,Sheffield Utd,8.384615384615385,8.384615384615385,4.0,19.0,4.0,24.0,8.0,4.0,2.0,0.0,6.0,0.0,31.0,4.0,3.0
136,Will Hughes,Watford,8.384615384615385,9.909090909090908,18.0,10.0,6.0,11.0,0.0,0.0,0.0,2.0,10.0,23.0,17.0,6.0,6.0
137,Douglas Luiz Soares de Paulo,Aston Villa,8.307692307692308,9.818181818181818,41.0,15.0,0.0,20.0,9.0,7.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0
138,Mason Greenwood,Man Utd,8.307692307692308,10.8,35.0,0.0,7.0,17.0,0.0,17.0,5.0,0.0,0.0,9.0,0.0,0.0,18.0
139,James McArthur,Crystal Palace,8.23076923076923,8.916666666666666,4.0,2.0,5.0,19.0,4.0,1.0,42.0,4.0,0.0,22.0,4.0,0.0,0.0
140,Enda Stevens,Sheffield Utd,8.153846153846153,8.153846153846153,0.0,6.0,20.0,24.0,6.0,1.0,0.0,2.0,22.0,3.0,0.0,20.0,2.0
141,Matteo Guendouzi,Arsenal,8.076923076923077,8.076923076923077,2.0,0.0,2.0,9.0,6.0,14.0,17.0,13.0,0.0,25.0,0.0,17.0,0.0
142,Luka Milivojevic,Crystal Palace,8.076923076923077,8.75,22.0,0.0,8.0,17.0,8.0,0.0,17.0,9.0,0.0,16.0,0.0,8.0,0.0
143,Seamus Coleman,Everton,8.0,11.555555555555555,10.0,0.0,0.0,0.0,0.0,2.0,36.0,8.0,0.0,20.0,6.0,3.0,19.0
144,Cheikhou Kouyaté,Crystal Palace,8.0,9.454545454545455,4.0,8.0,2.0,4.0,5.0,6.0,4.0,20.0,8.0,43.0,0.0,0.0,0.0
145,Jonny Evans,Leicester,7.923076923076923,7.923076923076923,2.0,2.0,43.0,9.0,6.0,2.0,2.0,0.0,6.0,2.0,18.0,0.0,11.0
146,Davy Pröpper,Brighton,7.923076923076923,9.363636363636363,9.0,0.0,16.0,2.0,4.0,0.0,0.0,6.0,30.0,8.0,8.0,19.0,1.0
147,Kyle Walker,Man City,7.923076923076923,10.3,0.0,36.0,19.0,0.0,0.0,7.0,0.0,1.0,6.0,2.0,8.0,4.0,20.0
148,Emerson Palmieri dos Santos,Chelsea,7.6923076923076925,12.5,19.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,2.0,47.0
149,Tanguy Ndombele,Spurs,7.6923076923076925,10.0,0.0,12.0,0.0,13.0,22.0,0.0,37.0,2.0,0.0,0.0,0.0,0.0,14.0
150,Lewis Dunk,Brighton,7.6923076923076925,8.333333333333334,0.0,39.0,4.0,7.0,2.0,0.0,0.0,36.0,2.0,2.0,2.0,4.0,2.0
151,Callum Hudson-Odoi,Chelsea,7.615384615384615,16.5,0.0,1.0,0.0,11.0,42.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,Leander Dendoncker,Wolves,7.615384615384615,7.615384615384615,0.0,0.0,18.0,2.0,2.0,0.0,2.0,38.0,2.0,4.0,0.0,8.0,23.0
153,David Luiz Moreira Marinho,Arsenal,7.538461538461538,8.166666666666666,4.0,1.0,0.0,50.0,0.0,17.0,10.0,13.0,0.0,2.0,1.0,0.0,0.0
154,Daniel Ceballos Fernández,Arsenal,7.384615384615385,8.727272727272727,0.0,0.0,20.0,2.0,19.0,2.0,10.0,4.0,2.0,17.0,0.0,20.0,0.0
155,Moussa Djenepo,Southampton,7.384615384615385,16.0,28.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,31.0,0.0,0.0
156,Romain Saïss,Wolves,7.230769230769231,9.4,7.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,17.0,66.0,0.0,0.0,0.0
157,Marcos Alonso,Chelsea,7.230769230769231,13.428571428571429,0.0,0.0,0.0,0.0,42.0,8.0,15.0,3.0,24.0,0.0,2.0,0.0,0.0
158,Jordan Henderson,Liverpool,7.230769230769231,7.833333333333333,2.0,4.0,0.0,19.0,0.0,0.0,2.0,2.0,0.0,4.0,20.0,0.0,41.0
159,Kenny McLean,Norwich,7.153846153846154,7.75,4.0,28.0,0.0,0.0,41.0,1.0,2.0,0.0,17.0,0.0,0.0,0.0,0.0
160,Toby Alderweireld,Spurs,7.153846153846154,7.75,54.0,0.0,6.0,19.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,8.0
161,Issa Diop,West Ham,7.0,7.0,0.0,0.0,4.0,4.0,0.0,33.0,2.0,0.0,2.0,35.0,0.0,4.0,7.0
162,Fernando Luiz Rosa,Man City,7.0,10.11111111111111,34.0,0.0,6.0,43.0,2.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
163,Martín Montoya,Brighton,6.846153846153846,7.416666666666667,35.0,0.0,4.0,2.0,20.0,10.0,0.0,2.0,0.0,2.0,10.0,2.0,2.0
164,Jonjo Shelvey,Newcastle,6.846153846153846,11.125,7.0,17.0,8.0,0.0,0.0,0.0,0.0,7.0,3.0,0.0,0.0,21.0,26.0
165,Ciaran Clark,Newcastle,6.846153846153846,14.833333333333334,2.0,50.0,33.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166,Wilfred Ndidi,Leicester,6.769230769230769,7.333333333333333,18.0,5.0,1.0,8.0,0.0,0.0,17.0,1.0,16.0,2.0,0.0,17.0,3.0
167,Fabián Balbuena,West Ham,6.6923076923076925,17.4,0.0,2.0,81.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168,Steve Cook,Bournemouth,6.6923076923076925,6.6923076923076925,39.0,10.0,0.0,22.0,4.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0
169,Maximillian Aarons,Norwich,6.615384615384615,7.818181818181818,0.0,8.0,0.0,4.0,4.0,20.0,10.0,0.0,0.0,20.0,2.0,18.0,0.0
170,Ricardo Domingos Barbosa Pereira,Leicester,6.538461538461538,6.538461538461538,0.0,10.0,4.0,4.0,16.0,0.0,9.0,24.0,4.0,2.0,0.0,3.0,9.0
171,Benjamin Chilwell,Leicester,6.384615384615385,7.545454545454546,7.0,4.0,9.0,23.0,8.0,4.0,8.0,2.0,9.0,0.0,0.0,0.0,9.0
172,Angelo Ogbonna,West Ham,6.384615384615385,9.222222222222221,19.0,0.0,0.0,0.0,37.0,4.0,0.0,0.0,0.0,2.0,21.0,0.0,0.0
173,Federico Fernández,Newcastle,6.230769230769231,11.571428571428571,37.0,23.0,19.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174,Mark Noble,West Ham,6.153846153846154,7.2727272727272725,0.0,0.0,2.0,4.0,0.0,5.0,6.0,7.0,31.0,4.0,21.0,0.0,0.0
175,Joseph Willock,Arsenal,6.076923076923077,7.9,17.0,0.0,0.0,0.0,6.0,4.0,4.0,12.0,6.0,0.0,0.0,22.0,8.0
176,Johann Berg Gudmundsson,Burnley,6.076923076923077,19.75,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,20.0,4.0,22.0
177,Fabian Schär,Newcastle,6.0,8.666666666666666,0.0,0.0,0.0,0.0,0.0,12.0,2.0,5.0,10.0,23.0,4.0,17.0,5.0
178,Maya Yoshida,Southampton,5.923076923076923,11.0,0.0,0.0,0.0,2.0,2.0,9.0,25.0,0.0,2.0,0.0,0.0,37.0,0.0
179,Moussa Sissoko,Spurs,5.846153846153846,5.846153846153846,0.0,4.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,10.0,6.0,0.0,51.0
180,N'Golo Kanté,Chelsea,5.769230769230769,12.5,37.0,3.0,0.0,0.0,0.0,7.0,0.0,10.0,0.0,0.0,0.0,18.0,0.0
181,Bamidele Alli,Spurs,5.6923076923076925,12.333333333333334,4.0,0.0,17.0,13.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
182,Danny Welbeck,Watford,5.538461538461538,14.4,0.0,0.0,0.0,0.0,0.0,21.0,49.0,0.0,0.0,0.0,2.0,0.0,0.0
183,Mateo Kovacic,Chelsea,5.538461538461538,5.538461538461538,0.0,10.0,18.0,8.0,0.0,0.0,0.0,8.0,0.0,8.0,20.0,0.0,0.0
184,Dale Stephens,Brighton,5.538461538461538,5.538461538461538,0.0,0.0,1.0,0.0,10.0,8.0,7.0,9.0,18.0,4.0,0.0,15.0,0.0
185,Chris Mepham,Bournemouth,5.538461538461538,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,68.0
186,Isaac Hayden,Newcastle,5.461538461538462,7.1,17.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,27.0,8.0,10.0,0.0
187,Rodrigo Hernandez,Man City,5.461538461538462,6.454545454545454,0.0,2.0,0.0,0.0,2.0,4.0,0.0,8.0,26.0,4.0,18.0,7.0,0.0
188,Sokratis Papastathopoulos,Arsenal,5.461538461538462,5.916666666666667,36.0,0.0,4.0,19.0,2.0,0.0,0.0,8.0,0.0,0.0,0.0,2.0,0.0
189,Tom Trybull,Norwich,5.384615384615385,8.75,21.0,18.0,22.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
190,Jesse Lingard,Man Utd,5.384615384615385,7.0,12.0,18.0,2.0,1.0,0.0,0.0,2.0,18.0,0.0,13.0,0.0,2.0,2.0
191,Scott Dann,Crystal Palace,5.3076923076923075,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,67.0
192,Adam Smith,Bournemouth,5.3076923076923075,7.666666666666667,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,22.0,33.0,4.0,4.0
193,Demarai Gray,Leicester,5.230769230769231,7.555555555555555,2.0,28.0,2.0,2.0,0.0,0.0,0.0,0.0,12.0,22.0,0.0,0.0,0.0
194,Paul Pogba,Man Utd,5.153846153846154,13.4,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,2.0,23.0,27.0,6.0
195,Reiss Nelson,Arsenal,5.153846153846154,16.75,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,19.0,0.0,0.0,37.0,4.0
196,Brandon Williams,Man Utd,5.142857142857143,9.0,17.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
197,Adam Webster,Brighton,5.0,7.222222222222222,2.0,0.0,0.0,0.0,49.0,2.0,6.0,4.0,0.0,2.0,0.0,0.0,0.0
198,Jamaal Lascelles,Newcastle,5.0,5.416666666666667,0.0,0.0,0.0,37.0,0.0,0.0,0.0,2.0,0.0,4.0,4.0,18.0,0.0
199,Frederico Rodrigues de Paula Santos,Man Utd,4.923076923076923,7.111111111111111,0.0,8.0,24.0,18.0,8.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0
200,Billy Sharp,Sheffield Utd,4.923076923076923,8.0,0.0,0.0,17.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,4.0,0.0,35.0
201,Andros Townsend,Crystal Palace,4.923076923076923,5.818181818181818,23.0,2.0,0.0,4.0,0.0,0.0,17.0,0.0,4.0,0.0,0.0,14.0,0.0
202,Serge Aurier,Spurs,4.846153846153846,7.875,0.0,11.0,0.0,0.0,20.0,0.0,0.0,10.0,22.0,0.0,0.0,0.0,0.0
203,César Azpilicueta,Chelsea,4.846153846153846,5.25,2.0,0.0,8.0,4.0,4.0,0.0,4.0,6.0,4.0,4.0,19.0,6.0,2.0
204,Arnaut Danjuma Groeneveld,Bournemouth,4.769230769230769,10.333333333333334,4.0,4.0,0.0,21.0,26.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
205,Çaglar Söyüncü,Leicester,4.769230769230769,4.769230769230769,0.0,0.0,37.0,0.0,10.0,0.0,0.0,0.0,6.0,3.0,2.0,2.0,2.0
206,João Pedro Cavaco Cancelo,Man City,4.6923076923076925,10.166666666666666,6.0,0.0,0.0,9.0,29.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
207,Sam Byram,Norwich,4.615384615384615,12.0,34.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,18.0,0.0,0.0,0.0,0.0
208,José Holebas,Watford,4.615384615384615,6.0,21.0,8.0,0.0,0.0,2.0,0.0,18.0,0.0,11.0,0.0,0.0,0.0,0.0
209,Dan Burn,Brighton,4.538461538461538,4.538461538461538,0.0,0.0,0.0,0.0,0.0,8.0,29.0,0.0,2.0,0.0,2.0,17.0,1.0
210,Divock Origi,Liverpool,4.538461538461538,5.9,0.0,0.0,12.0,0.0,12.0,0.0,8.0,0.0,4.0,2.0,0.0,0.0,21.0
211,Max Meyer,Crystal Palace,4.384615384615385,14.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,55.0
212,Ismaïla Sarr,Watford,4.3076923076923075,9.333333333333334,18.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0,18.0,0.0,8.0,0.0,0.0
213,Kurt Zouma,Chelsea,4.3076923076923075,4.666666666666667,0.0,0.0,0.0,0.0,17.0,4.0,0.0,0.0,4.0,4.0,0.0,19.0,8.0
214,Moritz Leitner,Norwich,4.076923076923077,5.888888888888889,0.0,0.0,0.0,0.0,3.0,25.0,10.0,3.0,0.0,2.0,2.0,4.0,4.0
215,Phil Foden,Man City,4.0,10.4,10.0,0.0,0.0,40.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216,Shane Duffy,Brighton,4.0,6.5,11.0,7.0,21.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,3.0,2.0
217,Juan Mata,Man Utd,4.0,7.428571428571429,0.0,0.0,0.0,0.0,0.0,4.0,0.0,17.0,23.0,8.0,0.0,0.0,0.0
218,Pedro Lomba Neto,Wolves,3.923076923076923,6.375,0.0,6.0,8.0,8.0,0.0,0.0,21.0,0.0,0.0,0.0,6.0,2.0,0.0
219,Dejan Lovren,Liverpool,3.8461538461538463,10.0,4.0,11.0,10.0,19.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220,Oliver Norwood,Sheffield Utd,3.8461538461538463,3.8461538461538463,8.0,9.0,0.0,0.0,1.0,2.0,7.0,0.0,0.0,7.0,8.0,8.0,0.0
221,Jamal Lewis,Norwich,3.769230769230769,4.083333333333333,0.0,13.0,2.0,1.0,2.0,11.0,2.0,4.0,0.0,8.0,2.0,4.0,0.0
222,Antonio Rüdiger,Chelsea,3.769230769230769,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0
223,Adam Lallana,Liverpool,3.769230769230769,9.8,0.0,0.0,14.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
224,Oleksandr Zinchenko,Man City,3.6923076923076925,6.857142857142857,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,16.0,1.0,0.0,14.0,1.0
225,Troy Deeney,Watford,3.6923076923076925,16.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,9.0
226,Glenn Murray,Brighton,3.6153846153846154,4.7,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,28.0,0.0,4.0,8.0,4.0
227,Dennis Praet,Leicester,3.6153846153846154,5.222222222222222,0.0,18.0,0.0,0.0,0.0,1.0,20.0,0.0,0.0,0.0,8.0,0.0,0.0
228,Ashley Westwood,Burnley,3.6153846153846154,3.6153846153846154,0.0,0.0,0.0,20.0,8.0,0.0,0.0,10.0,4.0,0.0,1.0,4.0,0.0
229,João Filipe Iria Santos Moutinho,Wolves,3.6153846153846154,3.6153846153846154,8.0,4.0,27.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230,Yan Valery,Southampton,3.6153846153846154,6.714285714285714,0.0,0.0,0.0,17.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,22.0,6.0
231,Keinan Davis,Aston Villa,3.5384615384615383,7.666666666666667,0.0,0.0,0.0,25.0,17.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
232,Daryl Janmaat,Watford,3.5384615384615383,5.75,0.0,7.0,4.0,4.0,20.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0
233,Michael Keane,Everton,3.5384615384615383,4.181818181818182,0.0,0.0,0.0,0.0,21.0,11.0,2.0,2.0,0.0,4.0,6.0,0.0,0.0
234,Henrikh Mkhitaryan,Arsenal,3.5384615384615383,15.333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,22.0
235,Ryan Fredericks,West Ham,3.5384615384615383,3.8333333333333335,2.0,2.0,0.0,0.0,0.0,2.0,14.0,6.0,4.0,10.0,4.0,2.0,0.0
236,Granit Xhaka,Arsenal,3.5384615384615383,5.111111111111111,0.0,0.0,0.0,4.0,13.0,4.0,4.0,4.0,3.0,9.0,0.0,0.0,5.0
237,Sead Kolasinac,Arsenal,3.4615384615384617,4.5,0.0,12.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,13.0,0.0,0.0,0.0
238,Paul Dummett,Newcastle,3.3846153846153846,4.4,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,33.0,0.0
239,Hamza Choudhury,Leicester,3.3076923076923075,5.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,2.0,2.0,10.0,8.0
240,Christian Atsu,Newcastle,3.3076923076923075,3.909090909090909,10.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,2.0,19.0,2.0,0.0,0.0
241,John Stones,Man City,3.230769230769231,6.0,4.0,4.0,11.0,21.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
242,Josip Drmic,Norwich,3.230769230769231,5.25,0.0,0.0,2.0,0.0,0.0,19.0,10.0,2.0,0.0,7.0,0.0,0.0,2.0
