,Name,Team,Threat per fixture,Threat per game,Threat GW13,Threat GW12,Threat GW11,Threat GW10,Threat GW9,Threat GW8,Threat GW7,Threat GW6,Threat GW5,Threat GW4,Threat GW3,Threat GW2,Threat GW1
243,Sean Longstaff,Newcastle,3.230769230769231,5.25,0.0,0.0,0.0,10.0,0.0,7.0,0.0,0.0,0.0,8.0,17.0,0.0,0.0
244,Jorge Luiz Frello Filho,Chelsea,3.230769230769231,3.5,0.0,0.0,0.0,0.0,0.0,0.0,18.0,1.0,0.0,4.0,10.0,1.0,8.0
245,Oriol Romeu Vidal,Southampton,3.1538461538461537,3.4166666666666665,0.0,2.0,0.0,0.0,2.0,18.0,0.0,0.0,0.0,8.0,0.0,0.0,11.0
246,Etienne Capoue,Watford,3.1538461538461537,5.125,20.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,10.0,1.0
247,Fabio Henrique Tavares,Liverpool,3.1538461538461537,3.4166666666666665,0.0,15.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,1.0,2.0,0.0,7.0
248,Davinson Sánchez,Spurs,3.076923076923077,4.444444444444445,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,21.0
249,Benjamin Mendy,Man City,3.076923076923077,10.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250,DeAndre Yedlin,Newcastle,3.0,5.571428571428571,0.0,35.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
251,Javier Hernández Balcázar,West Ham,3.0,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,18.0
252,James Milner,Liverpool,3.0,3.9,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0
253,Declan Rice,West Ham,3.0,3.0,0.0,0.0,1.0,9.0,2.0,0.0,7.0,0.0,18.0,1.0,0.0,1.0,0.0
254,Fikayo Tomori,Chelsea,3.0,3.9,4.0,0.0,0.0,0.0,6.0,0.0,0.0,22.0,7.0,0.0,0.0,0.0,0.0
255,John Egan,Sheffield Utd,2.923076923076923,3.1666666666666665,0.0,0.0,2.0,0.0,18.0,8.0,2.0,0.0,2.0,0.0,4.0,0.0,2.0
256,Mesut Özil,Arsenal,2.8461538461538463,9.25,25.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
257,Stuart Armstrong,Southampton,2.8461538461538463,3.7,2.0,0.0,7.0,2.0,0.0,0.0,7.0,0.0,0.0,2.0,17.0,0.0,0.0
258,Chris Basham,Sheffield Utd,2.8461538461538463,2.8461538461538463,2.0,0.0,2.0,0.0,0.0,6.0,0.0,4.0,8.0,3.0,4.0,6.0,2.0
259,Diego Rico,Bournemouth,2.8461538461538463,3.7,0.0,0.0,0.0,23.0,3.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,3.0
260,Danny Rose,Spurs,2.769230769230769,3.6,0.0,0.0,0.0,4.0,6.0,0.0,0.0,6.0,6.0,8.0,4.0,0.0,2.0
