,Name,Team number,Team,Team games,Played,Creativity per fixture,Creativity per game,Creativity GW29,Creativity GW28,Creativity GW27,Creativity GW26,Creativity GW25,Creativity GW24*,Creativity GW24,Creativity GW23,Creativity GW22,Creativity GW21,Creativity GW20,Creativity GW19,Creativity GW18,Creativity GW17,Creativity GW16,Creativity GW15,Creativity GW14,Creativity GW13,Creativity GW12,Creativity GW11,Creativity GW10,Creativity GW9,Creativity GW8,Creativity GW7,Creativity GW6,Creativity GW5,Creativity GW4,Creativity GW3,Creativity GW2,Creativity GW1
170,Solomon March,4,Brighton,29,13,6.913793103448276,15.423076923076923,12.8,14.9,0.0,26.8,2.3,,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.7,6.1,0.0,0.0,11.7,0.0,0.0,0.0,39.8,16.8,24.4,31.4,1.7
171,Isaac Hayden,13,Newcastle,29,24,6.8310344827586205,8.254166666666666,13.4,31.2,0.0,0.4,0.9,,16.9,1.4,6.8,0.6,13.9,0.0,5.7,20.3,1.8,1.4,0.7,1.8,13.3,12.3,0.0,0.0,0.0,1.1,12.5,0.3,14.2,0.5,14.7,12.0
172,Charlie Taylor,5,Burnley,29,17,6.779310344827587,11.564705882352943,9.8,10.9,11.8,5.6,16.3,,4.6,25.4,1.1,53.9,0.6,10.3,5.0,0.0,0.0,0.0,0.8,0.9,6.1,18.9,0.0,0.0,14.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173,Jetro Willems,13,Newcastle,29,19,6.7586206896551735,10.315789473684212,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,21.6,0.9,39.3,1.7,0.0,2.0,3.2,5.3,1.3,1.5,1.1,41.1,15.8,1.9,30.6,0.0,1.9,12.3,3.3,0.0,0.0,11.2
174,Toby Alderweireld,17,Spurs,29,27,6.6931034482758625,7.18888888888889,0.7,0.0,0.1,2.1,0.1,,14.3,10.9,6.5,4.3,14.6,14.2,0.3,0.2,3.1,17.3,13.3,0.1,0.0,3.2,10.1,30.8,2.0,0.3,0.3,12.8,0.1,5.8,0.1,26.5
175,Sofiane Boufal,16,Southampton,29,19,6.66896551724138,10.178947368421055,2.0,22.6,0.0,19.7,1.3,,0.0,0.9,0.0,0.0,3.8,0.2,0.0,0.0,11.3,0.0,15.7,10.8,1.1,0.0,0.0,0.7,0.3,24.8,14.9,28.9,11.8,10.3,0.0,12.3
176,Jack Cork,5,Burnley,29,27,6.6448275862068975,7.137037037037038,1.5,2.9,22.9,2.2,2.6,,5.2,11.5,1.8,25.2,1.3,3.6,1.8,2.5,3.2,1.0,1.8,4.8,23.3,4.1,16.0,0.0,0.0,2.0,23.1,1.3,21.4,1.8,1.8,2.1
177,Wilfred Ndidi,9,Leicester,29,23,6.634482758620692,8.36521739130435,2.8,1.7,0.0,0.0,0.0,,2.2,0.0,0.0,15.4,0.5,3.3,0.4,12.5,2.8,1.5,49.4,2.3,12.2,1.7,16.0,5.6,4.8,14.9,1.3,3.3,22.2,0.0,1.8,13.8
178,James McCarthy,7,Crystal Palace,29,24,6.5793103448275865,7.95,29.3,32.8,26.5,12.9,2.3,,1.9,19.1,2.6,25.9,3.7,0.3,2.9,1.6,0.3,0.0,0.0,0.0,0.7,1.3,0.0,0.0,4.1,0.6,11.0,10.2,0.0,0.0,0.8,0.0
179,Christian Atsu,13,Newcastle,29,18,6.4379310344827605,10.372222222222225,0.0,0.0,0.0,0.0,0.0,,0.8,0.0,1.0,0.0,0.0,11.5,0.0,13.9,0.0,0.3,10.3,0.6,0.0,1.6,0.2,14.5,0.0,7.1,4.5,40.9,48.2,31.3,0.0,0.0
180,Pedro Lomba Neto,20,Wolves,29,21,6.296551724137932,8.695238095238096,0.0,11.1,1.6,37.0,11.0,,7.9,19.4,6.3,13.1,14.4,1.3,15.3,0.0,0.1,11.0,0.0,0.0,0.3,0.1,5.8,0.0,0.0,21.9,0.7,0.0,1.3,1.4,1.6,0.0
181,Tanguy Ndombele,17,Spurs,29,19,6.286206896551724,9.594736842105263,3.0,1.6,2.7,0.0,11.8,,0.0,0.0,0.0,0.4,24.8,0.0,11.8,0.0,0.0,1.6,13.7,0.0,23.8,1.1,24.0,1.2,0.9,11.5,14.3,2.3,0.0,0.0,11.5,20.3
182,João Pedro Cavaco Cancelo,11,Man City,28,11,6.196428571428571,15.772727272727273,15.0,,0.0,0.0,1.6,,0.0,15.4,16.3,28.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.0,0.0,6.0,55.2,29.8,0.0,3.1,0.0,0.0,0.0,0.0,0.0
183,Tom Cleverley,18,Watford,29,10,6.189655172413793,17.95,0.0,0.0,0.7,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.8,28.7,25.9,11.8,37.4,37.4,35.3,0.3,0.0
184,Matthew Lowton,5,Burnley,29,15,6.141379310344829,11.873333333333335,0.0,0.0,0.0,0.0,1.8,,3.6,0.0,0.6,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,3.8,13.0,17.3,4.9,15.3,40.0,1.8,14.1,29.6,15.4,15.3
185,Wesley Moraes,2,Aston Villa,28,21,6.064285714285714,8.085714285714285,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,1.8,4.0,22.5,3.7,4.3,25.2,2.1,1.1,23.0,1.7,3.8,4.3,1.3,15.9,12.2,1.1,4.0,2.5,23.0,11.2,1.1
186,Bruno Miguel Borges Fernandes,12,Man Utd,29,5,5.937931034482758,34.44,39.8,24.5,55.4,41.6,10.9,,,,,,,,,,,,,,,,,,,,,,,,,
187,Stuart Armstrong,16,Southampton,29,21,5.906896551724139,8.157142857142858,0.0,3.0,53.7,4.3,0.0,,14.8,1.4,30.2,29.8,1.1,16.7,2.1,1.3,0.0,0.0,0.0,2.8,1.8,5.3,0.7,0.0,0.0,0.6,0.4,0.3,0.3,0.0,0.7,0.0
188,José Ángel Esmorís Tasende,11,Man City,28,6,5.857142857142857,27.333333333333332,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.5,38.3,0.0,0.0,37.5,34.3,0.7,0.0,0.0,0.0,34.7,0.0,0.0,0.0,0.0,0.0
189,Harry Maguire,12,Man Utd,29,29,5.779310344827587,5.779310344827587,0.2,1.3,1.1,0.2,12.2,,2.1,0.8,2.0,2.4,11.2,3.2,2.0,2.8,0.1,0.2,13.3,11.8,0.8,11.8,21.4,0.1,23.2,1.4,0.3,0.4,12.6,6.4,11.5,10.8
190,Lys Mousset,15,Sheffield Utd,28,23,5.753571428571429,7.004347826086957,0.0,,0.0,10.6,13.3,,0.8,2.1,2.1,1.2,12.4,14.3,0.1,1.2,1.2,1.0,26.3,11.1,0.4,45.2,0.6,2.8,0.9,1.7,1.0,0.3,10.5,0.0,0.0,0.0
191,Marc Albrighton,9,Leicester,29,14,5.6689655172413795,11.742857142857144,29.3,0.8,0.0,1.5,0.0,,0.0,0.0,0.0,0.0,13.6,0.7,4.3,0.0,10.9,0.0,0.5,0.0,0.0,0.0,16.2,0.0,4.8,30.5,0.0,0.0,25.3,0.0,10.9,15.1
192,Sead Kolasinac,1,Arsenal,28,17,5.617857142857142,9.252941176470587,0.0,,1.0,0.0,0.0,,0.0,0.0,3.6,3.1,0.0,0.0,0.0,0.7,15.7,6.5,15.2,0.0,1.8,0.3,0.7,32.6,2.0,2.3,13.8,23.6,34.1,0.0,0.3,0.0
193,Oriol Romeu Vidal,16,Southampton,29,22,5.610344827586207,7.395454545454546,0.0,1.3,21.2,0.0,0.9,,23.5,0.0,0.1,0.0,0.0,0.1,0.1,4.9,0.0,0.6,0.0,0.0,1.5,2.5,3.4,12.3,4.8,5.9,34.1,2.9,12.7,2.9,14.4,12.6
194,Marvelous Nakamba,2,Aston Villa,28,21,5.578571428571429,7.438095238095239,0.8,,0.6,10.5,1.6,,3.1,2.0,0.4,1.5,0.0,21.3,13.5,2.7,1.4,21.8,0.0,0.0,1.7,1.3,11.9,12.9,11.4,33.3,1.2,1.3,0.0,0.0,0.0,0.0
195,Dominic Solanke,3,Bournemouth,29,24,5.558620689655173,6.716666666666668,0.8,0.0,0.2,0.3,0.0,,21.1,1.5,4.3,4.3,11.5,0.0,0.3,0.3,0.3,14.8,46.5,0.0,1.8,0.0,0.5,1.3,11.9,2.4,12.4,11.8,2.1,0.3,10.5,0.0
196,Ainsley Maitland-Niles,1,Arsenal,28,14,5.55,11.1,0.0,,0.0,0.0,0.0,,0.0,3.8,1.3,2.3,1.3,3.2,15.6,17.9,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.6,12.2,41.7,9.6,19.8,12.3
197,Nemanja Matic,12,Man Utd,29,12,5.455172413793104,13.183333333333335,15.0,23.3,58.9,2.9,0.0,,17.8,3.3,9.6,16.5,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,1.4,2.8,0.0,0.0,0.0
198,Johann Berg Gudmundsson,5,Burnley,29,7,5.406896551724137,22.4,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,27.8,14.8,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3,0.0,0.0,0.0,0.0,11.2,63.1,33.1
199,Marco Stiepermann,14,Norwich,29,19,5.368965517241379,8.194736842105263,0.0,0.1,1.2,0.0,0.0,,0.0,0.0,0.0,0.0,4.1,0.3,0.0,0.7,0.0,14.8,0.0,0.0,13.3,24.8,13.9,0.0,11.6,12.1,17.9,14.6,5.5,1.6,18.8,0.4
200,Brandon Williams,12,Man Utd,29,12,5.3482758620689665,12.925000000000002,28.8,0.3,0.0,13.9,0.0,,13.4,2.0,18.3,0.0,27.8,0.0,0.0,0.0,0.0,0.0,3.0,23.3,12.8,11.5,0.0,0.0,0.0,0.0,,,,,,
201,Cheikhou Kouyaté,7,Crystal Palace,29,27,5.310344827586207,5.703703703703703,1.5,2.9,11.3,10.1,0.1,,10.6,0.4,11.5,0.5,0.3,2.3,0.3,0.8,1.0,1.6,2.3,32.4,1.9,2.2,13.2,12.1,3.8,3.4,3.0,11.1,12.3,1.1,0.0,0.0
202,Phil Foden,11,Man City,28,14,5.292857142857143,10.585714285714285,22.2,,0.0,4.0,0.0,,0.0,0.0,13.3,28.8,1.1,0.0,0.3,23.6,0.0,0.8,11.6,2.2,0.0,1.0,38.6,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
203,Moussa Djenepo,16,Southampton,29,18,5.289655172413794,8.522222222222224,0.0,0.0,49.4,14.3,4.5,,0.0,0.8,0.3,0.7,15.1,0.0,0.0,25.8,12.8,2.0,12.8,0.9,0.6,0.3,0.0,0.0,0.0,0.0,0.0,11.3,0.0,1.3,0.5,0.0
204,Erik Pieters,5,Burnley,29,15,5.265517241379311,10.180000000000001,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,16.8,0.8,0.8,0.0,0.0,10.9,2.7,1.8,14.6,29.2,13.7,15.9,1.3,11.3,5.3,25.1
205,Adam Masina,18,Watford,29,17,5.193103448275861,8.858823529411763,9.6,25.2,6.8,0.7,15.8,,19.3,5.3,5.1,0.5,0.0,0.0,0.0,0.0,12.1,15.8,0.4,11.5,0.0,10.3,12.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
206,Chris Basham,15,Sheffield Utd,28,28,5.124999999999999,5.124999999999999,6.6,,14.8,27.3,0.9,,11.1,1.3,1.3,0.0,1.5,16.0,0.6,4.1,0.8,18.5,1.1,1.5,1.7,1.3,0.6,0.7,3.2,1.2,1.0,1.1,11.3,1.7,10.8,1.5
207,Lewis Dunk,4,Brighton,29,27,5.1000000000000005,5.477777777777778,0.8,10.9,10.5,13.0,0.4,,2.3,10.7,0.9,10.5,0.8,0.0,1.0,10.4,0.5,11.8,2.3,0.0,10.8,1.6,10.3,10.7,10.6,0.3,0.6,0.9,0.7,0.8,0.5,13.3
208,Adam Webster,4,Brighton,29,23,5.093103448275863,6.4217391304347835,0.5,20.8,11.1,0.0,0.4,,2.3,10.3,0.7,0.6,0.0,5.3,6.4,0.3,1.7,10.3,14.3,10.8,0.0,0.4,2.4,1.8,10.8,11.2,22.2,2.3,0.8,0.0,0.0,0.0
209,Fabian Delph,8,Everton,29,16,5.058620689655172,9.16875,0.0,0.0,12.3,0.0,20.6,,7.3,6.3,0.0,4.1,0.3,32.9,5.8,0.0,0.0,0.0,0.0,0.0,0.0,2.7,0.6,0.0,13.0,8.8,16.1,12.0,3.9,0.0,0.0,0.0
210,Billy Sharp,15,Sheffield Utd,28,18,4.996428571428572,7.772222222222222,26.5,,3.3,2.4,1.1,,1.8,0.0,1.6,0.5,0.3,0.0,0.0,0.0,0.0,32.8,0.0,1.3,0.0,10.8,0.9,11.2,0.3,0.0,0.0,30.8,0.0,13.8,0.0,0.5
211,Kelechi Iheanacho,9,Leicester,29,12,4.906896551724137,11.858333333333333,2.8,13.6,1.0,0.0,0.4,,11.3,26.1,0.3,13.3,12.6,0.0,0.0,2.0,46.2,0.0,12.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212,Adam Smith,3,Bournemouth,29,18,4.879310344827586,7.861111111111111,14.3,2.3,16.3,1.9,13.1,,0.7,5.6,12.8,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,2.3,11.9,30.3,3.3,13.2,0.0,0.0,0.0,0.0,1.3,0.5,1.2,7.0
213,Jefferson Lerma,3,Bournemouth,29,24,4.831034482758621,5.837500000000001,10.7,2.3,0.0,0.0,1.1,,2.0,0.9,2.2,3.1,0.0,22.0,2.3,22.3,0.8,7.3,12.5,1.9,0.0,1.4,22.2,0.0,3.0,12.2,0.8,0.0,1.8,1.7,2.3,3.3
214,Jamal Lewis,14,Norwich,29,19,4.824137931034482,7.363157894736841,2.1,1.9,4.3,0.2,0.0,,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.2,0.0,0.0,0.0,3.5,2.6,0.8,2.2,18.2,23.3,22.9,1.2,16.8,5.8,7.2,25.1
215,Joseph Willock,1,Arsenal,28,19,4.746428571428572,6.994736842105263,0.0,,0.0,0.3,11.3,,0.3,0.0,0.0,0.0,14.3,0.3,10.3,0.3,0.0,0.8,1.9,0.1,1.6,0.0,0.0,1.1,10.9,21.0,11.8,0.7,0.0,15.9,28.3,1.7
216,Che Adams,16,Southampton,29,22,4.744827586206897,6.254545454545456,0.0,0.0,13.3,0.0,1.8,,10.3,1.7,13.1,0.0,17.7,1.0,0.0,0.0,0.1,1.6,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,23.5,12.6,12.8,13.0,12.2,1.8
217,Onel Hernández,14,Norwich,29,17,4.741379310344828,8.088235294117649,0.0,0.0,0.0,0.0,0.8,,0.5,0.0,0.8,0.0,1.8,0.1,0.3,10.3,22.4,31.9,23.9,12.9,18.6,11.3,1.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6
218,Oliver McBurnie,15,Sheffield Utd,28,26,4.707142857142856,5.069230769230769,2.3,,4.5,23.0,13.0,,6.0,6.3,13.0,0.8,0.2,1.2,3.1,2.0,0.3,2.5,1.3,0.2,0.0,3.5,0.0,0.5,14.3,1.7,2.6,12.1,10.8,3.8,1.4,1.4
219,James Milner,10,Liverpool,29,18,4.689655172413793,7.555555555555555,11.7,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,18.2,0.1,1.0,,18.8,28.0,2.6,0.0,0.1,0.3,0.0,0.0,0.0,26.9,0.5,0.9,1.0,0.0,1.4,24.1,0.3
220,Andros Townsend,7,Crystal Palace,29,15,4.579310344827586,8.853333333333332,0.0,0.0,0.0,0.0,0.2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,1.7,17.2,41.1,4.8,0.0,22.4,0.8,0.5,15.2,0.0,1.3,10.5,0.0,3.6,11.7
221,Romain Saïss,20,Wolves,29,25,4.555172413793104,5.284,0.4,0.3,10.3,0.9,0.1,,20.6,0.3,1.3,3.2,11.2,14.8,1.3,10.8,1.3,21.7,0.0,4.3,0.4,0.4,26.0,0.0,0.0,0.4,1.0,0.8,0.2,0.0,0.0,0.1
222,Dennis Praet,9,Leicester,29,21,4.541379310344827,6.2714285714285705,12.3,5.4,1.9,0.4,0.1,,0.0,15.1,2.8,0.0,0.0,4.9,0.5,27.9,15.9,1.8,0.0,2.4,5.2,10.1,0.0,0.3,3.1,8.4,0.7,0.0,0.0,12.4,0.1,0.0
223,Moritz Leitner,14,Norwich,29,9,4.403448275862069,14.18888888888889,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,25.8,8.3,8.3,34.3,0.0,15.9,13.9,17.8,1.2
224,Leander Dendoncker,20,Wolves,29,29,4.389655172413793,4.389655172413793,16.9,0.0,15.3,2.0,0.0,,0.5,0.3,11.3,23.3,0.3,2.0,1.0,1.3,0.3,1.3,0.9,1.1,4.6,0.4,1.6,2.8,0.9,4.0,2.9,4.3,1.7,1.3,3.1,21.9
225,Seamus Coleman,8,Everton,29,18,4.362068965517241,7.027777777777778,0.0,4.3,0.0,1.9,0.0,,0.0,12.8,0.0,0.7,0.0,1.5,0.0,0.4,0.0,0.0,0.0,21.8,0.0,0.0,0.0,0.0,11.8,12.3,9.1,6.8,14.5,24.1,1.2,3.3
226,Arthur Masuaku,19,West Ham,29,15,4.3517241379310345,8.413333333333334,0.0,0.0,0.0,1.8,0.5,4.1,0.4,2.1,9.1,1.0,12.3,0.0,,0.0,16.3,0.0,0.3,0.0,0.0,0.0,0.0,15.3,0.0,0.0,0.0,17.5,27.0,15.7,2.8,0.0
227,Lewis Cook,3,Bournemouth,29,20,4.296551724137931,6.2299999999999995,4.4,16.7,0.0,0.0,0.0,,0.0,0.2,2.0,6.4,0.7,3.4,1.8,2.2,11.3,1.7,45.1,9.1,15.3,0.0,0.0,3.0,0.0,0.2,0.1,1.0,0.0,0.0,0.0,0.0
228,Naby Keita,10,Liverpool,29,9,4.282758620689655,13.799999999999999,0.0,0.0,23.4,20.2,14.3,0.4,0.0,0.0,0.0,0.0,1.4,18.0,,0.0,43.5,0.0,0.0,0.0,0.0,0.5,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
229,Andre Gray,18,Watford,29,20,4.272413793103448,6.194999999999999,0.3,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,10.3,0.0,0.3,2.1,13.3,1.1,12.4,0.0,12.8,10.9,10.3,0.8,1.8,33.5,11.3,2.5
230,Andy Carroll,13,Newcastle,29,13,4.137931034482758,9.23076923076923,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.3,0.0,33.9,0.0,13.5,17.5,16.0,11.9,0.0,11.8,1.2,0.3,0.0,1.1,0.5,1.4,10.6,0.0,0.0,0.0,0.0,0.0
231,Mason Greenwood,12,Man Utd,29,22,4.106896551724137,5.413636363636363,0.0,13.3,31.8,0.0,1.0,,13.4,0.7,2.4,2.0,0.0,26.9,1.6,11.6,0.0,3.4,0.3,0.3,0.0,0.5,3.3,0.0,1.7,0.9,0.0,0.0,0.3,1.1,2.0,0.6
232,Calum Chambers,1,Arsenal,28,14,4.053571428571429,8.107142857142858,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,10.1,0.0,10.7,0.2,0.3,0.0,3.2,1.9,0.8,11.8,6.6,30.9,13.0,12.8,11.0,0.0,0.0,0.0,0.0,0.2
233,Virgil van Dijk,10,Liverpool,29,29,4.006896551724137,4.006896551724137,32.1,14.0,2.8,2.0,0.4,1.6,0.2,0.4,0.9,1.4,1.3,1.3,,5.0,2.1,0.3,3.7,4.7,0.1,11.8,2.6,1.3,3.4,14.1,0.5,4.5,1.0,0.8,1.1,0.8
234,Demarai Gray,9,Leicester,29,14,3.941379310344827,8.164285714285713,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.3,3.0,22.0,0.0,0.9,4.1,0.0,0.0,0.0,0.0,16.3,11.3,1.3,15.1,0.0,0.7,0.0,24.3,15.0,0.0,0.0,0.0
235,Jack Stacey,3,Bournemouth,29,12,3.8931034482758626,9.408333333333335,3.8,35.1,30.1,0.0,0.0,,0.0,0.0,0.0,0.0,1.9,11.8,11.9,0.9,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,1.0,11.5,0.8,1.4,0.0,0.0,0.0,0.0
236,James Tarkowski,5,Burnley,29,29,3.824137931034482,3.824137931034482,10.7,10.5,0.5,0.3,0.9,,10.4,0.4,0.1,11.2,0.3,0.2,0.1,0.1,10.2,0.3,0.3,0.3,10.3,0.3,10.8,10.3,10.4,0.3,0.0,10.3,0.6,0.5,0.1,0.2
237,Sam Byram,14,Norwich,29,17,3.7655172413793103,6.423529411764706,0.0,0.0,0.0,1.1,4.4,,22.3,17.1,14.6,12.8,0.0,12.3,1.9,3.4,3.5,2.3,2.5,2.0,0.0,0.0,0.3,0.0,0.0,0.0,7.6,1.0,0.0,0.0,0.1,0.0
238,Daryl Janmaat,18,Watford,29,8,3.7379310344827585,13.549999999999999,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.4,25.8,2.5,14.8,28.3,18.4,0.0,5.2,3.0,0.0,0.0,0.0
239,Fernando Luiz Rosa,11,Man City,28,23,3.7357142857142853,4.547826086956522,1.0,,0.4,0.0,3.5,,32.5,5.0,1.2,1.0,3.8,10.6,1.9,0.5,2.8,1.8,2.8,1.3,0.4,13.0,1.9,3.2,2.3,11.3,1.6,0.0,0.8,0.0,0.0,0.0
240,David Luiz Moreira Marinho,1,Arsenal,28,25,3.7321428571428568,4.18,1.3,,13.3,0.8,13.3,,0.1,0.3,0.9,0.3,0.1,18.4,0.2,0.0,0.0,0.3,4.8,1.0,16.8,7.6,0.5,4.1,3.4,7.1,0.8,3.3,1.0,0.7,4.1,0.0
241,Alexander Tettey,14,Norwich,29,23,3.6517241379310343,4.604347826086956,1.0,2.7,2.6,0.3,3.1,,12.1,12.1,13.4,3.1,11.8,3.7,4.6,5.6,5.2,15.8,0.0,1.7,3.3,0.0,2.4,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
242,André Filipe Tavares Gomes,8,Everton,29,11,3.4551724137931035,9.10909090909091,3.3,2.2,4.3,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.5,4.1,13.4,1.5,0.0,0.0,0.0,18.3,8.4,21.9,11.3
243,Moise Kean,8,Everton,29,22,3.4413793103448276,4.536363636363636,0.6,1.3,0.0,0.0,10.1,,2.1,12.3,0.0,2.2,13.7,10.3,0.1,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,1.3,0.0,18.8,1.4,12.3,10.8,0.7,1.2
244,Divock Origi,10,Liverpool,29,22,3.4241379310344833,4.513636363636365,0.0,16.3,0.0,0.0,0.0,1.8,1.1,0.0,0.8,3.1,1.6,1.3,,10.0,0.0,2.2,0.0,0.6,0.0,11.6,0.0,3.5,0.3,16.5,0.0,0.8,0.8,0.0,0.6,26.4
245,Reiss Nelson,1,Arsenal,28,11,3.4,8.654545454545454,0.2,,0.0,0.0,0.0,,0.0,0.0,0.0,0.5,2.5,18.7,21.4,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8,0.0,0.4,0.0,0.0,12.3,28.8
246,Leighton Baines,8,Everton,29,5,3.362068965517241,19.499999999999996,0.0,48.3,25.8,0.0,0.0,,0.0,0.0,0.0,0.0,21.1,0.0,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
247,Steven Bergwijn,17,Spurs,29,5,3.341379310344828,19.380000000000003,14.7,13.4,24.8,42.3,1.7,,,,,,,,,,,,,,,,,,,,,,,,,
248,Martin Kelly,7,Crystal Palace,29,19,3.327586206896551,5.078947368421052,0.0,0.0,0.0,0.0,0.0,,0.1,0.1,4.8,15.3,0.8,1.0,2.8,42.3,0.8,1.1,0.8,14.1,0.8,0.0,0.0,0.0,10.4,0.4,0.0,0.0,0.1,0.0,0.8,0.0
249,Jeffrey Schlupp,7,Crystal Palace,29,14,3.286206896551724,6.807142857142857,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.5,0.7,0.6,3.3,22.9,0.0,0.6,16.8,7.8,11.8,0.8,17.3,10.9,0.4,0.0
250,DeAndre Yedlin,13,Newcastle,29,12,3.279310344827586,7.925,0.0,0.0,0.0,0.0,15.7,,0.0,0.0,0.0,0.9,17.3,0.3,0.0,0.0,0.0,0.0,0.0,28.3,0.8,0.8,18.3,7.4,5.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0
251,Ben Mee,5,Burnley,29,29,3.2758620689655165,3.2758620689655165,0.3,0.2,0.3,0.2,10.8,,20.5,0.8,0.0,0.9,0.0,0.3,0.5,0.4,4.4,0.5,0.4,0.1,10.5,1.1,10.5,0.4,10.3,0.0,0.3,0.1,0.3,0.2,20.6,0.1
252,Tom Davies,8,Everton,29,21,3.2724137931034476,4.519047619047618,0.6,12.1,0.0,10.8,0.0,,0.3,2.3,13.0,6.3,12.9,0.6,12.3,1.4,0.6,1.3,1.4,2.6,2.1,5.3,2.3,5.8,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.1
253,Olivier Giroud,6,Chelsea,29,9,3.217241379310344,10.366666666666665,15.3,3.7,5.9,12.8,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,0.0,0.0,0.0,4.9,0.0,0.0,0.0,0.0,0.0,0.0,12.4,33.8,0.6
254,Mario Vrancic,14,Norwich,29,12,3.210344827586207,7.758333333333334,10.8,0.0,0.0,0.0,0.3,,0.0,0.0,5.0,12.6,14.6,1.1,0.2,0.1,25.6,0.0,0.0,0.0,11.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,10.2,0.0
255,Phil Bardsley,5,Burnley,29,14,3.2103448275862068,6.6499999999999995,4.3,1.6,11.0,14.5,0.0,,0.0,1.6,0.0,17.9,22.1,0.5,0.8,1.4,0.0,1.8,1.3,0.8,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
256,Rúben Gonçalo Silva Nascimento Vinagre,20,Wolves,29,13,3.172413793103448,7.076923076923076,7.0,1.8,14.2,0.0,0.0,,0.0,0.0,1.8,34.5,10.8,5.3,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,14.8,0.0,0.3,0.0,0.0,0.0,0.9,0.0,0.0,0.0
257,Nathaniel Chalobah,18,Watford,29,15,3.168965517241379,6.126666666666666,0.0,0.1,0.0,0.0,0.8,,1.1,25.8,20.3,2.8,0.1,14.6,0.1,0.0,0.0,0.0,0.0,0.0,0.0,23.9,0.3,0.6,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0
258,Ben Davies,17,Spurs,29,9,3.055172413793103,9.844444444444443,0.0,30.5,1.4,11.2,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.8,8.8,15.6,0.0,0.0,3.7,0.0,0.0,0.4,0.0,1.2,0.0,0.0
