,Name,Team number,Team,Team games,Played,Creativity per fixture,Creativity per game,Creativity GW29,Creativity GW28,Creativity GW27,Creativity GW26,Creativity GW25,Creativity GW24*,Creativity GW24,Creativity GW23,Creativity GW22,Creativity GW21,Creativity GW20,Creativity GW19,Creativity GW18,Creativity GW17,Creativity GW16,Creativity GW15,Creativity GW14,Creativity GW13,Creativity GW12,Creativity GW11,Creativity GW10,Creativity GW9,Creativity GW8,Creativity GW7,Creativity GW6,Creativity GW5,Creativity GW4,Creativity GW3,Creativity GW2,Creativity GW1
30,Robert Snodgrass,19,West Ham,29,24,19.03793103448276,23.004166666666666,0.1,1.0,18.9,4.8,30.2,29.1,0.2,25.1,14.3,45.2,14.8,23.8,,32.1,18.4,22.8,42.3,67.7,14.0,73.3,36.5,0.0,0.0,0.0,0.0,0.0,16.2,0.0,5.5,15.8
31,Bernardo Mota Veiga de Carvalho e Silva,11,Man City,28,24,18.48214285714286,21.562500000000004,3.4,,17.6,38.0,12.1,,0.0,43.7,0.0,0.0,40.9,3.4,17.9,14.2,26.4,43.2,1.3,0.0,24.3,25.1,47.8,42.5,4.9,0.3,33.0,33.2,1.1,21.8,21.4,0.0
32,Roberto Firmino,10,Liverpool,29,29,18.455172413793104,18.455172413793104,6.3,2.4,18.8,14.7,43.8,19.3,27.1,36.1,45.4,5.6,4.6,23.3,,13.1,21.9,10.3,3.1,4.0,11.0,45.5,14.8,5.8,26.5,14.9,12.6,49.6,26.9,5.8,7.2,14.8
33,David Silva,11,Man City,28,19,18.29642857142857,26.963157894736838,0.0,,0.0,39.1,0.0,,0.0,17.5,65.8,1.5,0.0,0.0,0.0,0.0,49.3,51.9,50.4,17.7,0.0,5.7,31.8,27.9,17.2,0.3,21.9,9.6,42.4,29.4,0.6,32.3
34,Frederico Rodrigues de Paula Santos,12,Man Utd,29,25,18.037931034482757,20.923999999999996,6.4,17.5,23.1,13.0,32.2,,28.4,27.9,8.5,19.3,4.2,47.1,50.3,52.0,22.2,21.5,39.9,6.5,19.1,38.5,2.8,2.2,8.0,10.8,21.3,0.4,0.0,0.0,0.0,0.0
35,Aaron Mooy,4,Brighton,29,22,17.59655172413793,23.195454545454545,17.8,51.3,41.9,20.6,3.1,,68.8,5.7,0.0,31.3,68.3,13.3,32.8,21.0,4.5,38.1,15.9,42.3,0.0,0.0,0.0,1.5,14.9,0.8,15.0,0.9,0.0,0.0,0.5,0.0
36,Enda Stevens,15,Sheffield Utd,28,28,16.95714285714286,16.95714285714286,12.8,,6.9,32.6,5.3,,20.1,30.4,18.0,3.4,28.3,24.4,27.4,16.7,7.8,31.3,17.7,18.6,17.4,26.2,13.8,2.8,7.7,47.4,1.7,23.7,12.3,3.8,13.2,3.1
37,Leandro Trossard,4,Brighton,29,23,16.86551724137931,21.26521739130435,40.3,12.3,0.0,3.3,39.1,,0.8,16.7,16.7,42.7,45.6,10.8,1.2,17.9,31.0,0.5,12.0,14.3,28.8,53.7,14.3,0.0,0.0,0.0,0.0,0.0,3.8,81.0,2.3,0.0
38,César Azpilicueta,6,Chelsea,29,27,16.7,17.937037037037037,2.9,42.3,2.4,4.4,7.8,,23.6,15.6,13.9,3.3,13.8,5.3,3.1,55.8,33.1,34.6,0.0,13.3,0.0,8.0,13.2,5.3,2.2,12.1,54.9,12.5,31.6,22.0,30.5,16.8
39,Abdoulaye Doucouré,18,Watford,29,28,16.548275862068966,17.139285714285716,45.4,23.0,4.8,12.8,14.6,,15.8,18.6,38.4,24.4,4.9,0.0,2.5,33.5,2.6,4.7,12.8,25.0,2.8,29.2,13.3,11.7,7.5,5.3,1.0,39.8,3.7,46.5,12.2,23.1
40,Wilfried Zaha,7,Crystal Palace,29,29,15.741379310344827,15.741379310344827,14.1,1.4,14.3,21.3,37.3,,16.8,11.7,19.3,21.9,12.1,24.8,7.3,16.2,14.1,14.3,29.5,9.7,11.9,22.2,6.6,14.8,14.9,58.7,6.5,2.2,15.0,2.0,14.8,0.8
41,Ricardo Domingos Barbosa Pereira,9,Leicester,29,28,15.396551724137929,15.94642857142857,32.3,18.7,25.8,19.7,2.5,,35.1,28.3,1.8,9.8,0.0,1.6,0.7,9.5,28.6,15.9,29.7,5.1,16.8,2.2,7.4,67.7,3.3,18.4,12.3,2.9,13.7,3.3,7.2,26.2
42,Benjamin Chilwell,9,Leicester,29,23,15.306896551724138,19.3,0.0,30.0,1.7,18.5,16.1,,9.6,0.0,15.0,9.3,0.0,2.8,1.0,29.3,36.0,0.0,28.9,31.7,27.3,13.0,76.8,5.6,4.7,27.2,12.6,4.5,25.6,0.0,0.0,16.7
43,Ryan Bertrand,16,Southampton,29,24,15.275862068965516,18.458333333333332,33.8,28.7,16.4,42.3,22.5,,18.1,30.6,30.3,15.6,2.4,0.8,24.8,9.4,5.9,6.4,8.8,22.2,0.0,0.0,0.0,25.8,10.9,52.8,26.7,0.0,0.0,0.0,1.1,6.7
44,Rodrigo Hernandez,11,Man City,28,26,15.146428571428572,16.31153846153846,6.3,,47.6,16.8,16.2,,28.2,0.7,16.8,3.8,29.8,2.6,1.9,15.8,28.7,10.8,1.3,12.2,4.7,0.0,0.0,14.8,50.2,24.9,14.3,27.7,18.7,2.0,24.2,3.1
45,Richarlison de Andrade,8,Everton,29,27,15.113793103448279,16.233333333333334,11.8,13.3,53.3,16.4,21.8,,0.0,0.0,15.6,2.0,35.5,14.1,22.3,13.5,4.5,11.8,33.3,1.8,12.8,4.2,23.8,18.3,11.4,1.6,17.3,40.9,13.3,3.0,0.4,20.3
46,Harvey Barnes,9,Leicester,29,27,15.100000000000001,16.21851851851852,19.0,49.8,0.8,4.0,17.9,,45.2,35.7,1.7,0.0,11.3,11.4,13.2,5.5,1.3,6.2,5.4,28.3,19.0,1.3,50.3,38.4,0.8,23.9,23.3,1.3,15.7,5.1,0.0,2.1
47,Luka Milivojevic,7,Crystal Palace,29,23,15.093103448275862,19.030434782608694,1.4,0.0,0.0,0.9,27.3,,0.0,0.0,0.0,3.9,35.3,18.3,26.7,15.8,11.7,17.9,7.3,11.7,15.5,15.1,3.4,1.6,0.0,22.2,20.1,32.8,101.3,10.9,21.8,14.8
48,Anwar El Ghazi,2,Aston Villa,28,25,15.05714285714286,16.864000000000004,0.4,,5.6,14.6,24.7,,42.8,6.8,3.8,0.0,5.1,5.2,28.9,30.8,31.3,0.0,14.0,24.5,31.1,26.2,0.3,3.3,36.0,2.0,30.1,37.2,0.0,0.5,11.1,5.3
