,Name,Team,Team games,Played,Threat per fixture adj,Threat per game adj,Threat GW29adj,Threat GW28adj,Threat GW27adj,Threat GW26adj,Threat GW25adj,Threat GW24adj*,Threat GW24adj,Threat GW23adj,Threat GW22adj,Threat GW21adj,Threat GW20adj,Threat GW19adj,Threat GW18adj,Threat GW17adj,Threat GW16adj,Threat GW15adj,Threat GW14adj,Threat GW13adj,Threat GW12adj,Threat GW11adj,Threat GW10adj,Threat GW9adj,Threat GW8adj,Threat GW7adj,Threat GW6adj,Threat GW5adj,Threat GW4adj,Threat GW3adj,Threat GW2adj,Threat GW1adj
11,Tammy Abraham,Chelsea,29,25,0.4584372281667342,0.5317871846734117,,,0.5930936793532683,,0.0,,0.4194084902191407,0.8953736061337767,0.7197480086513112,0.20079669446621323,0.6416715271865783,0.25343672242527754,0.16971782231827737,0.2787227388187524,0.7147498388907799,0.5151250380034469,,0.13137795761945706,0.8547793306940634,0.8368007240592352,0.07748482883844914,0.7316589471712575,0.2093091511830111,1.1556012403558515,0.7005177547074046,1.279523620434592,1.381956505415902,0.21846800548543696,0.18251799801237498,0.13283938639143403
12,Sadio Mane,Liverpool,29,26,0.4441339313917763,0.4953801542446736,0.5097326546648872,0.0,0.6327513806475393,0.07265902479816176,,,0.0,0.874323623309891,0.13628765043027405,1.576318644758071,0.8767584439866015,1.3243817845408974,,0.13141623077758527,,0.6865709749929328,0.47931904794231994,0.33822939806660945,0.7868942099050026,0.603471888992088,0.1842432307519235,0.0,0.8755187316383539,1.0504724798925327,0.1351398010032224,0.6706785273558891,0.3919969590198121,0.26500712086731687,0.27771220201960406,0.0
13,Pierre-Emerick Aubameyang,Arsenal,28,26,0.4201527505067663,0.45247219285344065,0.01900730170250023,,0.506436368860138,0.43843010667444815,0.7563012687571926,,,,0.4177565808926056,0.14494565236915347,0.6077288122573873,0.52349075853426,0.9140758238563523,0.14574541154829085,0.48652177168363375,0.2131529940962374,0.9221482213287426,0.44529346683254073,0.15156514671550025,0.6919210311548922,0.1496240713521361,0.09667526707323575,0.6552054784813168,0.5718197579538215,0.4223407406382722,0.7160164353372164,0.5435099757653689,0.4192130136181375,0.22716516841694354,0.5781863882891289
14,Danny Ings,Southampton,29,29,0.40705602562046,0.40705602562046,0.017986748115565686,0.04574090117367772,0.30792208147760425,0.04485822263493224,0.4256944552676414,,0.0,0.17545501091311355,1.8868495947158648,0.49795956299455624,0.6190453053227843,0.0,0.5330589816107779,0.043998028527080006,0.14925654598647306,0.6420319376038894,0.8386032861476245,0.4052028987008115,0.7622422730885395,0.03211599008323076,0.021259153119683644,1.1928803054111894,1.330900613154897,0.49550493941264667,0.11851055230829952,0.0,0.06258684650196027,0.017836155707474637,1.1371243530130242,0.0
15,Teemu Pukki,Norwich,29,28,0.40355978507921225,0.41797263454632694,0.6824695986557959,0.1767657976959288,0.2953784398651084,0.15533792528973925,0.5165701023808187,,0.8882455659440885,0.9902112644070775,,0.1266292940458053,0.0,0.09304364445256322,1.1413649989677397,0.9245487776150726,0.2286307669029072,0.35122290521150046,0.14338279425215236,0.10725804883924367,0.17502831231341143,0.14266525867397187,0.739051733877475,0.052941826696140525,0.10586699296529516,0.0600277751241689,0.43980858095503245,1.318106308776801,0.037476150686318786,0.20028469675705116,0.9203379083465647,0.6905782975993799
16,Neal Maupay,Brighton,29,28,0.36443193745604746,0.3774473637937635,0.0,0.5485156324055294,0.7096461771750321,0.0,,,1.1054982513698002,0.1593146370588095,0.07150692192746519,0.5341225192163715,0.19509210112124775,0.0,0.03435327579325976,1.2258123199998328,0.4079932246173683,0.377932371871522,0.0,0.12394750187623849,0.06259077290646328,0.7701834422120125,0.9395380222724544,0.22931083380010703,1.0533411482296908,0.0,0.5097489405848942,0.18255870664885662,0.1440600321049774,0.42004669624683816,0.38675377796692245,0.3766588788196823
17,Diogo Jota,Wolves,29,25,0.35123406671167023,0.4074315173855375,0.057440454813110546,1.2775924590300745,1.2841760028110567,0.07898829876072788,0.3708246658253835,,1.039987536983564,,,0.04384377663873522,0.06460922947927124,0.8321549016699488,0.09580600572405305,0.19061946014776085,1.4844141591449496,0.0959035130919643,0.1613112345370331,0.12920765183537766,0.5141601967846673,0.6597538658711535,0.4370018037159456,0.0,,,0.6242617203079369,0.05508673369411538,0.0,0.21371622474189392,0.0,0.47492803902971475
18,Anthony Martial,Man Utd,29,23,0.3432721654868636,0.43282142604865415,1.7482475249886327,0.11221323258813817,0.4746842212433621,0.1940536799951304,0.0,,0.37938748302904773,0.5324440331900412,0.45440093375624235,0.0,0.9930139152245535,0.43423038004308534,0.19001790142852398,0.04021843822960239,0.31523133980131374,,0.5357355076695682,0.05069037661276525,0.17244096147349153,0.01613929651566847,1.825771993246796,0.0,,,,,,0.2817364004632693,0.15094415681070364,1.053291022809108
19,Richarlison de Andrade,Everton,29,27,0.33867810076431426,0.3637653674875968,0.12227284131220761,1.3434887789795344,0.9413305099673673,0.2627850359864313,0.11746638441409113,,,,0.44790064920130823,0.9339258868929645,0.11851572604459397,0.04871287070352985,0.10477040565417688,0.0,0.9143613366153036,0.5474307607788921,0.895162505072742,0.058684382411853635,0.41026299842323766,0.22705013527269619,0.18371666588739125,0.15311988140060162,0.10726614280722996,0.14738637886893266,0.48654112055528914,0.1656518485877422,0.598427477347753,0.012215997578526067,0.3264739051217439,0.1467442962789724
20,Callum Wilson,Bournemouth,29,28,0.3117555438881283,0.32288967045556144,1.1246537501751037,0.34576836487162116,0.7266119932664832,0.5545506979645733,0.21649625189373983,,0.857999857452546,0.056442139093333954,0.1413238798691635,0.0,0.04073852714490069,0.09410633580106197,0.0,,0.0,0.0,0.060390820705217674,0.15842014085397166,0.04700925222695482,0.1459405547706112,0.0,0.0539800445826018,0.0480592204016351,1.1340842120676182,0.46678300273367074,0.9678757042988699,0.35295305903977503,0.5528533878844101,0.031009549734020037,0.8628600259238379
