,Name,Team,Team games,Played,Creativity per fixture adj,Creativity per game adj,Creativity GW29adj,Creativity GW28adj,Creativity GW27adj,Creativity GW26adj,Creativity GW25adj,Creativity GW24adj*,Creativity GW24adj,Creativity GW23adj,Creativity GW22adj,Creativity GW21adj,Creativity GW20adj,Creativity GW19adj,Creativity GW18adj,Creativity GW17adj,Creativity GW16adj,Creativity GW15adj,Creativity GW14adj,Creativity GW13adj,Creativity GW12adj,Creativity GW11adj,Creativity GW10adj,Creativity GW9adj,Creativity GW8adj,Creativity GW7adj,Creativity GW6adj,Creativity GW5adj,Creativity GW4adj,Creativity GW3adj,Creativity GW2adj,Creativity GW1adj
307,Kasper Schmeichel,Leicester,29,29,0.008871730634184965,0.008871730634184965,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25728018839136396,0.0,0.0,0.0,0.0
308,Henrikh Mkhitaryan,Arsenal,28,3,0.00860035602877464,0.08026998960189664,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1210526752534301,0.0,,0.11975729355225986
309,Michy Batshuayi,Chelsea,29,16,0.0075025540867350105,0.013598379282207206,,0.0,,0.0,,,0.0,0.0,,,,,0.0,0.0,0.021341833661684868,0.04866477264757185,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.1475674622060586,0.0,,,
310,Scott Dann,Crystal Palace,29,9,0.007460503404201578,0.02403939985798286,0.06272798881433084,0.0,0.09280131189380482,0.0,,,,,,,,,,0.0,,,0.060825298013710116,,,,,0.0,,,,,,,0.0,0.0
311,Jonny Evans,Leicester,29,29,0.007404845087569687,0.007404845087569687,0.04282868150875283,0.0,0.026294503043273746,0.020420272826082875,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021924517310066567,0.0,0.0,0.0,0.0,0.10327253285134491,0.0,0.0,0.0,0.0,0.0,0.0
312,Eric Dier,Spurs,29,14,0.007327295025660191,0.015177968267438969,0.0,0.0,,0.04635243674732222,0.0,,0.0,,,,,0.0,0.0,0.0932546005416142,0.025941995159605588,,0.01095833281656864,0.022013948879962,0.0,,,,0.013970241599072907,0.0,,,,,,
313,DeAndre Yedlin,Newcastle,29,12,0.006962146153192677,0.016825186536882305,,,,,0.09968089172492185,,,,,0.0,0.021640773991676743,0.0,0.0,,,,,0.03540746722519559,0.0,0.0,0.04517310550079347,0.0,0.0,0.0,,,,,,
314,Nick Pope,Burnley,29,29,0.006571579921030115,0.006571579921030115,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13205694327171624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036598324825187385,0.021920549612969714
315,Paul Dummett,Newcastle,29,16,0.006570249452424383,0.011908577132519194,,,,,,,,,0.0,,,,0.17835284388962247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.012184390230684614,0.0,0.0,0.0,0.0,0.0
316,Aaron Lennon,Burnley,29,16,0.006491035284272597,0.011765001452744082,0.0,,0.0,,,,,0.0,0.0,,,,0.0,,0.0,0.10353452118592918,0.08470550205797613,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
317,Jairo Riedewald,Crystal Palace,29,10,0.0063123710167188015,0.018305875948484523,,0.0,0.0,,,,0.10675130589954197,0.0,0.0,0.07630745358530328,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,
318,Nicolas Otamendi,Man City,28,19,0.006256080578573632,0.0092194871684243,0.0,,0.0,0.02875266620945064,0.0,,0.09460774245388856,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,0.01603678685314625,0.0,0.0,0.0,0.0,0.03577306068357627,
319,Luke Freeman,Sheffield Utd,28,9,0.006197315888353018,0.0192805383193205,,,,,,,,,,,,,0.0,,,0.06181054135413787,0.0,,0.0,,,0.0,,,,,0.02148450137489006,0.0,0.09022980214485657,0.0
320,Aaron Connolly,Brighton,29,17,0.006180765524425991,0.010543658835785515,,,0.0,,,,0.0,0.037260397331410254,,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.04186116875078757,0.10012063412615593,0.0,0.0,0.0,0.0,,,
321,Angel Gomes,Man Utd,29,2,0.0061795898293263065,0.08960405252523145,,,,,,,,,0.1792081050504629,,,,,,,,,,,,,,,,0.0,,,,,
322,Xherdan Shaqiri,Liverpool,29,6,0.005834186079675375,0.02819856605176431,,,,,,,,,0.05641584732482883,,,,,0.0,0.06714337984433066,0.045632169141426364,,,,,,,,,,0.0,0.0,,,
323,Dwight Gayle,Newcastle,29,12,0.005772712404205473,0.01395072164349656,0.0,0.012349469453140699,0.0,,,,,,0.15505919026881804,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,,,,,,
324,Javier Manquillo,Newcastle,29,13,0.005682235645064571,0.012675756438990196,0.0,0.08348891986542625,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.06825013115287451,0.0,,,,,,,,0.0,0.0,0.0,,,0.013045782688571785
325,Gaetan Bong,Brighton,29,4,0.00562095226048754,0.04075190388853466,,,,,,,,,,,,,,,,,,,,,,,0.0,0.16300761555413865,0.0,0.0,,,,
326,Reiss Nelson,Arsenal,28,11,0.00548837508871981,0.013970409316741334,0.0,,,,,,,,0.0,0.0,0.0,0.09154266441676646,0.015334433856704556,,0.0,,,,,,,,,0.0,,0.0,,,0.016109844345958742,0.030687559864724906
327,Hector Bellerin,Arsenal,28,8,0.005413040954125009,0.018945643339437532,0.0,,0.0,0.0,0.0,,0.0,,,,,,,,,0.0,,0.0,0.15156514671550025,,,,,,,,,,,
328,Mbwana Samatta,Aston Villa,28,4,0.005183725853090708,0.03628608097163495,0.0,,0.0,0.08313660523262165,0.06200771865391816,,,,,,,,,,,,,,,,,,,,,,,,,
329,Edward Nketiah,Arsenal,28,5,0.005157662893863905,0.028882912205637868,0.07382069064457415,,0.0,0.0,0.0,,,0.0705938703836152,,,,,,,,,,,,,,,,,,,,,,
330,Shane Duffy,Brighton,29,15,0.005078726060366251,0.00981887038337475,,,0.1075093142657592,0.0,,,,,0.03977374148486205,,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,,,,0.0,,0.0,0.0,0.0
331,Hamza Choudhury,Leicester,29,16,0.005024657004468374,0.009107190820598927,,0.0,,0.0,0.033884227180756454,,,,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,0.0,0.0,0.017186276608755612,0.0,0.0,0.0,0.04311208748144269,0.051532461858628066
332,James Tomkins,Crystal Palace,29,18,0.004980521853100355,0.008024174096661682,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05816704280812166,0.0,0.0,0.0,0.08626809093178862,0.0,0.0,0.0,0.0,,,,,,,,
333,Christian Kabasele,Watford,29,19,0.004845740785799072,0.007396130673061742,0.0,0.03766525153219858,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.1028612312559745,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,
334,Jan Bednarek,Southampton,29,27,0.00481319923495375,0.005169732511616991,0.0,0.0,0.01127334497687165,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12830943283678709
335,Jarrod Bowen,West Ham,29,4,0.0047717747662635104,0.03459536705541045,0.07894572366377453,0.059435744557867265,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
336,Christian Fuchs,Leicester,29,8,0.0047680456715536,0.017284165559381802,,,0.0,,,,,0.0,,0.0,0.0,,,,,0.0,,,,,,,,,,,0.0,0.0,0.13827332447505442,
337,Bjorn Engels,Aston Villa,28,17,0.004676222245557517,0.007702013110330027,0.0,,,0.08617143041461514,0.04476279246099533,,,,,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
338,Fikayo Tomori,Chelsea,29,15,0.004653355609943948,0.0089964875125583,,0.0,,,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.023197793540764955,0.025937763686250406,0.0,0.0,0.0,0.03312549019301487,0.0,0.05268626526834429,,,
339,Aymeric Laporte,Man City,28,7,0.004367589797257574,0.017470359189030296,,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.12229251432321207,0.0,0.0
340,Tom Trybull,Norwich,29,14,0.004271744912665341,0.008848614461949634,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,0.08307318630237763,0.0,0.0,0.0,,0.0,,,,,0.0,0.0,0.04080741616491726,0.0
341,Joel Ward,Crystal Palace,29,20,0.004155854797185381,0.0060259894559188025,0.0,0.0,0.05953583664244846,0.0,0.0,,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027043345787205,0.03394060668872259,0.0,0.0,0.0
342,Morgan Schneiderlin,Everton,29,15,0.004101860912433596,0.007930264430704952,,,0.0,0.0,0.0,,0.031033140841291225,,,,,,,,0.0,0.0,0.0,0.0,0.030952596222763907,,,,0.019403511519906113,0.0,0.0,0.0,,0.0,,0.03756471787661303
