,Name,Team,Threat per fixture,Threat per game,Threat GW23,Threat GW22,Threat GW21,Threat GW20,Threat GW19,Threat GW18,Threat GW17,Threat GW16,Threat GW15,Threat GW14,Threat GW13,Threat GW12,Threat GW11,Threat GW10,Threat GW9,Threat GW8,Threat GW7,Threat GW6,Threat GW5,Threat GW4,Threat GW3,Threat GW2,Threat GW1
34,Todd Cantwell,Norwich,23.91304347826087,23.91304347826087,32.0,29.0,60.0,0.0,17.0,17.0,19.0,19.0,4.0,41.0,39.0,6.0,0.0,11.0,6.0,49.0,52.0,28.0,33.0,8.0,37.0,41.0,2.0
35,Mahmoud Ahmed Ibrahim Hassan,Aston Villa,23.26086956521739,26.75,2.0,30.0,2.0,0.0,30.0,35.0,0.0,26.0,63.0,26.0,0.0,37.0,39.0,63.0,10.0,3.0,2.0,39.0,0.0,28.0,4.0,61.0,35.0
36,Jordan Ayew,Crystal Palace,23.217391304347824,24.272727272727273,2.0,25.0,43.0,1.0,55.0,22.0,1.0,6.0,28.0,6.0,12.0,0.0,23.0,58.0,11.0,59.0,49.0,19.0,40.0,38.0,17.0,0.0,19.0
37,James Maddison,Leicester,22.59090909090909,23.666666666666668,,0.0,35.0,7.0,2.0,7.0,26.0,47.0,17.0,27.0,35.0,34.0,10.0,25.0,35.0,21.0,0.0,44.0,21.0,29.0,46.0,16.0,13.0
38,Anwar El Ghazi,Aston Villa,22.17391304347826,25.5,8.0,49.0,0.0,28.0,6.0,35.0,8.0,37.0,0.0,0.0,37.0,13.0,17.0,0.0,36.0,61.0,30.0,9.0,11.0,0.0,74.0,43.0,8.0
39,Jack Grealish,Aston Villa,21.565217391304348,23.61904761904762,31.0,12.0,23.0,22.0,15.0,45.0,17.0,41.0,0.0,32.0,52.0,0.0,0.0,0.0,86.0,43.0,19.0,6.0,10.0,20.0,11.0,11.0,0.0
40,Ashley Barnes,Burnley,21.545454545454547,24.94736842105263,,0.0,3.0,6.0,0.0,8.0,28.0,0.0,0.0,20.0,46.0,37.0,18.0,37.0,0.0,12.0,6.0,54.0,1.0,5.0,23.0,81.0,89.0
41,Nathan Redmond,Southampton,21.17391304347826,23.19047619047619,3.0,4.0,59.0,8.0,38.0,10.0,0.0,34.0,46.0,17.0,30.0,2.0,2.0,29.0,28.0,9.0,51.0,36.0,0.0,0.0,41.0,11.0,29.0
42,Harvey Barnes,Leicester,20.818181818181817,22.9,,7.0,0.0,26.0,2.0,4.0,27.0,47.0,60.0,8.0,27.0,33.0,7.0,45.0,42.0,4.0,9.0,49.0,4.0,25.0,21.0,0.0,11.0
43,Ayoze Pérez,Leicester,20.5,23.736842105263158,,0.0,83.0,4.0,0.0,3.0,0.0,0.0,12.0,29.0,55.0,11.0,12.0,129.0,10.0,4.0,23.0,21.0,8.0,0.0,4.0,31.0,12.0
44,Matt Doherty,Wolves,20.391304347826086,22.333333333333332,4.0,18.0,52.0,0.0,23.0,41.0,10.0,23.0,2.0,37.0,21.0,48.0,39.0,35.0,4.0,0.0,33.0,33.0,36.0,0.0,10.0,0.0,0.0
45,Lucas Rodrigues Moura da Silva,Spurs,20.304347826086957,22.238095238095237,43.0,32.0,41.0,10.0,21.0,2.0,43.0,33.0,0.0,0.0,41.0,15.0,11.0,0.0,24.0,26.0,0.0,2.0,0.0,0.0,25.0,66.0,32.0
46,Callum Wilson,Bournemouth,20.130434782608695,21.045454545454547,41.0,14.0,8.0,18.0,9.0,4.0,0.0,6.0,4.0,13.0,10.0,30.0,12.0,2.0,17.0,17.0,84.0,21.0,54.0,19.0,19.0,26.0,35.0
