,Teams,Threat allowed av adj,Matches,Threat allowed GW29 adj,Threat allowed GW28 adj,Threat allowed GW27 adj,Threat allowed GW26 adj,Threat allowed GW25 adj,Threat allowed GW24 adj*,Threat allowed GW24 adj,Threat allowed GW23 adj,Threat allowed GW22 adj,Threat allowed GW21 adj,Threat allowed GW20 adj,Threat allowed GW19 adj,Threat allowed GW18 adj,Threat allowed GW17 adj,Threat allowed GW16 adj,Threat allowed GW15 adj,Threat allowed GW14 adj,Threat allowed GW13 adj,Threat allowed GW12 adj,Threat allowed GW11 adj,Threat allowed GW10 adj,Threat allowed GW9 adj,Threat allowed GW8 adj,Threat allowed GW7 adj,Threat allowed GW6 adj,Threat allowed GW5 adj,Threat allowed GW4 adj,Threat allowed GW3 adj,Threat allowed GW2 adj,Threat allowed GW1 adj
11,Crystal Palace,1.4764131720365525,29,0.5151065082390556,1.9453393367118144,0.26916059418833826,2.5773544795729793,0.9617097345319938,,1.1452928176008679,1.3921296353670485,1.7972250964768106,2.2712603379095433,1.503626895812434,0.9670180106571057,1.1689108432973914,2.7749657084295993,1.802023059236388,0.42044079590558603,2.0428525099030357,1.1863367309628963,2.5523563546131496,0.8716994312451012,1.6715305553283777,2.258178000508457,1.5006372437597066,0.9374425906330983,1.659303131560535,1.1083859407797103,0.3527069911710571,1.9879115449443279,2.0462846281214895,1.128792481592128
12,Watford,1.4922661720978825,29,1.3230362271104656,0.14288610436448726,2.1843165963620015,0.8294729246991951,2.6942025786748025,,1.2784471106516155,1.8662125639774243,0.39302700563203913,1.1648364087007874,0.7099656601776918,2.2630536427053345,1.3360354103997645,1.1239556365787609,0.32568942289950764,2.03215623225604,1.992661354362377,3.0619296602949326,0.8176485713226651,1.6656667156161844,1.1036663604237191,0.9416946906279658,0.3906439634100253,1.0997244842536122,3.7271465393109593,1.0701325536457167,1.7078929124507314,4.340830568203236,0.7575296904940394,0.931257401232516
13,Brighton,1.5688511288760736,29,0.8587187400956615,3.356001008736462,1.8329308948433027,0.32116391102646563,1.5880286832098407,,2.358730978627521,1.1857461485126934,1.8420257505058206,1.2708791854503434,0.6141372555574226,1.0896883879477826,1.8325301607853446,0.7493054785519092,1.7921115967845969,1.0267615942633788,0.9632084071484647,3.117657569202576,3.186082174984358,0.5990674767453896,0.9542687910958544,3.624691193136083,0.5053789382449667,3.2553812849453085,1.7967563344750033,0.36515070805651173,1.2958234326609066,2.1195970215722264,1.22473030682034,0.7701293234195924
14,Arsenal,1.5829225126254574,28,1.9823589745516417,,2.4809140116793094,1.9089275844741682,2.352146689097784,,2.5738257984608923,1.3180549507844765,0.49122795885932985,0.6241031697624917,1.1376246963771066,1.9067431359135325,0.44248989121259175,0.951882332725379,0.6336947708006208,1.6781223674894397,1.071650222222937,3.1383618559121413,1.2176383327016274,1.4316726437381828,2.7491563957648886,0.9892143393488236,0.8388821451268745,0.989063502169388,1.9933246859288523,3.2586798825062955,2.1408518017741374,1.9336716161038927,1.4648562051882987,0.6226903928377014
15,Southampton,1.5871441677911826,29,5.306736164240424,3.38411853849356,0.5488610198149186,0.9341923528661004,2.682119990270898,,1.042517358056129,2.0576368093504636,0.69307762378965,1.1430241729941093,0.21301482804004437,0.6536750183812904,1.0702447091656793,1.0968325097323177,1.831486217119128,1.1864518607423638,0.5780023605636128,1.720800339104318,1.9138358274451377,1.8899222557633668,3.9196561005140875,0.8387556147644173,1.63576737993626,1.2569251013687024,1.5916552799929276,2.0766052994822677,1.6602543515630623,1.0940469793339904,1.0554615916494166,0.9515032114056581
16,Bournemouth,1.7883515548585438,29,1.313890676497555,1.5511049682406077,3.2434153058877215,2.3492045020137424,1.6877175141817258,,2.272066308284149,2.318205361352347,2.6966559926919422,2.8272625028207816,1.156935516789654,1.543600951930124,0.1510263546133026,1.5453176489903295,2.13076066183343,0.5930705611730336,3.137261471568405,1.2063963790799823,3.883343282674543,0.559182876916423,0.7739914882309172,0.5303399691337294,1.3200065291152108,1.5816347411910112,2.208538803680718,1.3781351960996873,2.0029191015351335,1.7610427451210056,1.9180707663155596,2.221096912934993
17,Newcastle,1.837317487994544,29,0.35340477820075067,0.6463198847847834,2.713000134439336,3.2147680477932075,3.187626654901584,,1.866774197447805,1.5615392941009258,1.9656587593259613,2.356183915076277,2.618887273298797,1.7412164412359852,1.5227980815717443,1.502771903095242,1.9727632092591274,1.205705989041561,1.3950850502014116,3.135601147663223,2.357536261409988,1.9509983650157119,1.826420531159668,1.7631450559526656,0.8482596758324524,1.620833506325438,1.3468725409383764,2.0339557860956594,1.278075555496566,1.3320753203623117,2.758793126530713,1.2051366652844973
18,Norwich,1.932323362931885,29,1.3229063807619144,1.2673803646554562,3.495031839531496,1.4818695636285686,1.6177396807246254,,2.4604297251644613,0.6847493903352702,2.733912045098161,2.0074264479457073,1.9242134925833927,0.760159233351973,1.7175434692507234,0.9462517774645134,0.7873091427706099,2.0535274984665386,2.154459316246922,0.7391398081976104,1.5598744678269587,2.8900143355556915,3.9355774916625554,0.8285637349748495,4.856720264568758,2.789417105549258,2.50435705654638,1.3166857988117322,2.6933513116097654,1.448763568294036,1.5092177521559387,1.5507854612907925
19,West Ham,2.0067081158304467,29,1.658913277860349,0.8813302761697666,1.7489828405679781,1.2390519122115808,2.2116685228504585,1.8030823468382629,2.6932172053564676,1.77781698297194,2.240850261807762,0.8839460163469658,2.3344999660698837,3.3101890762590744,,0.8358457961669032,1.9057486824747936,1.7222938066857802,2.0842041761601555,2.3365966293082336,2.528092993791589,3.161171902763857,1.384641619321983,2.0907641175611418,3.196219016770833,2.844936139181876,1.1148825294334832,1.6326076192829129,1.5367634103553025,2.6302020945430953,2.618631647069298,1.7873844929012228
20,Aston Villa,2.225279729338712,28,2.1432441204593156,,3.0686206054909904,4.587147819494829,3.3848315411831575,,2.107564001728652,1.415401870763984,2.1301087893823363,2.484796657826213,3.7514759616774076,1.910647873942243,2.7749926782841032,2.085059944915747,3.6457964695368594,1.5045703769782561,1.611833402915382,1.1418674115493068,1.9882696096214987,1.6661837873965482,1.825286511897542,1.4409740077113582,2.4580978372622924,1.7467756525995168,2.729608196697052,0.6500053562539785,2.188251111311894,1.1429418541549214,1.9964555929208867,2.7270233775276664
