,assists,goals,h_a,id,key_passes,own_goals,player,player_id,position,positionOrder,red_card,roster_in,roster_out,shots,team_id,time,xA,xG,xGBuildup,xGChain,yellow_card,team_h_name,team_a_name,team_name,opponent_team_name,team_h,team_a,fixture,round
78,0,0,h,341216,1,0,Joshua King,465,AMC,12,0,0,0,1,73,90,0.03404170274734497,0.02785542607307434,0,0,0,Bournemouth,Sheffield Utd,3,15,3,15,2,1
79,0,0,h,341217,1,0,Ryan Fraser,1683,AMC,12,0,0,0,1,73,90,0.038752660155296326,0.10296127200126648,0,0,1,Bournemouth,Sheffield Utd,3,15,3,15,2,1
80,0,0,h,341218,0,0,Callum Wilson,468,FW,15,0,341219,0,1,73,90,0,0.7979027628898621,0,0,0,Bournemouth,Sheffield Utd,3,15,3,15,2,1
81,0,0,h,341219,0,0,Dominic Solanke,1679,Sub,17,0,0,341218,0,73,1,0,0,0,0,0,Bournemouth,Sheffield Utd,3,15,3,15,2,1
82,0,0,a,341247,0,0,Angus Gunn,5544,GK,1,0,0,0,0,74,90,0,0,0,0,0,Burnley,Southampton,16,5,5,16,3,1
83,0,0,a,341250,0,0,Jack Stephens,1735,DC,3,0,341258,0,0,74,76,0,0,0.5794821977615356,0.5794821977615356,0,Burnley,Southampton,16,5,5,16,3,1
84,0,0,a,341248,0,0,Jannik Vestergaard,111,DC,3,0,0,0,1,74,90,0,0.12154563516378403,0.5794821977615356,0.5794821977615356,0,Burnley,Southampton,16,5,5,16,3,1
85,0,0,a,341249,1,0,Jan Bednarek,6042,DC,3,0,0,0,1,74,90,0.12154563516378403,0.05717216059565544,0,0,0,Burnley,Southampton,16,5,5,16,3,1
86,0,0,a,341251,1,0,Yan Valery,7280,DMR,5,0,0,0,0,74,90,0.5794821977615356,0,0,0.5794821977615356,0,Burnley,Southampton,16,5,5,16,3,1
87,0,0,a,341252,0,0,Ryan Bertrand,835,DML,6,0,0,0,1,74,90,0,0.0967085212469101,0.5794821977615356,0.5794821977615356,0,Burnley,Southampton,16,5,5,16,3,1
88,0,0,a,341253,1,0,Oriol Romeu,842,MC,9,0,0,0,2,74,90,0.06788909435272217,0.047119706869125366,0,0.06788909435272217,0,Burnley,Southampton,16,5,5,16,3,1
89,0,0,a,341254,0,0,James Ward-Prowse,843,MC,9,0,0,0,2,74,90,0,0.06412750482559204,0.6473712921142578,0.7114987969398499,0,Burnley,Southampton,16,5,5,16,3,1
90,0,0,a,341256,0,0,Nathan Redmond,790,AMC,12,0,0,0,2,74,90,0,0.10901110619306564,0.5794821977615356,0.6884933114051819,0,Burnley,Southampton,16,5,5,16,3,1
91,0,0,a,341255,1,0,Danny Ings,986,AMC,12,0,341259,0,0,74,69,0.041122011840343475,0,0,0.041122011840343475,0,Burnley,Southampton,16,5,5,16,3,1
92,0,0,a,341257,0,0,Che Adams,7700,FW,15,0,341260,0,2,74,76,0,0.5918344855308533,0.06788909435272217,0.6597235798835754,0,Burnley,Southampton,16,5,5,16,3,1
93,0,0,a,341259,0,0,Michael Obafemi,6504,Sub,17,0,0,341255,0,74,21,0,0,0,0,0,Burnley,Southampton,16,5,5,16,3,1
94,0,0,a,341260,1,0,Sofiane Boufal,1734,Sub,17,0,0,341257,0,74,14,0.05717216059565544,0,0,0,0,Burnley,Southampton,16,5,5,16,3,1
95,0,0,a,341258,0,0,Pierre-Emile Højbjerg,343,Sub,17,0,0,341250,0,74,14,0,0,0,0,0,Burnley,Southampton,16,5,5,16,3,1
96,0,0,h,341234,1,0,Nick Pope,5552,GK,1,0,0,0,0,92,90,0.02326565608382225,0,0,0.02326565608382225,0,Burnley,Southampton,5,16,5,16,3,1
97,0,0,h,341235,1,0,Matthew Lowton,1652,DR,2,0,0,0,0,92,90,0.023489056155085564,0,0.4641471803188324,0.4876362383365631,0,Burnley,Southampton,5,16,5,16,3,1
98,0,0,h,341236,0,0,Ben Mee,1654,DC,3,0,0,0,0,92,90,0,0,0,0,0,Burnley,Southampton,5,16,5,16,3,1
99,0,0,h,341237,0,0,James Tarkowski,1665,DC,3,0,0,0,2,92,90,0,0.03602791577577591,0.08131049573421478,0.08131049573421478,0,Burnley,Southampton,5,16,5,16,3,1
100,2,0,h,341238,2,0,Erik Pieters,887,DL,4,0,0,0,1,92,90,0.545457661151886,0.015073687769472599,0,0.5605313777923584,0,Burnley,Southampton,5,16,5,16,3,1
101,0,1,h,341239,2,0,Johann Berg Gudmundsson,1663,MR,8,0,0,0,2,92,90,0.03602791577577591,0.11037641763687134,0,0.11037641763687134,0,Burnley,Southampton,5,16,5,16,3,1
102,0,0,h,341241,1,0,Ashley Westwood,669,MC,9,0,0,0,0,92,90,0.015073687769472599,0,0.4641471803188324,0.4792208671569824,0,Burnley,Southampton,5,16,5,16,3,1
103,0,0,h,341240,0,0,Jack Cork,712,MC,9,0,0,0,0,92,90,0,0,0.4876362383365631,0.4876362383365631,0,Burnley,Southampton,5,16,5,16,3,1
