id,Name,web_name,Team number,Team,Team games,Played
74,Mark Travers,Travers,3,Bournemouth,29,1
75,Ryan Fraser,Fraser,3,Bournemouth,29,28
76,David Brooks,Brooks,3,Bournemouth,29,0
77,Junior Stanislas,Stanislas,3,Bournemouth,29,6
78,Jordon Ibe,Ibe,3,Bournemouth,29,2
79,Lewis Cook,Lewis Cook,3,Bournemouth,29,20
80,Andrew Surman,Surman,3,Bournemouth,29,5
81,Dan Gosling,Gosling,3,Bournemouth,29,16
82,Jefferson Lerma,Lerma,3,Bournemouth,29,24
446,Jack Stacey,Stacey,3,Bournemouth,29,12
476,Philip Billing,Billing,3,Bournemouth,29,27
492,Arnaut Danjuma Groeneveld,Danjuma,3,Bournemouth,29,9
494,Aaron Ramsdale,Ramsdale,3,Bournemouth,29,28
505,Harry Wilson,Harry Wilson,3,Bournemouth,29,23
564,Christian Saydee,Saydee,3,Bournemouth,29,0
565,Gavin Kilkenny,Kilkenny,3,Bournemouth,29,0
574,Mihai-Alexandru Dobre,Dobre,3,Bournemouth,29,0
37,Shane Duffy,Duffy,4,Brighton,29,15
38,Martin Montoya,Montoya,4,Brighton,29,23
39,Bernardo Fernandes da Silva Junior,Bernardo,4,Brighton,29,10
40,Leon Balogun,Balogun,4,Brighton,29,0
41,Gaetan Bong,Bong,4,Brighton,29,4
42,Lewis Dunk,Dunk,4,Brighton,29,27
43,Matthew Clarke,Clarke,4,Brighton,29,0
44,Glenn Murray,Murray,4,Brighton,29,19
45,Jurgen Locadia,Locadia,4,Brighton,29,2
46,Florin Andone,Andone,4,Brighton,29,3
47,Mathew Ryan,Ryan,4,Brighton,29,29
48,David Button,Button,4,Brighton,29,0
49,Pascal Groß,Groß,4,Brighton,29,23
50,Alireza Jahanbakhsh,Jahanbakhsh,4,Brighton,29,8
51,Jose Heriberto Izquierdo Mena,Izquierdo,4,Brighton,29,0
52,Anthony Knockaert,Knockaert,4,Brighton,29,0
53,Yves Bissouma,Bissouma,4,Brighton,29,13
54,Davy Propper,Propper,4,Brighton,29,26
55,Solomon March,March,4,Brighton,29,13
56,Beram Kayal,Kayal,4,Brighton,29,0
57,Dale Stephens,Stephens,4,Brighton,29,24
421,Leandro Trossard,Trossard,4,Brighton,29,23
475,Dan Burn,Burn,4,Brighton,29,25
493,Adam Webster,Webster,4,Brighton,29,23
502,Neal Maupay,Maupay,4,Brighton,29,28
516,Aaron Mooy,Mooy,4,Brighton,29,22
534,Aaron Connolly,Connolly,4,Brighton,29,17
536,Tudor Baluta,Baluta,4,Brighton,29,0
537,Steven Alzate,Alzate,4,Brighton,29,19
546,Ezequiel Schelotto,Schelotto,4,Brighton,29,7
586,Tariq Lamptey,Lamptey,4,Brighton,29,1
