,assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,in_dreamteam,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,yellow_cards,id,gameweek,fixture,team,teamAgainst,side
78,0,0,19,0,21.7,1,0,6.0,False,16.4,90,0,0,0,0,0,22.0,2,0,59,1,2,3,15,home
79,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0,60,1,2,3,15,home
80,0,2,24,0,1.2,1,1,11.7,True,47.4,90,0,0,0,0,0,68.0,10,0,61,1,2,3,15,home
81,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0,62,1,2,3,15,home
82,0,0,10,0,7.0,1,0,1.4,False,3.4,90,0,0,0,0,0,4.0,1,1,63,1,2,3,15,home
83,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0,64,1,2,3,15,home
84,0,0,13,0,16.6,1,0,4.1,False,21.0,90,0,0,0,0,0,3.0,2,0,65,1,2,3,15,home
85,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0,66,1,2,3,15,home
86,0,0,27,1,0.1,0,0,2.3,False,21.2,90,0,0,0,0,0,2.0,6,0,83,1,3,5,16,home
87,0,0,23,1,0.2,0,0,5.4,False,18.0,90,0,0,0,0,0,36.0,6,0,84,1,3,5,16,home
88,0,0,23,1,15.3,0,0,3.2,False,14.2,90,0,0,0,0,0,2.0,6,0,85,1,3,5,16,home
89,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0,86,1,3,5,16,home
90,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0,87,1,3,5,16,home
91,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0,88,1,3,5,16,home
92,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0,89,1,3,5,16,home
93,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0,103,1,9,6,12,away
94,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0,104,1,9,6,12,away
95,0,0,9,0,16.8,4,0,4.3,False,24.0,90,0,0,0,0,0,2.0,0,0,105,1,9,6,12,away
96,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0,106,1,10,1,13,away
97,0,0,8,0,19.7,4,0,9.0,False,23.2,90,0,0,0,0,0,47.0,0,0,107,1,9,6,12,away
98,0,0,16,0,1.6,4,0,2.7,False,23.4,90,0,0,0,0,0,2.0,0,0,108,1,9,6,12,away
99,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0,109,1,9,6,12,away
100,0,2,34,1,16.1,0,0,4.9,False,30.4,90,0,0,0,0,0,2.0,8,0,122,1,9,12,6,home
101,0,0,20,1,0.5,0,0,1.8,False,15.4,90,0,0,0,0,0,2.0,6,0,123,1,4,7,8,home
102,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0,124,1,4,7,8,home
