,a,datetime,forecast,goals,h,id,isResult,xG
173,"{'id': '238', 'title': 'Sheffield United', 'short_title': 'SHE'}",2019-12-21 15:00:00,"{'w': '0.0649', 'd': '0.1924', 'l': '0.7427'}","{'h': '0', 'a': '1'}","{'id': '220', 'title': 'Brighton', 'short_title': 'BRI'}",11815,True,"{'h': '0.428371', 'a': '1.65933'}"
174,"{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}",2019-12-21 15:00:00,"{'w': '0.2554', 'd': '0.3549', 'l': '0.3897'}","{'h': '1', 'a': '0'}","{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}",11818,True,"{'h': '0.714368', 'a': '0.985368'}"
175,"{'id': '229', 'title': 'Wolverhampton Wanderers', 'short_title': 'WOL'}",2019-12-21 15:00:00,"{'w': '0.2615', 'd': '0.2668', 'l': '0.4717'}","{'h': '1', 'a': '2'}","{'id': '79', 'title': 'Norwich', 'short_title': 'NOR'}",11819,True,"{'h': '1.26536', 'a': '1.65224'}"
176,"{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}",2019-12-21 17:30:00,"{'w': '0.9032', 'd': '0.0714', 'l': '0.0254'}","{'h': '3', 'a': '1'}","{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}",11817,True,"{'h': '3.59139', 'a': '1.01388'}"
177,"{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}",2019-12-22 14:00:00,"{'w': '0.3791', 'd': '0.2811', 'l': '0.3398'}","{'h': '2', 'a': '0'}","{'id': '90', 'title': 'Watford', 'short_title': 'WAT'}",11821,True,"{'h': '1.59291', 'a': '1.5309'}"
178,"{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}",2019-12-22 16:30:00,"{'w': '0.0406', 'd': '0.1922', 'l': '0.7672'}","{'h': '0', 'a': '2'}","{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}",11820,True,"{'h': '0.276667', 'a': '1.49374'}"
179,"{'id': '220', 'title': 'Brighton', 'short_title': 'BRI'}",2019-12-26 12:30:00,"{'w': '0.3168', 'd': '0.3158', 'l': '0.3674'}","{'h': '2', 'a': '1'}","{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}",11831,True,"{'h': '1.02645', 'a': '1.09007'}"
180,"{'id': '79', 'title': 'Norwich', 'short_title': 'NOR'}",2019-12-26 15:00:00,"{'w': '0.1589', 'd': '0.2584', 'l': '0.5827'}","{'h': '1', 'a': '0'}","{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}",11823,True,"{'h': '0.654194', 'a': '1.45005'}"
181,"{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}",2019-12-26 15:00:00,"{'w': '0.4082', 'd': '0.2741', 'l': '0.3177'}","{'h': '1', 'a': '1'}","{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}",11824,True,"{'h': '1.55463', 'a': '1.42464'}"
182,"{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}",2019-12-26 15:00:00,"{'w': '0.2827', 'd': '0.3415', 'l': '0.3758'}","{'h': '0', 'a': '2'}","{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}",11825,True,"{'h': '0.859973', 'a': '0.981321'}"
183,"{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}",2019-12-26 15:00:00,"{'w': '0.7301', 'd': '0.1812', 'l': '0.0887'}","{'h': '2', 'a': '1'}","{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}",11826,True,"{'h': '2.14195', 'a': '0.796338'}"
184,"{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}",2019-12-26 15:00:00,"{'w': '0.6218', 'd': '0.2726', 'l': '0.1056'}","{'h': '1', 'a': '0'}","{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}",11827,True,"{'h': '1.47521', 'a': '0.565252'}"
185,"{'id': '90', 'title': 'Watford', 'short_title': 'WAT'}",2019-12-26 15:00:00,"{'w': '0.7843', 'd': '0.1616', 'l': '0.0541'}","{'h': '1', 'a': '1'}","{'id': '238', 'title': 'Sheffield United', 'short_title': 'SHE'}",11830,True,"{'h': '2.04481', 'a': '0.596611'}"
186,"{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}",2019-12-26 17:30:00,"{'w': '0.612', 'd': '0.2376', 'l': '0.1504'}","{'h': '4', 'a': '1'}","{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}",11829,True,"{'h': '1.99638', 'a': '1.05018'}"
187,"{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}",2019-12-26 20:00:00,"{'w': '0.0003', 'd': '0.0086', 'l': '0.9911'}","{'h': '0', 'a': '4'}","{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}",11828,True,"{'h': '0.120994', 'a': '3.76973'}"
188,"{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}",2019-12-27 19:45:00,"{'w': '0.6128', 'd': '0.2356', 'l': '0.1516'}","{'h': '3', 'a': '2'}","{'id': '229', 'title': 'Wolverhampton Wanderers', 'short_title': 'WOL'}",11832,True,"{'h': '2.39405', 'a': '1.52044'}"
189,"{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}",2019-12-28 12:30:00,"{'w': '0.5128', 'd': '0.3292', 'l': '0.158'}","{'h': '2', 'a': '0'}","{'id': '220', 'title': 'Brighton', 'short_title': 'BRI'}",11834,True,"{'h': '1.05876', 'a': '0.500726'}"
190,"{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}",2019-12-28 15:00:00,"{'w': '0.1581', 'd': '0.1764', 'l': '0.6655'}","{'h': '1', 'a': '2'}","{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}",11838,True,"{'h': '1.63211', 'a': '2.82576'}"
191,"{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}",2019-12-28 15:00:00,"{'w': '0.7755', 'd': '0.1989', 'l': '0.0256'}","{'h': '1', 'a': '1'}","{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}",11840,True,"{'h': '1.47937', 'a': '0.137837'}"
192,"{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}",2019-12-28 15:00:00,"{'w': '0.9266', 'd': '0.0573', 'l': '0.0161'}","{'h': '3', 'a': '0'}","{'id': '90', 'title': 'Watford', 'short_title': 'WAT'}",11841,True,"{'h': '3.25314', 'a': '0.610997'}"
193,"{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}",2019-12-28 17:30:00,"{'w': '0.0263', 'd': '0.141', 'l': '0.8327'}","{'h': '2', 'a': '2'}","{'id': '79', 'title': 'Norwich', 'short_title': 'NOR'}",11839,True,"{'h': '0.268052', 'a': '1.82189'}"
194,"{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}",2019-12-28 17:30:00,"{'w': '0.0516', 'd': '0.1144', 'l': '0.834'}","{'h': '1', 'a': '2'}","{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}",11842,True,"{'h': '0.782104', 'a': '2.62349'}"
195,"{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}",2019-12-28 19:45:00,"{'w': '0.0282', 'd': '0.1155', 'l': '0.8563'}","{'h': '0', 'a': '2'}","{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}",11835,True,"{'h': '0.386662', 'a': '2.10542'}"
196,"{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}",2019-12-29 14:00:00,"{'w': '0.1634', 'd': '0.2709', 'l': '0.5657'}","{'h': '1', 'a': '2'}","{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}",11833,True,"{'h': '0.785214', 'a': '1.49666'}"
197,"{'id': '229', 'title': 'Wolverhampton Wanderers', 'short_title': 'WOL'}",2019-12-29 16:30:00,"{'w': '0.7092', 'd': '0.224', 'l': '0.0668'}","{'h': '1', 'a': '0'}","{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}",11836,True,"{'h': '1.49124', 'a': '0.363764'}"
198,"{'id': '238', 'title': 'Sheffield United', 'short_title': 'SHE'}",2019-12-29 18:00:00,"{'w': '0.3044', 'd': '0.3003', 'l': '0.3953'}","{'h': '2', 'a': '0'}","{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}",11837,True,"{'h': '1.08628', 'a': '1.23346'}"
199,"{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}",2020-01-01 12:30:00,"{'w': '0.3583', 'd': '0.2959', 'l': '0.3458'}","{'h': '1', 'a': '1'}","{'id': '220', 'title': 'Brighton', 'short_title': 'BRI'}",11845,True,"{'h': '1.56978', 'a': '1.57497'}"
200,"{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}",2020-01-01 12:30:00,"{'w': '0.532', 'd': '0.2321', 'l': '0.2359'}","{'h': '1', 'a': '2'}","{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}",11846,True,"{'h': '2.34418', 'a': '1.74824'}"
201,"{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}",2020-01-01 15:00:00,"{'w': '0.0438', 'd': '0.1446', 'l': '0.8116'}","{'h': '0', 'a': '3'}","{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}",11849,True,"{'h': '0.780118', 'a': '2.43642'}"
202,"{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}",2020-01-01 15:00:00,"{'w': '0.4731', 'd': '0.2856', 'l': '0.2413'}","{'h': '1', 'a': '0'}","{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}",11851,True,"{'h': '1.51192', 'a': '1.078'}"
203,"{'id': '229', 'title': 'Wolverhampton Wanderers', 'short_title': 'WOL'}",2020-01-01 15:00:00,"{'w': '0.3114', 'd': '0.298', 'l': '0.3906'}","{'h': '2', 'a': '1'}","{'id': '90', 'title': 'Watford', 'short_title': 'WAT'}",11852,True,"{'h': '1.07053', 'a': '1.23252'}"
204,"{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}",2020-01-01 17:30:00,"{'w': '0.8034', 'd': '0.1575', 'l': '0.0391'}","{'h': '4', 'a': '0'}","{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}",11843,True,"{'h': '2.32825', 'a': '0.720709'}"
205,"{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}",2020-01-01 17:30:00,"{'w': '0.6084', 'd': '0.2598', 'l': '0.1318'}","{'h': '2', 'a': '1'}","{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}",11848,True,"{'h': '1.79757', 'a': '0.848942'}"
206,"{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}",2020-01-01 17:30:00,"{'w': '0.4478', 'd': '0.2915', 'l': '0.2607'}","{'h': '1', 'a': '1'}","{'id': '79', 'title': 'Norwich', 'short_title': 'NOR'}",11850,True,"{'h': '1.66454', 'a': '1.29896'}"
207,"{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}",2020-01-01 20:00:00,"{'w': '0.7141', 'd': '0.2018', 'l': '0.0841'}","{'h': '2', 'a': '0'}","{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}",11844,True,"{'h': '1.90747', 'a': '0.715563'}"
208,"{'id': '238', 'title': 'Sheffield United', 'short_title': 'SHE'}",2020-01-02 20:00:00,"{'w': '0.9328', 'd': '0.0591', 'l': '0.0081'}","{'h': '2', 'a': '0'}","{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}",11847,True,"{'h': '3.0465', 'a': '0.634607'}"
209,"{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}",2020-01-10 20:00:00,"{'w': '0.6699', 'd': '0.207', 'l': '0.1231'}","{'h': '1', 'a': '0'}","{'id': '238', 'title': 'Sheffield United', 'short_title': 'SHE'}",11855,True,"{'h': '2.02768', 'a': '0.90477'}"
210,"{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}",2020-01-11 12:30:00,"{'w': '0.0317', 'd': '0.1698', 'l': '0.7985'}","{'h': '1', 'a': '1'}","{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}",11859,True,"{'h': '0.317862', 'a': '1.43924'}"
211,"{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}",2020-01-11 15:00:00,"{'w': '0.8999', 'd': '0.089', 'l': '0.0111'}","{'h': '1', 'a': '1'}","{'id': '229', 'title': 'Wolverhampton Wanderers', 'short_title': 'WOL'}",11853,True,"{'h': '2.04805', 'a': '0.184495'}"
212,"{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}",2020-01-11 15:00:00,"{'w': '0.8783', 'd': '0.097', 'l': '0.0247'}","{'h': '3', 'a': '0'}","{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}",11858,True,"{'h': '2.87633', 'a': '0.717407'}"
213,"{'id': '220', 'title': 'Brighton', 'short_title': 'BRI'}",2020-01-11 15:00:00,"{'w': '0.4903', 'd': '0.2518', 'l': '0.2579'}","{'h': '1', 'a': '0'}","{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}",11860,True,"{'h': '2.02533', 'a': '1.53324'}"
214,"{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}",2020-01-11 15:00:00,"{'w': '0.0603', 'd': '0.151', 'l': '0.7887'}","{'h': '1', 'a': '2'}","{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}",11861,True,"{'h': '0.780114', 'a': '2.40601'}"
215,"{'id': '79', 'title': 'Norwich', 'short_title': 'NOR'}",2020-01-11 15:00:00,"{'w': '0.9713', 'd': '0.0254', 'l': '0.0033'}","{'h': '4', 'a': '0'}","{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}",11862,True,"{'h': '3.13456', 'a': '0.275987'}"
216,"{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}",2020-01-11 17:30:00,"{'w': '0.2095', 'd': '0.2573', 'l': '0.5332'}","{'h': '0', 'a': '1'}","{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}",11854,True,"{'h': '1.10584', 'a': '1.74564'}"
217,"{'id': '90', 'title': 'Watford', 'short_title': 'WAT'}",2020-01-12 14:00:00,"{'w': '0.0223', 'd': '0.1044', 'l': '0.8733'}","{'h': '0', 'a': '3'}","{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}",11857,True,"{'h': '0.320447', 'a': '2.29827'}"
218,"{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}",2020-01-12 16:30:00,"{'w': '0.0269', 'd': '0.0804', 'l': '0.8927'}","{'h': '1', 'a': '6'}","{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}",11856,True,"{'h': '1.12565', 'a': '3.75131'}"
219,"{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}",2020-01-18 12:30:00,"{'w': '0.5385', 'd': '0.2236', 'l': '0.2379'}","{'h': '0', 'a': '0'}","{'id': '90', 'title': 'Watford', 'short_title': 'WAT'}",11871,True,"{'h': '2.39174', 'a': '1.76697'}"
220,"{'id': '238', 'title': 'Sheffield United', 'short_title': 'SHE'}",2020-01-18 15:00:00,"{'w': '0.3527', 'd': '0.3268', 'l': '0.3205'}","{'h': '1', 'a': '1'}","{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}",11863,True,"{'h': '1.22882', 'a': '1.18444'}"
221,"{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}",2020-01-18 15:00:00,"{'w': '0.83', 'd': '0.1309', 'l': '0.0391'}","{'h': '2', 'a': '2'}","{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}",11864,True,"{'h': '2.47314', 'a': '0.586716'}"
222,"{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}",2020-01-18 15:00:00,"{'w': '0.433', 'd': '0.3044', 'l': '0.2626'}","{'h': '1', 'a': '1'}","{'id': '220', 'title': 'Brighton', 'short_title': 'BRI'}",11867,True,"{'h': '1.30028', 'a': '1.02045'}"
223,"{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}",2020-01-18 15:00:00,"{'w': '0.7257', 'd': '0.2016', 'l': '0.0727'}","{'h': '1', 'a': '0'}","{'id': '79', 'title': 'Norwich', 'short_title': 'NOR'}",11869,True,"{'h': '1.76046', 'a': '0.558298'}"
224,"{'id': '229', 'title': 'Wolverhampton Wanderers', 'short_title': 'WOL'}",2020-01-18 15:00:00,"{'w': '0.0779', 'd': '0.1631', 'l': '0.759'}","{'h': '2', 'a': '3'}","{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}",11870,True,"{'h': '0.786974', 'a': '2.1772'}"
225,"{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}",2020-01-18 15:00:00,"{'w': '0.3048', 'd': '0.2539', 'l': '0.4413'}","{'h': '1', 'a': '1'}","{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}",11872,True,"{'h': '1.68436', 'a': '1.95473'}"
226,"{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}",2020-01-18 17:30:00,"{'w': '0.1176', 'd': '0.2097', 'l': '0.6727'}","{'h': '1', 'a': '0'}","{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}",11868,True,"{'h': '0.892988', 'a': '2.05436'}"
227,"{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}",2020-01-19 14:00:00,"{'w': '0.1548', 'd': '0.2598', 'l': '0.5854'}","{'h': '2', 'a': '1'}","{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}",11866,True,"{'h': '1.50886', 'a': '2.33415'}"
228,"{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}",2020-01-19 16:30:00,"{'w': '0.5023', 'd': '0.258', 'l': '0.2397'}","{'h': '2', 'a': '0'}","{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}",11865,True,"{'h': '2.00655', 'a': '1.4185'}"
229,"{'id': '90', 'title': 'Watford', 'short_title': 'WAT'}",2020-01-21 19:30:00,"{'w': '0.1601', 'd': '0.2474', 'l': '0.5925'}","{'h': '2', 'a': '1'}","{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}",11873,True,"{'h': '1.06739', 'a': '1.81101'}"
230,"{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}",2020-01-21 19:30:00,"{'w': '0.0228', 'd': '0.0931', 'l': '0.8841'}","{'h': '0', 'a': '1'}","{'id': '238', 'title': 'Sheffield United', 'short_title': 'SHE'}",11875,True,"{'h': '0.774943', 'a': '2.873'}"
231,"{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}",2020-01-21 19:30:00,"{'w': '0.7659', 'd': '0.1706', 'l': '0.0635'}","{'h': '2', 'a': '2'}","{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}",11877,True,"{'h': '2.05254', 'a': '0.570931'}"
232,"{'id': '220', 'title': 'Brighton', 'short_title': 'BRI'}",2020-01-21 19:30:00,"{'w': '0.3485', 'd': '0.2752', 'l': '0.3763'}","{'h': '3', 'a': '1'}","{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}",11878,True,"{'h': '1.92315', 'a': '1.97227'}"
233,"{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}",2020-01-21 19:30:00,"{'w': '0.1976', 'd': '0.3236', 'l': '0.4788'}","{'h': '0', 'a': '2'}","{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}",11882,True,"{'h': '0.674589', 'a': '1.1306'}"
234,"{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}",2020-01-21 20:15:00,"{'w': '0.9524', 'd': '0.0418', 'l': '0.0058'}","{'h': '2', 'a': '2'}","{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}",11881,True,"{'h': '3.38612', 'a': '0.568077'}"
235,"{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}",2020-01-22 19:30:00,"{'w': '0.829', 'd': '0.1353', 'l': '0.0357'}","{'h': '4', 'a': '1'}","{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}",11876,True,"{'h': '2.91302', 'a': '1.16254'}"
236,"{'id': '79', 'title': 'Norwich', 'short_title': 'NOR'}",2020-01-22 19:30:00,"{'w': '0.5976', 'd': '0.2549', 'l': '0.1475'}","{'h': '2', 'a': '1'}","{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}",11880,True,"{'h': '2.22282', 'a': '1.42472'}"
237,"{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}",2020-01-22 20:15:00,"{'w': '0.5315', 'd': '0.2893', 'l': '0.1792'}","{'h': '0', 'a': '2'}","{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}",11879,True,"{'h': '1.416', 'a': '0.717284'}"
238,"{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}",2020-01-23 20:00:00,"{'w': '0.4512', 'd': '0.25', 'l': '0.2988'}","{'h': '1', 'a': '2'}","{'id': '229', 'title': 'Wolverhampton Wanderers', 'short_title': 'WOL'}",11874,True,"{'h': '1.85442', 'a': '1.59024'}"
239,"{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}",2020-01-29 19:45:00,"{'w': '0.0492', 'd': '0.1417', 'l': '0.8091'}","{'h': '0', 'a': '2'}","{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}",11822,True,"{'h': '0.878341', 'a': '2.59926'}"
240,"{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}",2020-02-01 12:30:00,"{'w': '0.5887', 'd': '0.2617', 'l': '0.1496'}","{'h': '2', 'a': '2'}","{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}",11886,True,"{'h': '1.65956', 'a': '0.806995'}"
241,"{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}",2020-02-01 15:00:00,"{'w': '0.7011', 'd': '0.1708', 'l': '0.1281'}","{'h': '2', 'a': '1'}","{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}",11883,True,"{'h': '2.72236', 'a': '1.40955'}"
242,"{'id': '238', 'title': 'Sheffield United', 'short_title': 'SHE'}",2020-02-01 15:00:00,"{'w': '0.3565', 'd': '0.3416', 'l': '0.3019'}","{'h': '0', 'a': '1'}","{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}",11885,True,"{'h': '0.970063', 'a': '0.860755'}"
243,"{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}",2020-02-01 15:00:00,"{'w': '0.9565', 'd': '0.035', 'l': '0.0085'}","{'h': '4', 'a': '0'}","{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}",11887,True,"{'h': '3.7195', 'a': '0.716298'}"
244,"{'id': '79', 'title': 'Norwich', 'short_title': 'NOR'}",2020-02-01 15:00:00,"{'w': '0.0835', 'd': '0.1615', 'l': '0.755'}","{'h': '0', 'a': '0'}","{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}",11889,True,"{'h': '0.937293', 'a': '2.39985'}"
245,"{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}",2020-02-01 15:00:00,"{'w': '0.0386', 'd': '0.12', 'l': '0.8414'}","{'h': '2', 'a': '3'}","{'id': '90', 'title': 'Watford', 'short_title': 'WAT'}",11891,True,"{'h': '0.919248', 'a': '2.70178'}"
246,"{'id': '220', 'title': 'Brighton', 'short_title': 'BRI'}",2020-02-01 15:00:00,"{'w': '0.2142', 'd': '0.2356', 'l': '0.5502'}","{'h': '3', 'a': '3'}","{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}",11892,True,"{'h': '1.30774', 'a': '2.03179'}"
247,"{'id': '229', 'title': 'Wolverhampton Wanderers', 'short_title': 'WOL'}",2020-02-01 17:30:00,"{'w': '0.2764', 'd': '0.2711', 'l': '0.4525'}","{'h': '0', 'a': '0'}","{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}",11888,True,"{'h': '1.18608', 'a': '1.54211'}"
248,"{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}",2020-02-02 14:00:00,"{'w': '0.5772', 'd': '0.2186', 'l': '0.2042'}","{'h': '0', 'a': '0'}","{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}",11884,True,"{'h': '2.24562', 'a': '1.48025'}"
249,"{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}",2020-02-02 16:30:00,"{'w': '0.0069', 'd': '0.0363', 'l': '0.9568'}","{'h': '2', 'a': '0'}","{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}",11890,True,"{'h': '0.420293', 'a': '3.25139'}"
250,"{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}",2020-02-08 12:30:00,"{'w': '0.8528', 'd': '0.1105', 'l': '0.0367'}","{'h': '3', 'a': '1'}","{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}",11897,True,"{'h': '2.79103', 'a': '0.865323'}"
251,"{'id': '90', 'title': 'Watford', 'short_title': 'WAT'}",2020-02-08 17:30:00,"{'w': '0.4631', 'd': '0.4184', 'l': '0.1185'}","{'h': '1', 'a': '1'}","{'id': '220', 'title': 'Brighton', 'short_title': 'BRI'}",11895,True,"{'h': '0.76201', 'a': '0.280048'}"
252,"{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}",2020-02-09 14:00:00,"{'w': '0.6383', 'd': '0.226', 'l': '0.1357'}","{'h': '2', 'a': '1'}","{'id': '238', 'title': 'Sheffield United', 'short_title': 'SHE'}",11900,True,"{'h': '2.04467', 'a': '1.07183'}"
253,"{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}",2020-02-14 20:00:00,"{'w': '0.5283', 'd': '0.311', 'l': '0.1607'}","{'h': '0', 'a': '0'}","{'id': '229', 'title': 'Wolverhampton Wanderers', 'short_title': 'WOL'}",11902,True,"{'h': '1.14491', 'a': '0.527366'}"
254,"{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}",2020-02-15 12:30:00,"{'w': '0.2518', 'd': '0.3497', 'l': '0.3985'}","{'h': '1', 'a': '2'}","{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}",11901,True,"{'h': '0.694025', 'a': '0.892699'}"
255,"{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}",2020-02-15 17:30:00,"{'w': '0.0262', 'd': '0.1252', 'l': '0.8486'}","{'h': '0', 'a': '1'}","{'id': '79', 'title': 'Norwich', 'short_title': 'NOR'}",11899,True,"{'h': '0.383495', 'a': '2.07331'}"
256,"{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}",2020-02-16 14:00:00,"{'w': '0.0761', 'd': '0.1094', 'l': '0.8145'}","{'h': '2', 'a': '3'}","{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}",11894,True,"{'h': '1.71313', 'a': '3.86024'}"
257,"{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}",2020-02-16 16:30:00,"{'w': '0.8118', 'd': '0.126', 'l': '0.0622'}","{'h': '4', 'a': '0'}","{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}",11893,True,"{'h': '3.02257', 'a': '1.16662'}"
258,"{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}",2020-02-17 20:00:00,"{'w': '0.3915', 'd': '0.3491', 'l': '0.2594'}","{'h': '0', 'a': '2'}","{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}",11896,True,"{'h': '0.940204', 'a': '0.681814'}"
259,"{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}",2020-02-19 19:30:00,"{'w': '0.8968', 'd': '0.0955', 'l': '0.0077'}","{'h': '2', 'a': '0'}","{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}",11898,True,"{'h': '2.13777', 'a': '0.0895892'}"
