,a,datetime,forecast,goals,h,id,isResult,xG
29,"{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}",2019-08-25 16:30:00,"{'w': '0.5898', 'd': '0.2775', 'l': '0.1327'}","{'h': '0', 'a': '1'}","{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}",11672,True,"{'h': '1.25927', 'a': '0.51428'}"
30,"{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}",2019-08-31 12:30:00,"{'w': '0.1186', 'd': '0.2211', 'l': '0.6603'}","{'h': '1', 'a': '1'}","{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}",11673,True,"{'h': '0.769616', 'a': '1.90356'}"
31,"{'id': '79', 'title': 'Norwich', 'short_title': 'NOR'}",2019-08-31 15:00:00,"{'w': '0.6298', 'd': '0.2265', 'l': '0.1437'}","{'h': '2', 'a': '0'}","{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}",11674,True,"{'h': '2.20657', 'a': '1.1674'}"
32,"{'id': '238', 'title': 'Sheffield United', 'short_title': 'SHE'}",2019-08-31 15:00:00,"{'w': '0.6944', 'd': '0.1949', 'l': '0.1107'}","{'h': '2', 'a': '2'}","{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}",11675,True,"{'h': '2.30579', 'a': '1.04649'}"
33,"{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}",2019-08-31 15:00:00,"{'w': '0.6771', 'd': '0.2444', 'l': '0.0785'}","{'h': '1', 'a': '0'}","{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}",11676,True,"{'h': '1.41394', 'a': '0.30354'}"
34,"{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}",2019-08-31 15:00:00,"{'w': '0.8226', 'd': '0.1353', 'l': '0.0421'}","{'h': '3', 'a': '1'}","{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}",11677,True,"{'h': '2.23766', 'a': '0.554726'}"
35,"{'id': '220', 'title': 'Brighton', 'short_title': 'BRI'}",2019-08-31 15:00:00,"{'w': '0.7359', 'd': '0.1772', 'l': '0.0869'}","{'h': '4', 'a': '0'}","{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}",11678,True,"{'h': '2.30818', 'a': '0.861035'}"
36,"{'id': '90', 'title': 'Watford', 'short_title': 'WAT'}",2019-08-31 15:00:00,"{'w': '0.3299', 'd': '0.3121', 'l': '0.358'}","{'h': '1', 'a': '1'}","{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}",11679,True,"{'h': '1.04131', 'a': '1.1068'}"
37,"{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}",2019-08-31 17:30:00,"{'w': '0.1772', 'd': '0.3171', 'l': '0.5057'}","{'h': '0', 'a': '3'}","{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}",11680,True,"{'h': '0.61739', 'a': '1.20057'}"
38,"{'id': '229', 'title': 'Wolverhampton Wanderers', 'short_title': 'WOL'}",2019-09-01 14:00:00,"{'w': '0.2455', 'd': '0.2459', 'l': '0.5086'}","{'h': '3', 'a': '2'}","{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}",11681,True,"{'h': '1.48842', 'a': '2.00172'}"
39,"{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}",2019-09-01 16:30:00,"{'w': '0.3461', 'd': '0.2536', 'l': '0.4003'}","{'h': '2', 'a': '2'}","{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}",11682,True,"{'h': '1.92509', 'a': '1.95514'}"
40,"{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}",2019-09-14 11:30:00,"{'w': '0.9452', 'd': '0.0464', 'l': '0.0084'}","{'h': '3', 'a': '1'}","{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}",11683,True,"{'h': '2.93281', 'a': '0.291073'}"
41,"{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}",2019-09-14 14:00:00,"{'w': '0.5865', 'd': '0.3062', 'l': '0.1073'}","{'h': '1', 'a': '0'}","{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}",11684,True,"{'h': '1.10019', 'a': '0.459141'}"
42,"{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}",2019-09-14 14:00:00,"{'w': '0.7641', 'd': '0.1893', 'l': '0.0466'}","{'h': '1', 'a': '1'}","{'id': '220', 'title': 'Brighton', 'short_title': 'BRI'}",11685,True,"{'h': '1.68545', 'a': '0.341654'}"
43,"{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}",2019-09-14 14:00:00,"{'w': '0.4428', 'd': '0.2527', 'l': '0.3045'}","{'h': '0', 'a': '1'}","{'id': '238', 'title': 'Sheffield United', 'short_title': 'SHE'}",11686,True,"{'h': '1.88034', 'a': '1.57659'}"
